family,t,n_components,rel_mean_error,gaussian_baseline_error,improvement_over_gaussian,seconds_per_chain,kernel_components
gauss_mix_kappa0.3,0.02,1,0.004497928610396056,0.004497928610396053,0.9999999999999994,0.0046793190625038505,2
gauss_mix_kappa0.3,0.02,2,1.1045467172718493e-05,0.004497928610396053,407.21940865530905,0.006395694718747791,2
gauss_mix_kappa0.3,0.02,3,9.075615691513046e-06,0.004497928610396053,495.6058920170273,0.008602066031244249,2
gauss_mix_kappa0.3,0.02,4,2.196437226061225e-08,0.004497928610396053,204782.93470112016,0.010875343062508591,2
gauss_mix_kappa0.3,0.02,6,7.305170328033792e-09,0.004497928610396053,615718.5128367409,0.014623803906246735,2
gauss_mix_kappa0.3,0.02,8,6.476294861760311e-11,0.004497928610396053,69452189.96982911,0.01833290365624407,2
gauss_mix_kappa0.3,0.02,12,1.5246210134327768e-11,0.004497928610396053,295019455.3772215,0.02829278521875267,2
gauss_mix_kappa0.3,0.02,16,1.540101312914245e-13,0.004497928610396053,29205407285.08881,0.03733014012500746,2
gauss_mix_kappa0.3,0.05,1,0.007028905761413804,0.007028905761413804,1.0,0.004645774343757125,2
gauss_mix_kappa0.3,0.05,2,0.00012112278728416403,0.007028905761413804,58.031241841581895,0.006807297718751215,2
gauss_mix_kappa0.3,0.05,3,8.665118341926981e-05,0.007028905761413804,81.11725061392167,0.008749520031244629,2
gauss_mix_kappa0.3,0.05,4,1.9680159284982153e-06,0.007028905761413804,3571.569548615154,0.010449743437504821,2
gauss_mix_kappa0.3,0.05,6,6.728614643874563e-07,0.007028905761413804,10446.289665009443,0.01397131271875196,2
gauss_mix_kappa0.3,0.05,8,4.0739443040479536e-08,0.007028905761413804,172533.18250889538,0.01731238137499247,2
gauss_mix_kappa0.3,0.05,12,8.691051353933544e-09,0.007028905761413804,808752.0686703274,0.026926715312498573,2
gauss_mix_kappa0.3,0.05,16,7.526266805435642e-10,0.007028905761413804,9339166.339861041,0.03705015165624559,2
gauss_mix_kappa0.3,0.1,1,0.0064467903158908066,0.006446790315890807,1.0000000000000002,0.005911554656250928,2
gauss_mix_kappa0.3,0.1,2,0.00035898218721118914,0.006446790315890807,17.958524254291653,0.0066458373125044545,2
gauss_mix_kappa0.3,0.1,3,0.0002744883222670101,0.006446790315890807,23.48657408317595,0.008269825843740364,2
gauss_mix_kappa0.3,0.1,4,1.6797805525607875e-05,0.006446790315890807,383.787650479869,0.01042035968750099,2
gauss_mix_kappa0.3,0.1,6,6.574239180198317e-06,0.006446790315890807,980.6138990666195,0.013883606843748453,2
gauss_mix_kappa0.3,0.1,8,9.53105092233692e-07,0.006446790315890807,6763.98685561751,0.017753257593753347,2
gauss_mix_kappa0.3,0.1,12,3.1221379461827795e-07,0.006446790315890807,20648.640217107797,0.029531811624991633,2
gauss_mix_kappa0.3,0.1,16,4.654757554807447e-08,0.006446790315890807,138498.94951526626,0.03826049065625625,2
gauss_mix_kappa0.3,0.2,1,0.004815762505804606,0.004815762505804606,1.0,0.005231130812489937,2
gauss_mix_kappa0.3,0.2,2,0.0006475560794626979,0.004815762505804606,7.43682695373724,0.0064456608750020905,2
gauss_mix_kappa0.3,0.2,3,0.00039913791346736575,0.004815762505804606,12.065409832830506,0.008305370343748564,2
gauss_mix_kappa0.3,0.2,4,7.884022477528081e-05,0.004815762505804606,61.08255677265036,0.009861516374996881,2
gauss_mix_kappa0.3,0.2,6,4.039369893141161e-05,0.004815762505804606,119.22063671321008,0.014065637906242046,2
gauss_mix_kappa0.3,0.2,8,1.1227017756840838e-05,0.004815762505804606,428.9440535417582,0.019320262656250975,2
gauss_mix_kappa0.3,0.2,12,3.907125642138392e-06,0.004815762505804606,1232.5589056739193,0.0283843567812454,2
gauss_mix_kappa0.3,0.2,16,1.0623708193465442e-06,0.004815762505804606,4533.033492737257,0.03968666168749735,2
gauss_mix_kappa0.3,0.4,1,0.0033974660125633328,0.003397466012563325,0.9999999999999977,0.0044114985000049955,2
gauss_mix_kappa0.3,0.4,2,0.0014662227364946735,0.003397466012563325,2.317155455306682,0.006822734812502063,2
