family,t,n_components,rel_mean_error,gaussian_baseline_error,improvement_over_gaussian,seconds_per_chain,kernel_components,kernel_fit_components
uniform_kernel2,0.02,1,0.048493870227167675,0.048493976545191546,1.0000021924012947,0.004478406281251068,2,2
uniform_kernel2,0.02,2,0.021238011488436237,0.048493976545191546,2.2833576755335945,0.006502730593751949,2,2
uniform_kernel2,0.02,3,0.02128286289397389,0.048493976545191546,2.278545738267304,0.008360759281245578,2,2
uniform_kernel2,0.02,4,0.021315684101262673,0.048493976545191546,2.275037306558644,0.010128698093737398,2,2
uniform_kernel2,0.02,6,0.02131473094188932,0.048493976545191546,2.2751390424491595,0.013792596687508762,2,2
uniform_kernel2,0.02,8,0.021314874736247942,0.048493976545191546,2.2751236939114166,0.018679996906257657,2,2
uniform_kernel2,0.02,12,0.02131490064698484,0.048493976545191546,2.2751209282343714,0.028622083843742985,2,2
uniform_kernel2,0.02,16,0.02131490095741936,0.048493976545191546,2.2751208950990507,0.03841493053124623,2,2
uniform_kernel2,0.05,1,0.06064658145132934,0.06064672768494431,1.0000024112425048,0.0047506445937415265,2,2
uniform_kernel2,0.05,2,0.018799517580259297,0.06064672768494431,3.225972550946056,0.007498155343739654,2,2
uniform_kernel2,0.05,3,0.0186238723170336,0.06064672768494431,3.2563973083876943,0.00785852562501077,2,2
uniform_kernel2,0.05,4,0.018028464740184713,0.06064672768494431,3.3639429956431743,0.009744138593745788,2,2
uniform_kernel2,0.05,6,0.018072419451155897,0.06064672768494431,3.35576140476672,0.013428317406251722,2,2
uniform_kernel2,0.05,8,0.018075653408149855,0.06064672768494431,3.355161017725657,0.01842834471874255,2,2
uniform_kernel2,0.05,12,0.018077396381414226,0.06064672768494431,3.3548375222494187,0.027932887500000447,2,2
uniform_kernel2,0.05,16,0.0180774602672883,0.06064672768494431,3.3548256662295843,0.037695611875008694,2,2
uniform_kernel2,0.1,1,0.05069423782570577,0.050680329512359956,0.9997256431116761,0.005082711687506958,2,2
uniform_kernel2,0.1,2,0.011864052963700097,0.050680329512359956,4.27175516389081,0.006762376875002474,2,2
uniform_kernel2,0.1,3,0.012325960654325415,0.050680329512359956,4.111673802445188,0.008485602531251857,2,2
uniform_kernel2,0.1,4,0.011819624268006094,0.050680329512359956,4.287812231861196,0.010062308312498658,2,2
uniform_kernel2,0.1,6,0.01177069950799067,0.050680329512359956,4.305634467854273,0.013606684781251488,2,2
uniform_kernel2,0.1,8,0.01185570115265235,0.050680329512359956,4.274764424288966,0.017474699562498586,2,2
uniform_kernel2,0.1,12,0.011875791874252577,0.050680329512359956,4.267532645316724,0.02687165484375953,2,2
uniform_kernel2,0.1,16,0.011876073090905274,0.050680329512359956,4.267431593290806,0.037250026531239655,2,2
uniform_kernel2,0.2,1,0.040809813510153954,0.04077326885332073,0.9991045130156222,0.004167794343757691,2,2
uniform_kernel2,0.2,2,0.010181684262101517,0.04077326885332073,4.004570148093068,0.0064942755312387135,2,2
uniform_kernel2,0.2,3,0.008362429029662511,0.04077326885332073,4.875768596503861,0.007798853906251679,2,2
uniform_kernel2,0.2,4,0.007767237873812892,0.04077326885332073,5.249391033946199,0.009560092687493693,2,2
uniform_kernel2,0.2,6,0.008130934200550423,0.04077326885332073,5.014586005450712,0.013187787250004135,2,2
uniform_kernel2,0.2,8,0.008270457581666165,0.04077326885332073,4.929989477693029,0.01898625678124688,2,2
uniform_kernel2,0.2,12,0.008384665625818319,0.04077326885332073,4.862837788995477,0.027487307281262474,2,2
uniform_kernel2,0.2,16,0.008395920232471493,0.04077326885332073,4.856319227001323,0.03656146006250083,2,2
uniform_kernel2,0.4,1,0.03106771219786635,0.03096434799668823,0.9966729381127325,0.004380964937496401,2,2
uniform_kernel2,0.4,2,0.011697297116583754,0.03096434799668823,2.6471369999475147,0.006999241374998633,2,2
uniform_kernel2,0.4,3,0.007199983701218065,0.03096434799668823,4.300613623812761,0.009144616124999061,2,2
uniform_kernel2,0.4,4,0.007294040204654341,0.03096434799668823,4.245157296628256,0.010650110093749277,2,2
uniform_kernel2,0.4,6,0.007491996427587354,0.03096434799668823,4.132990224430696,0.014212965187510918,2,2
uniform_kernel2,0.4,8,0.007751611263494068,0.03096434799668823,3.994569250720003,0.018809018437494274,2,2
uniform_kernel2,0.4,12,0.0077631077756297705,0.03096434799668823,3.9886536283693803,0.02835997890625208,2,2
uniform_kernel2,0.4,16,0.00776799629710502,0.03096434799668823,3.986143506302653,0.03842969818749964,2,2
uniform_kernel2,0.8,1,0.021837018791458777,0.021566538359868295,0.9876136740928997,0.00492752887500103,2,2
uniform_kernel2,0.8,2,0.009250850758320054,0.021566538359868295,2.33130324153935,0.007348423468755527,2,2
uniform_kernel2,0.8,3,0.0058686937506787,0.021566538359868295,3.6748447399174946,0.008950167781250684,2,2
uniform_kernel2,0.8,4,0.005480287136272654,0.021566538359868295,3.935293502620466,0.010764848312490471,2,2
uniform_kernel2,0.8,6,0.005512560723504102,0.021566538359868295,3.912254112306514,0.014146929093740823,2,2
uniform_kernel2,0.8,8,0.0057350337592005285,0.021566538359868295,3.760490219481236,0.018004794187504558,2,2
uniform_kernel2,0.8,12,0.005811460582160764,0.021566538359868295,3.7110358153456873,0.028020487812497663,2,2
uniform_kernel2,0.8,16,0.005788647622797335,0.021566538359868295,3.725660942796579,0.03818474009374029,2,2
uniform_kernel2,1.6,1,0.02066605490310899,0.015773171592444596,0.7632405733167624,0.0049428002187426046,2,2
uniform_kernel2,1.6,2,0.016818669647092433,0.015773171592444596,0.9378370539058314,0.006522491437493727,2,2
uniform_kernel2,1.6,3,0.01724222505258677,0.015773171592444596,0.9147990786768103,0.009162591312502855,2,2
uniform_kernel2,1.6,4,0.01568935766922247,0.015773171592444596,1.0053420876105426,0.010559374187508297,2,2
uniform_kernel2,1.6,6,0.015451285490113249,0.015773171592444596,1.0208323186143515,0.014298186875009833,2,2
uniform_kernel2,1.6,8,0.015438373890545089,0.015773171592444596,1.0216860729163029,0.020084923624992257,2,2
uniform_kernel2,1.6,12,0.015491209636569655,0.015773171592444596,1.0182014163186663,0.027627566187504726,2,2
