model,n_train,n_frames,seconds,rho_time,rho_ll,monotone_violation,t_likelihood_requested,t_likelihood_used,min_resolved_t,heldout_loglik_per_sequence,heldout_loglik_per_frame
caterpillar,300,6,1116.906887707999,0.9990221061644787,0.9956536292323374,0.0,0.6,1.2585411157879862,1.2585411157879862,-6667.101114542183,-1111.1835190903637
frozen,300,6,1060.751496124998,0.0,0.9956536292323374,0.0,0.6,1.2585411157879862,1.2585411157879862,-6739.811442446891,-1123.301907074482
