cut_depth,components_per_orientation,spatial_edges_severed_per_frame,coupled_variance_fraction,coherence_floor,rho_time_top,rho_time_sub,monotone_violation,t_likelihood_used,heldout_loglik_per_sequence,frame_diff_energy_generated,frame_diff_energy_real,seconds
0,1,0,0.4367263552987629,1.1265472894024742,0.9833909658431941,nan,0.0,0.6,-5946.4542133768355,1.0902687405458877,0.22269991519533855,18.961270500003593
1,5,12,0.6542222036445082,0.6915555927109835,0.9833387955972565,0.8732531125767633,0.0,0.6,-5859.2508434019,0.6930196854317653,0.22269991519533855,23.86209512501955
2,17,48,0.5978144289113735,0.804371142177253,0.9834049000272814,0.6742513950073054,0.0,0.6,-5850.017907786326,0.8472875913740832,0.22269991519533855,26.60877641598927
3,65,192,0.5525650678233859,0.8948698643532282,0.9833911022970716,0.3687210917630582,0.0,0.6,-5948.932684955919,0.9595578818284809,0.22269991519533855,18.202552333008498
4,257,768,0.5055773655170211,0.9888452689659577,0.9833910374322523,0.30041357292482784,0.0,0.6,-5965.437195088873,1.0524984518497627,0.22269991519533855,17.618025834002765
