model,rho_time,frame_diff_energy_real,frame_diff_energy_generated,frame_diff_energy_structural_prediction,frame_diff_energy_independent_frames,coupled_variance_fraction,prediction_error
caterpillar,0.9990221061644787,0.21071453340635551,1.00522713401934,1.0717791029582304,2.0,0.4654968131533304,0.06655196893889048
frozen,0.0,0.21071453340635551,1.4196580011707098,1.449536969709652,2.0,0.4654968131533304,0.02987896853894223
