n_chains,hidden,n_steps,parameterization,net_n_params,net_seconds,net_score_rel_l2,em_score_rel_l2,em_n_params,ratio_net_over_em
1024,"(32, 32)",1000,eps,3264,0.6400833239995336,0.30595588896514186,0.022187780161312717,13,13.789387074359777
1024,"(32, 32)",1000,x0,3264,0.6316843989998233,0.3620725576712204,0.022187780161312717,13,16.318557108409657
1024,"(32, 32)",5000,eps,3264,3.1824269949993322,0.2549126707061208,0.022187780161312717,13,11.488876708387178
1024,"(32, 32)",5000,x0,3264,3.3073151449998477,0.25532053428610013,0.022187780161312717,13,11.507259060159821
1024,"(32, 32)",20000,eps,3264,13.13841287699961,0.2472297584379588,0.022187780161312717,13,11.142608978478886
1024,"(32, 32)",20000,x0,3264,12.562465937000525,0.23505102903639896,0.022187780161312717,13,10.59371542928125
1024,"(128, 128)",1000,eps,25248,1.5536354910000227,0.27188409413205256,0.022187780161312717,13,12.25377627483969
1024,"(128, 128)",1000,x0,25248,1.4837220229992454,0.30661526290547053,0.022187780161312717,13,13.819104961211675
1024,"(128, 128)",5000,eps,25248,7.747166466000635,0.2077973150358205,0.022187780161312717,13,9.365394533615497
1024,"(128, 128)",5000,x0,25248,7.734991719999925,0.260184071564188,0.022187780161312717,13,11.726457972476796
1024,"(128, 128)",20000,eps,25248,38.058844197000326,0.21800686316482348,0.022187780161312717,13,9.825537371464804
1024,"(128, 128)",20000,x0,25248,38.34697738700015,0.3029047535360524,0.022187780161312717,13,13.651872847749152
1024,"(256, 256)",1000,eps,83232,4.258686897999723,0.26101409563392897,0.022187780161312717,13,11.763867035650597
1024,"(256, 256)",1000,x0,83232,4.313130487000308,0.30851614338933375,0.022187780161312717,13,13.904777366023835
1024,"(256, 256)",5000,eps,83232,21.238219799000035,0.2512872084230974,0.022187780161312717,13,11.325477654643853
1024,"(256, 256)",5000,x0,83232,21.566867102999822,0.32050003523589093,0.022187780161312717,13,14.444889615173151
1024,"(256, 256)",20000,eps,83232,86.20542877600019,0.28327238815565675,0.022187780161312717,13,12.76704501740012
1024,"(256, 256)",20000,x0,83232,81.94677257199965,0.35388595517010796,0.022187780161312717,13,15.949588133523793
1024,"(512, 512)",1000,eps,297504,12.448182600999644,0.28390779502386576,0.022187780161312717,13,12.79568271182423
1024,"(512, 512)",1000,x0,297504,12.623059876000298,0.33256412617517966,0.022187780161312717,13,14.988616425677792
1024,"(512, 512)",5000,eps,297504,60.150649179999164,0.31673407807287574,0.022187780161312717,13,14.275158477779712
1024,"(512, 512)",5000,x0,297504,61.869743885999924,0.3532304407351218,0.022187780161312717,13,15.920044194012027
1024,"(512, 512)",20000,eps,297504,254.18177512700004,0.3727869617628008,0.022187780161312717,13,16.801453730499972
1024,"(512, 512)",20000,x0,297504,308.4460377480009,0.40803922748085153,0.022187780161312717,13,18.390268179793896
