n_chains,em_seconds,em_iters,em_n_params,em_monotone_violation,net_n_params,net_grad_steps,net_eps_seconds,net_x0_seconds,net_eps_final_loss,net_x0_final_loss
32,44.36574348999966,120,13,0.0,25248,20000,33.09667215199988,21.824097540000366,0.09165925832825546,0.20158154186954463
64,36.38509452700055,120,13,0.0,25248,20000,23.405105437000202,23.23170248399947,0.11682406964822725,0.37297128761994025
128,60.91586120200009,120,13,0.0,25248,20000,34.633487040000546,40.68099877200075,0.1687026431198479,0.3365348031431975
256,95.7376178479999,120,13,0.0,25248,20000,67.46269489400038,71.32393972499995,0.22380617298587507,0.39110559990030586
512,189.30089686199972,120,13,0.0,25248,20000,32.3082430100003,34.227696287999606,0.25461641644457755,0.44544462404436946
1024,230.7823382759998,120,13,0.0,25248,20000,30.966727344999526,33.720334874999935,0.27931710414204985,0.4361866714026319
2048,443.28710450499966,120,13,0.0,25248,20000,37.237287359999755,33.26843554900006,0.27036702860317674,0.3649239795806395
