n_chains,method,t,mean_rel_l2,score_rel_l2,mean_mse,identity_residual,in_training_schedule
1024,em_bp,0.02,0.014671630196625986,0.1699526282763654,0.00020746285487453038,4.5605752113781815e-15,False
1024,dsm_net_eps,0.02,0.06610986400517385,0.765800731895233,0.004212269345949609,1.0011955482816126e-15,False
1024,dsm_net_x0,0.02,0.3044997713348012,3.5272519654838854,0.08936296042543326,2.307782990344016e-16,False
1024,em_bp,0.05,0.01676673274579579,0.08936856363546371,0.000262423790201378,4.103336622628404e-15,False
1024,dsm_net_eps,0.05,0.08860200257789771,0.472258598360366,0.007328133891488001,7.533362063256766e-16,False
1024,dsm_net_x0,0.05,0.2872619313877933,1.531138271510497,0.07703045658567063,2.4772025115018875e-16,False
1024,em_bp,0.1,0.01705886663919579,0.051218988497670974,0.0002552183784950651,4.316227734312225e-15,True
1024,dsm_net_eps,0.1,0.10847696465847949,0.3257004420410226,0.01032016512220646,6.260226967770888e-16,True
1024,dsm_net_x0,0.1,0.2637397255152071,0.791874527965659,0.061004615858808606,2.789015187894258e-16,True
1024,em_bp,0.15,0.017203977893220517,0.036963343269972984,0.00024915585852201523,4.522579564453979e-15,False
1024,dsm_net_eps,0.15,0.12496883564398559,0.2684998782623271,0.013146701390939944,5.817513325877285e-16,False
1024,dsm_net_x0,0.15,0.255607635082244,0.5491818704146407,0.05499978555162087,3.2134565524155525e-16,False
1024,em_bp,0.2,0.01732754719854615,0.02921534265433028,0.00024445439055402707,4.799561661390163e-15,True
1024,dsm_net_eps,0.2,0.14343874954388866,0.2418468217004757,0.01675161341081998,5.517151828541443e-16,True
1024,dsm_net_x0,0.2,0.255108108704041,0.43012843793102096,0.0529873483898919,3.5156947086843435e-16,True
1024,em_bp,0.3,0.017402452767660444,0.020447009504891527,0.00022661310944235152,5.840479516762655e-15,False
1024,dsm_net_eps,0.3,0.17712977910332744,0.2081186097890486,0.02347725216095496,5.346443873353862e-16,False
1024,dsm_net_x0,0.3,0.2483953053873735,0.29185203017269057,0.0461690426873823,4.248768551190179e-16,False
1024,em_bp,0.4,0.018447058628628034,0.015952170468523204,0.00022518004511732452,6.739994591845846e-15,True
1024,dsm_net_eps,0.4,0.21951107838162823,0.18982311557457895,0.031885154984899786,5.26764896288284e-16,True
1024,dsm_net_x0,0.4,0.24944862824117722,0.21571173599823265,0.041175405588024946,5.156840704874047e-16,True
1024,em_bp,0.6,0.021606326971206496,0.01147971799425282,0.00025659666392367504,8.991288745767598e-15,False
1024,dsm_net_eps,0.6,0.32531450186836713,0.1728437575653865,0.058169584946148836,5.400057366232788e-16,False
1024,dsm_net_x0,0.6,0.25248924216326746,0.13415076521241162,0.03504086958909847,7.604316831697925e-16,False
1024,em_bp,0.8,0.02705239471033675,0.009830715339816012,0.00032825821802934946,1.0131412467065702e-14,True
1024,dsm_net_eps,0.8,0.46528932300862513,0.16908399179188816,0.09710695823151287,5.190295554139427e-16,True
1024,dsm_net_x0,0.8,0.2645253034599304,0.09612727399321062,0.03138619143314611,1.0446670561422694e-15,True
1024,em_bp,1.2,0.0438386935347501,0.007426461873653039,0.0005043781943487844,1.2865530425090786e-14,False
1024,dsm_net_eps,1.2,0.9537708501385925,0.16157285456377096,0.23874219735430896,5.155440301158964e-16,False
1024,dsm_net_x0,1.2,0.29922074964910356,0.050689272647084956,0.023497654289107085,1.8968592217876156e-15,False
1024,em_bp,1.6,0.05529961104513924,0.004147472966363067,0.0003868996910353438,2.3551209417837838e-14,True
1024,dsm_net_eps,1.6,2.160755765872144,0.16205676597892751,0.590698122816529,5.239204823846575e-16,True
1024,dsm_net_x0,1.6,0.38330115313999363,0.028747601304578235,0.018588077785047834,3.2959527939846892e-15,True
1024,em_bp,2.4,0.08292808177114712,0.0013842290512489743,0.00022848538332759916,6.794034988775817e-14,False
1024,dsm_net_eps,2.4,11.134116535029253,0.18584980188389402,4.11876210374825,4.4186387716433923e-16,False
1024,dsm_net_x0,2.4,0.823796990755267,0.013750754902082775,0.02254735410796404,6.853946894454606e-15,False
1024,em_bp,3.2,0.1123426625004275,0.00037634981410507404,8.495401382726098e-05,2.4900687416927643e-13,False
1024,dsm_net_eps,3.2,73.58332435244705,0.24650537760907493,36.446286698387354,3.454928540014275e-16,False
1024,dsm_net_x0,3.2,2.1293396025875926,0.007133323581300749,0.030519986762980462,1.333911049924345e-14,False
