n_chains,em_seconds,em_iters,em_n_params,em_monotone_violation,net_n_params,net_grad_steps,net_eps_seconds,net_x0_seconds,net_eps_final_loss,net_x0_final_loss
32,21.14271141400002,120,13,0.0,25248,20000,12.42548493199999,11.722809008999974,0.10725143109831069,0.18648310592209766
64,26.185426843000016,120,13,0.0,25248,20000,16.196908968999992,15.238991067000029,0.1111952307074232,0.29062211552894224
128,24.541776078999987,120,13,0.0,25248,20000,24.08397250400003,22.156693445999963,0.1537074883094261,0.30771393248894024
256,33.33998120899997,120,13,0.0,25248,20000,24.00707636499999,23.101047843999993,0.21978008557856993,0.37068369275970753
512,66.51667905400001,120,13,0.0,25248,20000,22.32433538700002,21.55219979399999,0.2605420039819129,0.3848450062062567
1024,118.51308130099994,120,13,0.0,25248,20000,22.81401050699992,23.96977485399998,0.27440161446920464,0.37212034370173663
2048,244.996739305,120,13,0.0,25248,20000,23.07829953800001,23.646343088000094,0.27979011005921983,0.456581047515923
4096,460.95542871199996,120,13,0.0,25248,20000,22.861498601999983,22.317665509000108,0.30268280442011164,0.4334508083741931
