init,rho_init,b_init,rho_hat,b_hat,rho_true,b_true,rho_err,b_err,logL_start,logL_end,monotone_violation,iters,sec_per_iter
0,0.10518925475662078,1.085459458214468,0.7999999999999999,0.4192587136883993,0.8,0.42426406871192845,1.1102230246251565e-16,0.005005355023529168,-46834.508614085185,-42458.13674852207,0.0,57,2.2024479155789827
1,0.5532776486615243,0.8938915665698287,0.7999999999999999,0.4192587637388374,0.8,0.42426406871192845,1.1102230246251565e-16,0.00500530497309104,-44356.126194329256,-42458.136748645724,0.0,53,1.4828888182829651
2,-0.4204376690838477,0.7232712942906623,0.7999999999999999,0.4192587652651462,0.8,0.42426406871192845,1.1102230246251565e-16,0.005005303446782239,-49614.062993061714,-42458.13674864949,0.0,59,1.7673201386780142
3,0.6812771899783645,1.4870348949359542,0.7999999999999999,0.4192587423400717,0.8,0.42426406871192845,1.1102230246251565e-16,0.005005326371856744,-48522.45476524677,-42458.13674859284,0.0,54,2.1742807360926606
4,0.22204211767166382,0.24865914976437586,0.7999999999999999,0.41925857376887926,0.8,0.42426406871192845,1.1102230246251565e-16,0.0050054949430491935,-49151.069568073304,-42458.13674817732,0.0,52,2.783270136711578
5,0.1982524740574455,0.43242695537101195,0.7999999999999999,0.4192587602713078,0.8,0.42426406871192845,1.1102230246251565e-16,0.005005308440620637,-46045.88528053631,-42458.13674863715,0.0,54,2.7089479480740652
