n_components,n_chains,t,rho_hat,innovation_mean,innovation_var,innovation_excess_kurtosis,logL_end,monotone_violation,mean_rel_l2,score_rel_l2,mean_mse,identity_residual
2,1024,0.1,0.8058625213915735,-0.005116876331451263,0.36258549473996127,1.95435338229084,-42659.3984986055,0.0,0.01618015734478406,0.04734472624965552,0.0002226463198636101,4.472046068131517e-15
2,1024,0.2,0.8058625213915735,-0.005116876331451263,0.36258549473996127,1.95435338229084,-42659.3984986055,0.0,0.02262145270603787,0.037439484197588836,0.0004086369408818186,3.699361487276494e-15
2,1024,0.4,0.8058625213915735,-0.005116876331451263,0.36258549473996127,1.95435338229084,-42659.3984986055,0.0,0.022859199185479576,0.019758558960383168,0.00035117638223219026,5.4775524725978e-15
2,1024,0.8,0.8058625213915735,-0.005116876331451263,0.36258549473996127,1.95435338229084,-42659.3984986055,0.0,0.02742006925563814,0.009781861643553599,0.0003264367054141831,1.0268382739862124e-14
2,1024,1.6,0.8058625213915735,-0.005116876331451263,0.36258549473996127,1.95435338229084,-42659.3984986055,0.0,0.06133998679906011,0.004886445706407648,0.0005323364143252603,1.9574011195303652e-14
3,1024,0.1,0.8074579165155994,-0.005050915127520552,0.36005943401282137,2.2325331498969296,-42658.360115661286,0.0,0.012877384488884772,0.037680489160035836,0.00014102800606363895,5.6204676975627385e-15
3,1024,0.2,0.8074579165155994,-0.005050915127520552,0.36005943401282137,2.2325331498969296,-42658.360115661286,0.0,0.018860402286652273,0.03121478282351049,0.0002840524542977231,4.467009031277814e-15
3,1024,0.4,0.8074579165155994,-0.005050915127520552,0.36005943401282137,2.2325331498969296,-42658.360115661286,0.0,0.018781979730105345,0.016234376842288425,0.000237075137809938,6.8318697985526165e-15
3,1024,0.8,0.8074579165155994,-0.005050915127520552,0.36005943401282137,2.2325331498969296,-42658.360115661286,0.0,0.02567548937076664,0.009159498552459995,0.00028621958731200046,1.0751216462893148e-14
3,1024,1.6,0.8074579165155994,-0.005050915127520552,0.36005943401282137,2.2325331498969296,-42658.360115661286,0.0,0.06341075282834496,0.005051406383786353,0.0005688852023057341,1.908378452784647e-14
5,1024,0.1,0.8075171940506,-0.005030287466037304,0.36027049069547057,2.6208195033840926,-42655.6833953251,0.0,0.014458314335007183,0.04230644484078847,0.00017778100814839272,4.9801073214074975e-15
5,1024,0.2,0.8075171940506,-0.005030287466037304,0.36027049069547057,2.6208195033840926,-42655.6833953251,0.0,0.013566479473489825,0.022453111233173208,0.0001469707689616996,6.1793011642919136e-15
5,1024,0.4,0.8075171940506,-0.005030287466037304,0.36027049069547057,2.6208195033840926,-42655.6833953251,0.0,0.013494797665001045,0.01166435241929803,0.00012238720909875215,9.214102981647917e-15
5,1024,0.8,0.8075171940506,-0.005030287466037304,0.36027049069547057,2.6208195033840926,-42655.6833953251,0.0,0.02370156102506655,0.008455317472831368,0.00024390224173052952,1.2005112761322409e-14
5,1024,1.6,0.8075171940506,-0.005030287466037304,0.36027049069547057,2.6208195033840926,-42655.6833953251,0.0,0.06339058778728167,0.005049800002965863,0.000568523441281564,1.859446919443972e-14
8,1024,0.1,0.8073326849036186,-0.005032784204199469,0.3606517264460853,2.7109735910259047,-42655.50163123636,0.0,0.01722936750497317,0.05041481801415399,0.00025245775107214543,4.15790698743214e-15
8,1024,0.2,0.8073326849036186,-0.005032784204199469,0.3606517264460853,2.7109735910259047,-42655.50163123636,0.0,0.014744179880418415,0.02440225642502591,0.00017359526841084639,5.637897604518798e-15
8,1024,0.4,0.8073326849036186,-0.005032784204199469,0.3606517264460853,2.7109735910259047,-42655.50163123636,0.0,0.013548361788747259,0.01171065106207258,0.00012336070630661965,9.19340395001274e-15
8,1024,0.8,0.8073326849036186,-0.005032784204199469,0.3606517264460853,2.7109735910259047,-42655.50163123636,0.0,0.023446608533693913,0.008364365478033849,0.00023868325745623518,1.2386293654103335e-14
8,1024,1.6,0.8073326849036186,-0.005032784204199469,0.3606517264460853,2.7109735910259047,-42655.50163123636,0.0,0.06310207246416093,0.005026816390880739,0.0005633600738809093,1.8869991027848148e-14
