n_chains,n_components,rho_hat,innovation_mean,innovation_var,innovation_excess_kurtosis,monotone_violation,score_rel_l2_at_t0
128,8,0.7799405040643173,-0.0004218781275171372,0.37444473232175474,2.906600979956071,0.0,0.08323310918599937
256,8,0.8321875631840139,0.010753121387413604,0.3148668218719798,3.4451647011426276,0.0,0.08030723284035327
512,8,0.7947506939182825,-0.005275989671914302,0.36979733552711863,3.696713526664044,0.0,0.06100429269852252
1024,8,0.801145181354829,0.0022604326904512697,0.36191315152728926,3.2890130663582724,0.0,0.06021116844555404
2048,8,0.7979543627180948,0.0011677248592705308,0.36362352455121977,2.640141207794642,0.0,0.037013208442827544
