family,rho,t,excess_kurtosis,posterior_mean_mse_median,posterior_mean_rel_median,score_mse_median,score_rel_median,score_rel_q90,score_cosine_median,score_max_abs_median
laplace,0.5,0.05,3.0,0.002773112499702201,0.06947456235899133,0.27708027276242975,0.40211817152664286,0.46023717177415924,0.940030593153351,0.9731126037497101
laplace,0.5,0.0725,3.0,0.004613716017603037,0.07733049562741562,0.21905545272196275,0.3512694256110094,0.4914215581590016,0.9386142604573875,1.1125625486178172
laplace,0.5,0.1053,3.0,0.0057645848804283835,0.09264004423261368,0.12949313108675053,0.29755102594910615,0.443954568094619,0.9588900964019719,0.8441220748114058
laplace,0.5,0.1527,3.0,0.006960225374633841,0.10630494341663696,0.07404782955634795,0.22333616177540194,0.30172564760694565,0.9778785661605972,0.6387911994214646
laplace,0.5,0.2216,3.0,0.007020784815689542,0.12583751530421267,0.03516323770104893,0.16699334987246414,0.32823922974283515,0.9884721291809881,0.3417836465323941
laplace,0.5,0.3215,3.0,0.00977339510214256,0.1385182376415473,0.022840810495555627,0.1354941419319881,0.2528529609860694,0.9919779139011158,0.4438949136278172
laplace,0.5,0.4665,3.0,0.003601679105278153,0.13720788171794002,0.0038500210773171413,0.0701863618754825,0.15056067144445476,0.9987473619532985,0.11722643092725749
laplace,0.5,0.6769,3.0,0.0029718636835135703,0.09472119161883216,0.0013949997258093827,0.036779863586848136,0.06863446652990074,0.9993630959933694,0.09994654083656118
laplace,0.5,0.9821,3.0,0.0008280684479053128,0.07302973802473978,0.00015714439257955284,0.012248580752474238,0.0233769311763558,0.9999380418584762,0.02386503503270032
laplace,0.5,1.425,3.0,8.610852744714958e-05,0.03727931633152498,5.611274935362707e-06,0.002459073583713409,0.004539073391423609,0.9999979098601227,0.0043303264455814006
laplace,0.5,2.0676,3.0,2.403510002516094e-06,0.009825974924743231,3.9715562971219607e-08,0.00022064035029082432,0.00026294297018478554,0.9999999849260339,0.00037182605421393067
laplace,0.5,3.0,3.0,1.2555073961015975e-08,0.0018122949837623172,3.1275774532311014e-11,5.7008835140794695e-06,8.167173654062628e-06,0.9999999999863491,1.0568421891232749e-05
student_t_nu5,0.5,0.05,6.0,0.0011433403328976598,0.042839384451119546,0.11423880254897373,0.2723226988804005,0.6354393828272928,0.9774518803038761,0.6392488456997902
student_t_nu5,0.5,0.0725,6.0,0.002448011347933137,0.05615630174636059,0.11622957114048693,0.24937842398380378,0.6796696832120886,0.971233453320418,1.005688102588096
student_t_nu5,0.5,0.1053,6.0,0.0021729163777866895,0.06739236091888842,0.04881144977231544,0.1871081412957925,0.29985894911231054,0.9882535384413809,0.437371565315419
student_t_nu5,0.5,0.1527,6.0,0.003492888363595658,0.08314120879115755,0.037159831511991634,0.1847242466689506,0.4905329623436991,0.9845663831901381,0.3838150689425722
student_t_nu5,0.5,0.2216,6.0,0.007402431827351135,0.10609330116005986,0.03707469702379611,0.16077026363134006,0.4995644986094128,0.9866728864002697,0.6537700971952399
student_t_nu5,0.5,0.3215,6.0,0.006124529893512984,0.10185337040009258,0.01431326833818767,0.10476778959115776,0.15934086451853013,0.9945073677266054,0.44313714167424556
