init,family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,invariant_iters,rate_over_gaussian
n01,gaussian,0.0,0.85,0.05,1,0.02988835678580816,0.20170667555158234,0.0012363013292730131,1,1.0
n01,gaussian,0.0,0.85,0.05,2,0.006304301862303523,0.20170667555158234,0.0012363013292730131,1,1.0
n01,gaussian,0.0,0.85,0.05,3,0.0012313815964756993,0.20170667555158234,0.0012363013292730131,1,1.0
n01,gaussian,0.0,0.85,0.05,4,0.0002635960946466321,0.20170667555158234,0.0012363013292730131,1,1.0
n01,gaussian,0.0,0.85,0.05,5,5.290884180822842e-05,0.20170667555158234,0.0012363013292730131,1,1.0
n01,gaussian,0.0,0.85,0.05,6,9.79188404274705e-06,0.20170667555158234,0.0012363013292730131,1,1.0
n01,gaussian,0.0,0.85,0.05,7,1.9859054708384077e-06,0.20170667555158234,0.0012363013292730131,1,1.0
n01,gaussian,0.0,0.85,0.05,8,4.293102961002324e-07,0.20170667555158234,0.0012363013292730131,1,1.0
n01,gaussian,0.0,0.85,0.1,1,0.06750019089711495,0.3154230293261696,0.0029826438396755458,1,1.0
n01,gaussian,0.0,0.85,0.1,2,0.022832128016429008,0.3154230293261696,0.0029826438396755458,1,1.0
n01,gaussian,0.0,0.85,0.1,3,0.006826928332166148,0.3154230293261696,0.0029826438396755458,1,1.0
n01,gaussian,0.0,0.85,0.1,4,0.0023064818230727376,0.3154230293261696,0.0029826438396755458,1,1.0
n01,gaussian,0.0,0.85,0.1,5,0.0006778586909850838,0.3154230293261696,0.0029826438396755458,1,1.0
n01,gaussian,0.0,0.85,0.1,6,0.00020482898697543104,0.3154230293261696,0.0029826438396755458,1,1.0
n01,gaussian,0.0,0.85,0.1,7,7.61010123154344e-05,0.3154230293261696,0.0029826438396755458,1,1.0
n01,gaussian,0.0,0.85,0.1,8,2.0608149029993444e-05,0.3154230293261696,0.0029826438396755458,1,1.0
n01,gaussian,0.0,0.85,0.2,1,0.15710452740798825,0.4350983271202293,0.002745550446691226,1,1.0
n01,gaussian,0.0,0.85,0.2,2,0.06828665112224248,0.4350983271202293,0.002745550446691226,1,1.0
n01,gaussian,0.0,0.85,0.2,3,0.03069263555644697,0.4350983271202293,0.002745550446691226,1,1.0
n01,gaussian,0.0,0.85,0.2,4,0.014295937955133217,0.4350983271202293,0.002745550446691226,1,1.0
n01,gaussian,0.0,0.85,0.2,5,0.005795222345615435,0.4350983271202293,0.002745550446691226,1,1.0
n01,gaussian,0.0,0.85,0.2,6,0.0025093355157518498,0.4350983271202293,0.002745550446691226,1,1.0
n01,gaussian,0.0,0.85,0.2,7,0.0010341985781526413,0.4350983271202293,0.002745550446691226,1,1.0
n01,gaussian,0.0,0.85,0.2,8,0.00047987421933501253,0.4350983271202293,0.002745550446691226,1,1.0
n01,gaussian,0.0,0.85,0.4,1,0.25240400091151355,0.5845124682631219,0.006506364295434732,1,1.0
n01,gaussian,0.0,0.85,0.4,2,0.14901960567411662,0.5845124682631219,0.006506364295434732,1,1.0
n01,gaussian,0.0,0.85,0.4,3,0.07991137659021715,0.5845124682631219,0.006506364295434732,1,1.0
n01,gaussian,0.0,0.85,0.4,4,0.05372938371193186,0.5845124682631219,0.006506364295434732,1,1.0
n01,gaussian,0.0,0.85,0.4,5,0.026758597514277206,0.5845124682631219,0.006506364295434732,1,1.0
n01,gaussian,0.0,0.85,0.4,6,0.015505406225557386,0.5845124682631219,0.006506364295434732,1,1.0
n01,gaussian,0.0,0.85,0.4,7,0.010684658689696841,0.5845124682631219,0.006506364295434732,1,1.0
n01,gaussian,0.0,0.85,0.4,8,0.0058824153591788995,0.5845124682631219,0.006506364295434732,1,1.0
n01,gaussian,0.0,0.85,0.8,1,0.38855024058847426,0.7026996285194271,0.004079107354091936,1,1.0
n01,gaussian,0.0,0.85,0.8,2,0.27424333329832246,0.7026996285194271,0.004079107354091936,1,1.0
n01,gaussian,0.0,0.85,0.8,3,0.1882342305462425,0.7026996285194271,0.004079107354091936,1,1.0
n01,gaussian,0.0,0.85,0.8,4,0.134848978930894,0.7026996285194271,0.004079107354091936,1,1.0
n01,gaussian,0.0,0.85,0.8,5,0.08655152109876967,0.7026996285194271,0.004079107354091936,1,1.0
n01,gaussian,0.0,0.85,0.8,6,0.06437575827754884,0.7026996285194271,0.004079107354091936,1,1.0
n01,gaussian,0.0,0.85,0.8,7,0.04752263997486256,0.7026996285194271,0.004079107354091936,1,1.0
n01,gaussian,0.0,0.85,0.8,8,0.03323824270506367,0.7026996285194271,0.004079107354091936,1,1.0
n01,gaussian,0.0,0.85,1.6,1,0.35455407771505726,0.7925676479402041,0.0027368538832180456,1,1.0
n01,gaussian,0.0,0.85,1.6,2,0.2927151989112539,0.7925676479402041,0.0027368538832180456,1,1.0
n01,gaussian,0.0,0.85,1.6,3,0.22706723804263945,0.7925676479402041,0.0027368538832180456,1,1.0
n01,gaussian,0.0,0.85,1.6,4,0.18673695602159393,0.7925676479402041,0.0027368538832180456,1,1.0
n01,gaussian,0.0,0.85,1.6,5,0.13880172835223226,0.7925676479402041,0.0027368538832180456,1,1.0
n01,gaussian,0.0,0.85,1.6,6,0.11229182156722423,0.7925676479402041,0.0027368538832180456,1,1.0
n01,gaussian,0.0,0.85,1.6,7,0.09004258354784563,0.7925676479402041,0.0027368538832180456,1,1.0
