mechanism,strength,arm,t,score_rel_l2,ratio_to_em,fitted_rho,chow_liu_rho,rho_minus_chow_liu,em_seconds,em_iters,em_monotone_violation,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
global,0.1,em_bp,0.1,0.0013235537175840812,1.0,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,eps,eps,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,cnn,0.1,0.05187776807267241,39.195816069608654,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,eps,eps,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,mlp,0.1,0.06761737233033416,51.087743120663056,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,eps,eps,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,em_bp,0.2,0.001728230900614318,1.0,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,eps,eps,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,cnn,0.2,0.06501606403844466,37.620010159136726,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,eps,eps,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,mlp,0.2,0.10477773239773953,60.62716061869695,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,eps,eps,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,em_bp,0.4,0.002679028370719603,1.0,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,eps,x0,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,cnn,0.4,0.08225631375996595,30.70378599158747,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,eps,x0,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,mlp,0.4,0.15923069531254766,59.4359869618616,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,eps,x0,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,em_bp,0.8,0.005538809074642073,1.0,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,x0,x0,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,cnn,0.8,0.14081826460847285,25.423924657950547,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,x0,x0,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,mlp,0.8,0.18164893637867643,32.7956667093485,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,x0,x0,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,em_bp,1.6,0.013049148566299927,1.0,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,x0,x0,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,cnn,1.6,0.3184195965404732,24.401561138081266,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,x0,x0,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
global,0.1,mlp,1.6,0.3556268252337864,27.252875804649072,0.8501449282800436,0.8514851485148511,-0.0013402202348075098,1075.9928794030566,81,0.0,x0,x0,-0.00046009593817181453,0.2763746516752545,-0.004591561746690509
