beta,arm,t,score_rel_l2,ratio_to_em,fitted_rho,em_seconds,em_iters,em_monotone_violation,n_nodes,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
0.0,em_bp,0.1,0.09285874403023325,1.0,0.8003139102307971,2.6564816320315003,11,0.0,21,eps,eps,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,cnn,0.1,0.06850096508169515,0.7376899805945295,0.8003139102307971,2.6564816320315003,11,0.0,21,eps,eps,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,mlp,0.1,0.134646813090815,1.4500175992793554,0.8003139102307971,2.6564816320315003,11,0.0,21,eps,eps,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,em_bp,0.2,0.10918234003929439,1.0,0.8003139102307971,2.6564816320315003,11,0.0,21,eps,eps,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,cnn,0.2,0.09874596001974145,0.9044132959982638,0.8003139102307971,2.6564816320315003,11,0.0,21,eps,eps,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,mlp,0.2,0.19669166508150984,1.8014970645501929,0.8003139102307971,2.6564816320315003,11,0.0,21,eps,eps,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,em_bp,0.4,0.12589606731676467,1.0,0.8003139102307971,2.6564816320315003,11,0.0,21,x0,x0,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,cnn,0.4,0.17929466696760127,1.4241482739606266,0.8003139102307971,2.6564816320315003,11,0.0,21,x0,x0,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,mlp,0.4,0.30606336332139,2.4310796186453536,0.8003139102307971,2.6564816320315003,11,0.0,21,x0,x0,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,em_bp,0.8,0.14733202387847433,1.0,0.8003139102307971,2.6564816320315003,11,0.0,21,x0,x0,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,cnn,0.8,0.22442183876639782,1.5232386880907196,0.8003139102307971,2.6564816320315003,11,0.0,21,x0,x0,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,mlp,0.8,0.3997433307972461,2.7132141422761644,0.8003139102307971,2.6564816320315003,11,0.0,21,x0,x0,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,em_bp,1.6,0.1920607438147102,1.0,0.8003139102307971,2.6564816320315003,11,0.0,21,x0,x0,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,cnn,1.6,0.3943764307813807,2.0533942696892487,0.8003139102307971,2.6564816320315003,11,0.0,21,x0,x0,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.0,mlp,1.6,0.6702551803902916,3.4898083131288793,0.8003139102307971,2.6564816320315003,11,0.0,21,x0,x0,-0.0050893536512110725,0.4700465986166823,0.2082266159670536
0.5,em_bp,0.1,0.09815410063992103,1.0,0.8229946263188218,2.8714918340556324,11,0.0,21,eps,eps,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,cnn,0.1,0.07761707340587888,0.7907675063991226,0.8229946263188218,2.8714918340556324,11,0.0,21,eps,eps,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,mlp,0.1,0.15049412206443039,1.5332433498272178,0.8229946263188218,2.8714918340556324,11,0.0,21,eps,eps,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,em_bp,0.2,0.1196201113301803,1.0,0.8229946263188218,2.8714918340556324,11,0.0,21,eps,eps,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,cnn,0.2,0.11714161356026663,0.9792802586258057,0.8229946263188218,2.8714918340556324,11,0.0,21,eps,eps,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,mlp,0.2,0.20468005671969589,1.7110839844876056,0.8229946263188218,2.8714918340556324,11,0.0,21,eps,eps,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,em_bp,0.4,0.14364415089077734,1.0,0.8229946263188218,2.8714918340556324,11,0.0,21,x0,x0,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,cnn,0.4,0.2056617064322545,1.4317443846957154,0.8229946263188218,2.8714918340556324,11,0.0,21,x0,x0,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,mlp,0.4,0.3022605243013437,2.1042313413177083,0.8229946263188218,2.8714918340556324,11,0.0,21,x0,x0,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,em_bp,0.8,0.19197343412437684,1.0,0.8229946263188218,2.8714918340556324,11,0.0,21,x0,x0,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,cnn,0.8,0.3039302719750068,1.5831892228280646,0.8229946263188218,2.8714918340556324,11,0.0,21,x0,x0,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,mlp,0.8,0.3768268788893033,1.962911590387879,0.8229946263188218,2.8714918340556324,11,0.0,21,x0,x0,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,em_bp,1.6,0.30173483890261116,1.0,0.8229946263188218,2.8714918340556324,11,0.0,21,x0,x0,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,cnn,1.6,0.7112287611623409,2.357131724493701,0.8229946263188218,2.8714918340556324,11,0.0,21,x0,x0,0.00305547853329687,0.39240760529010743,0.38029175590129016
0.5,mlp,1.6,0.7018259567736264,2.325969249444708,0.8229946263188218,2.8714918340556324,11,0.0,21,x0,x0,0.00305547853329687,0.39240760529010743,0.38029175590129016
