mechanism,strength,arm,t,score_rel_l2,ratio_to_em,fitted_rho,chow_liu_rho,rho_minus_chow_liu,em_seconds,em_iters,em_monotone_violation,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
global,0.0,em_bp,0.1,0.08082080020445806,1.0,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,eps,eps,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,cnn,0.1,0.06462180752298893,0.7995690139111541,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,eps,eps,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,mlp,0.1,0.13103550672936373,1.6213091976059875,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,eps,eps,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,em_bp,0.2,0.10333467616303123,1.0,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,eps,eps,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,cnn,0.2,0.09727593785360075,0.9413678105511106,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,eps,eps,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,mlp,0.2,0.18935326587558968,1.8324271474644855,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,eps,eps,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,em_bp,0.4,0.12839810973966198,1.0,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,eps,x0,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,cnn,0.4,0.16392296366387313,1.2766773903154867,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,eps,x0,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,mlp,0.4,0.3092191813039585,2.4082845295069104,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,eps,x0,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,em_bp,0.8,0.14657168609851104,1.0,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,x0,x0,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,cnn,0.8,0.20934642053573127,1.428286909349117,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,x0,x0,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,mlp,0.8,0.4059099114929442,2.769361002097851,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,x0,x0,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,em_bp,1.6,0.18755102748103256,1.0,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,x0,x0,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,cnn,1.6,0.3394145466476498,1.8097184068051855,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,x0,x0,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.0,mlp,1.6,0.6209292840717731,3.310721846802833,0.7772048072967428,0.8500000000000003,-0.07279519270325752,2.791600323980674,11,0.0,x0,x0,0.008409080915625321,0.4734737933952131,0.12115646517006828
global,0.5,em_bp,0.1,0.0906974124038398,1.0,0.8039489798858566,0.8799999999999997,-0.07605102011414311,2.8117673289962113,11,0.0,eps,eps,0.007762545359927307,0.4297589052650234,0.04662765663226409
global,0.5,cnn,0.1,0.0711120339508245,0.784058023995113,0.8039489798858566,0.8799999999999997,-0.07605102011414311,2.8117673289962113,11,0.0,eps,eps,0.007762545359927307,0.4297589052650234,0.04662765663226409
