n_chains,em_seconds,em_iters,em_n_params,em_monotone_violation,net_n_params,net_grad_steps,net_eps_seconds,net_x0_seconds,net_eps_final_loss,net_x0_final_loss
32,48.517918097786605,121,25,0.0,25248,20000,11.575947408098727,11.598664440214634,0.0630482440380069,0.38188566712953254
64,50.034000092186034,121,25,0.0,25248,20000,13.893676047213376,13.841686198022217,0.11072180186253967,0.2563317487663589
128,51.98100602719933,121,25,0.0,25248,20000,18.894611994735897,18.963259567972273,0.16855873125535764,0.35037722817251393
256,61.720130525995046,121,25,0.0,25248,20000,19.022490004077554,19.102398074232042,0.20540826889452174,0.4640284969785161
512,79.42115998500958,121,25,0.0,25248,20000,18.682493085041642,18.628702277783304,0.23592454885688663,0.37023959856096855
1024,119.88625918980688,121,25,0.0,25248,20000,18.944820316974074,19.081718145869672,0.3020256640983333,0.39017806505757735
2048,220.20989276003093,121,25,0.0,25248,20000,19.031918831169605,19.14739489229396,0.27412711291430414,0.4364192967912839
