arm,n_chains,rep,n_components,rho_fitted,innovation_mean,innovation_var,innovation_excess_kurtosis,score_rel_l2_t0.2,score_rel_l2_t0.8
clean,512,0,8,0.8474454281901113,0.00012364514373121944,0.2822692596886699,3.1697935570882905,0.00911973828324392,0.002835126263100607
noised,512,0,8,0.8385281874377704,0.0003434161460994445,0.27782373297270996,3.3665298984881664,0.019301551886714372,0.011881270738116515
clean,512,1,8,0.8460354273306323,0.0024469149582469064,0.276243144879766,3.235507039750681,0.007200517878336805,0.0050568635138639115
noised,512,1,8,0.8507378414737229,-0.0007303356835879431,0.2688249275698013,3.289146102081279,0.023657374924373847,0.005866898192434602
clean,512,2,8,0.8521546168429512,-0.0073963389498547085,0.2761247885717732,3.068766030922241,0.00649331452220398,0.006788189486684585
noised,512,2,8,0.8478365452267643,-0.010577490333785935,0.2832117006343343,2.6485764091752717,0.017563447129987322,0.010021287787530146
clean,512,3,8,0.8501383985797696,-0.0069898337167145766,0.2799255961156487,2.7637158538802753,0.010266256500430821,0.006706241507820211
noised,512,3,8,0.8514294955342122,-0.002582579167936934,0.2763258416979335,3.331084292054098,0.018417098592051404,0.0048054151537603
clean,512,4,8,0.8453626233901752,0.0029458970944871068,0.2741551884010698,2.8313610366503603,0.006940584546162846,0.006606864694343868
noised,512,4,8,0.8396832174230136,0.0013195406115945362,0.26995423411000746,2.7030711011088586,0.029296848848913173,0.013797653735206267
clean,512,5,8,0.8470725867584651,-0.0038346771254747377,0.27639792691914566,2.9219015593922446,0.00862350547781503,0.0051120305364302735
noised,512,5,8,0.8532867312933884,-0.004693093435983332,0.26206388900523697,2.141137436298303,0.028098963854260983,0.008748226952785933
clean,512,6,8,0.850857837622915,-0.00033671602752997746,0.2895609730480286,2.95472034415629,0.011854895823797933,0.0070082160119591735
noised,512,6,8,0.8404043966317829,0.0035147307607462028,0.2884420748533042,2.622354011732554,0.018334422376657247,0.007311349161948783
clean,512,7,8,0.8493543008485803,0.0014397314961710787,0.27512456762980525,2.938692200336341,0.00622283421125312,0.002131381591468409
noised,512,7,8,0.847428108329427,0.0027349372733140092,0.2810920166240784,2.1327348614578163,0.021474550312481414,0.004936678535919121
clean,512,8,8,0.845851313058151,-0.0016583970927394913,0.2784018730514588,3.1228026674161313,0.010019657137523116,0.004580556761738732
noised,512,8,8,0.8429916133917578,0.001983030601464419,0.29774474586083405,2.8142852043050617,0.02494913122273333,0.007497369824262603
clean,512,9,8,0.8462846002783126,0.002686873157199407,0.2831484593446618,3.4143576755889002,0.009809549543053766,0.004079722342859993
noised,512,9,8,0.8379002413263168,0.0057551152930141606,0.28562208852680093,3.233061740811368,0.031416414556063824,0.013273999947647193
clean,512,10,8,0.8475938334426576,6.04666441037141e-05,0.27957204097285027,3.185640475269442,0.005050531871576137,0.0021328057718766518
noised,512,10,8,0.8572341342398397,-0.0019291472372744423,0.2660924419093221,2.0939314767825783,0.039418578767738514,0.0077229255817680195
clean,512,11,8,0.8491527659732596,0.0051275611867803005,0.2717886569947769,2.9768148092325957,0.009051612763255244,0.0059181903896851455
noised,512,11,8,0.8527513019220512,0.007559982008671182,0.2671434433892994,3.811618421018996,0.0276978019167721,0.009164919313261176
clean,512,12,8,0.8483458308410978,0.0001888726043953722,0.28336454665121324,3.212659712966178,0.010525902870717594,0.0030766180351173883
noised,512,12,8,0.8467207689817451,-0.00044498678131397166,0.2789550528881707,3.445013699411069,0.02242942618008448,0.0046586408806197745
clean,512,13,8,0.8521078385348034,-0.003137478852222034,0.2790136932447273,3.000417674925351,0.007191506496914279,0.00384558844351803
noised,512,13,8,0.8516249105445014,-0.004736176843861331,0.28568563851041895,3.256935470446207,0.01624863896685975,0.007082908204915232
clean,512,14,8,0.8499332861041367,-0.001993546560207579,0.2844619390647066,3.276925382643628,0.009454273539831613,0.004739696792943893
noised,512,14,8,0.8519624143970335,-0.0023249477749936933,0.28530760259724325,2.5524466921378615,0.02020622809385957,0.00729018295301771
clean,512,15,8,0.8491007788594919,-0.002772257429202832,0.2743908659074207,2.950857344274656,0.008349105068503133,0.0036953562646089106
noised,512,15,8,0.8545314749848303,-0.003531070850654529,0.26663165777903247,3.3478419414948197,0.02621736361185356,0.0062001129122408235
