seed,depth,width,n_params,t,net_rms,radius_d_rms,ratio_net_over_radius
0,1,24,217,0.1,0.07215080345398317,0.07113879981223441,1.0142257620935393
0,1,24,217,0.2,0.14655831116262677,0.1459204509388931,1.004371287366709
0,1,24,217,0.4,0.2574076167666972,0.25644285918490106,1.0037620762179247
0,1,24,217,0.8,0.36562172930404657,0.36195531236703177,1.010129474031029
0,1,24,217,1.6,0.3389963727232324,0.2975481540310461,1.1392991962163597
1,1,24,217,0.1,0.07444457767328985,0.07113879981223441,1.0464694072683374
1,1,24,217,0.2,0.14876660225794758,0.1459204509388931,1.0195048144433596
1,1,24,217,0.4,0.2618929866547663,0.25644285918490106,1.0212527948221617
1,1,24,217,0.8,0.3740838230237281,0.36195531236703177,1.0335083095683306
1,1,24,217,1.6,0.4080064967644822,0.2975481540310461,1.3712284591149266
2,1,24,217,0.1,0.07197194017775485,0.07113879981223441,1.0117114762649841
2,1,24,217,0.2,0.14685654822088046,0.1459204509388931,1.0064151205397478
2,1,24,217,0.4,0.2586437367033496,0.25644285918490106,1.0085823310715065
2,1,24,217,0.8,0.3661590988771446,0.36195531236703177,1.0116141036378825
2,1,24,217,1.6,0.33342460707627763,0.2975481540310461,1.1205736031603415
