seed,depth,width,n_params,t,net_rms,radius_d_rms,ratio_net_over_radius
0,4,24,5473,0.1,0.013552916168915163,0.002160769526589166,6.2722636552121385
0,4,24,5473,0.2,0.03113863076070309,0.01244258329339346,2.5025856790716863
0,4,24,5473,0.4,0.06483737400503903,0.0483966715861415,1.339707295565453
0,4,24,5473,0.8,0.16380187060836435,0.12571665657952863,1.302944852854426
0,4,24,5473,1.6,0.2791287703197964,0.15713419680572563,1.7763718909951849
1,4,24,5473,0.1,0.020817454710638034,0.002160769526589166,9.634278183985202
1,4,24,5473,0.2,0.02365716954551705,0.01244258329339346,1.90130690610511
1,4,24,5473,0.4,0.05648205987895849,0.0483966715861415,1.1670649659951462
1,4,24,5473,0.8,0.1358170762035603,0.12571665657952863,1.080342731813283
1,4,24,5473,1.6,0.2590069860300559,0.15713419680572563,1.6483171155307565
2,4,24,5473,0.1,0.02088621432289941,0.002160769526589166,9.666100000895918
2,4,24,5473,0.2,0.029529385393691404,0.01244258329339346,2.373251976490315
2,4,24,5473,0.4,0.06252277892866648,0.0483966715861415,1.2918817943374854
2,4,24,5473,0.8,0.1379594941869259,0.12571665657952863,1.0973843716536673
2,4,24,5473,1.6,0.24903509932153578,0.15713419680572563,1.5848561572464885
