seed,depth,width,n_params,t,net_rms,radius_d_rms,ratio_net_over_radius
0,10,24,15985,0.1,0.02929401001412522,2.010471979505853e-06,14570.712903606494
0,10,24,15985,0.2,0.04150585000779331,9.451670958249556e-05,439.1376952407172
0,10,24,15985,0.4,0.0682770160127522,0.0018841200443834342,36.23814534338516
0,10,24,15985,0.8,0.12769982382497957,0.016484387192021728,7.7467134408724005
0,10,24,15985,1.6,0.416877338585786,0.04331731814981855,9.623803051332999
1,10,24,15985,0.1,0.02040848016518361,2.010471979505853e-06,10151.089084166068
1,10,24,15985,0.2,0.03369639264140727,9.451670958249556e-05,356.5125446098668
1,10,24,15985,0.4,0.07365468101920118,0.0018841200443834342,39.092350425741685
1,10,24,15985,0.8,0.16151469249883774,0.016484387192021728,9.798040449875453
1,10,24,15985,1.6,0.47793309545051577,0.04331731814981855,11.033302980519762
2,10,24,15985,0.1,0.022787422754915878,2.010471979505853e-06,11334.364759720114
2,10,24,15985,0.2,0.04011364713786932,9.451670958249556e-05,424.40799425902094
2,10,24,15985,0.4,0.0678544414657969,0.0018841200443834342,36.01386316549794
2,10,24,15985,0.8,0.1388807130279083,0.016484387192021728,8.424984890862374
2,10,24,15985,1.6,0.4388442999600751,0.04331731814981855,10.130920350199784
