seed,n_chains,t,method,n_params,score_rel_l2
15,32,0.1,em_bp,13,0.14894008567984104
15,32,0.1,local_cnn_oracle_r,6593,0.1815709950431797
15,32,0.1,global_mlp,25505,0.9865596143525784
15,32,0.2,em_bp,13,0.08460711719209081
15,32,0.2,local_cnn_oracle_r,6593,0.15000003213750057
15,32,0.2,global_mlp,25505,0.7156008398590197
15,32,0.4,em_bp,13,0.0445770021553262
15,32,0.4,local_cnn_oracle_r,6593,0.10944389319581525
15,32,0.4,global_mlp,25505,0.41120098204506844
15,32,0.8,em_bp,13,0.02334950937190408
15,32,0.8,local_cnn_oracle_r,6593,0.06586078315223226
15,32,0.8,global_mlp,25505,0.2064771955605776
15,32,1.6,em_bp,13,0.013727476789688553
15,32,1.6,local_cnn_oracle_r,6593,0.033918844501228305
15,32,1.6,global_mlp,25505,0.0675900709751651
15,128,0.1,em_bp,13,0.09911802293841523
15,128,0.1,local_cnn_oracle_r,6593,0.12104361197012531
15,128,0.1,global_mlp,25505,0.8341024663419412
15,128,0.2,em_bp,13,0.057740244096666116
15,128,0.2,local_cnn_oracle_r,6593,0.10848491553449813
15,128,0.2,global_mlp,25505,0.5808850030336278
15,128,0.4,em_bp,13,0.034715755961467906
15,128,0.4,local_cnn_oracle_r,6593,0.07271317872589173
15,128,0.4,global_mlp,25505,0.3384884955825603
15,128,0.8,em_bp,13,0.015260887537570583
15,128,0.8,local_cnn_oracle_r,6593,0.04646161794331031
15,128,0.8,global_mlp,25505,0.1588344359093873
15,128,1.6,em_bp,13,0.009797212744411903
15,128,1.6,local_cnn_oracle_r,6593,0.017673944698872974
15,128,1.6,global_mlp,25505,0.04156352557788673
15,512,0.1,em_bp,13,0.0331096061793791
15,512,0.1,local_cnn_oracle_r,6593,0.08886196955147574
15,512,0.1,global_mlp,25505,0.3451552615074892
15,512,0.2,em_bp,13,0.02002142036163381
15,512,0.2,local_cnn_oracle_r,6593,0.07971568681379529
15,512,0.2,global_mlp,25505,0.2470086815564937
15,512,0.4,em_bp,13,0.012042215034500064
15,512,0.4,local_cnn_oracle_r,6593,0.06410998795268552
15,512,0.4,global_mlp,25505,0.20048916896858648
15,512,0.8,em_bp,13,0.006423860644827797
15,512,0.8,local_cnn_oracle_r,6593,0.03873612206462823
15,512,0.8,global_mlp,25505,0.09345340061210691
15,512,1.6,em_bp,13,0.003910129421961874
15,512,1.6,local_cnn_oracle_r,6593,0.015239246536398807
15,512,1.6,global_mlp,25505,0.037327105799017636
15,2048,0.1,em_bp,13,0.028673974861902363
15,2048,0.1,local_cnn_oracle_r,6593,0.06966616214602984
15,2048,0.1,global_mlp,25505,0.20444567736238425
15,2048,0.2,em_bp,13,0.012524809707055487
15,2048,0.2,local_cnn_oracle_r,6593,0.0635391553100871
15,2048,0.2,global_mlp,25505,0.13133922560588612
15,2048,0.4,em_bp,13,0.004154410727869304
15,2048,0.4,local_cnn_oracle_r,6593,0.05032990679332754
15,2048,0.4,global_mlp,25505,0.1253023274414201
15,2048,0.8,em_bp,13,0.0020964224527177844
15,2048,0.8,local_cnn_oracle_r,6593,0.03095590178818439
15,2048,0.8,global_mlp,25505,0.06365969182505801
15,2048,1.6,em_bp,13,0.0016136209801964239
15,2048,1.6,local_cnn_oracle_r,6593,0.011369101190616768
15,2048,1.6,global_mlp,25505,0.020716120546606133
