source,orientation,parent_depth,corr_linear,std_ratio_q4_q1,std_ratio_linear_ar_null,std_ratio_excess_over_null
real_heldout,HL,0,0.17170190471445368,1.321189598944385,1.042501494879974,0.2786881040644109
real_heldout,HL,1,0.37304534730415867,1.814919777122235,1.2082848816839633,0.6066348954382716
real_heldout,HL,2,0.3923641808841253,2.570168645610064,1.231814423838747,1.338354221771317
real_heldout,HL,3,0.4499384889101457,3.6341809730153303,1.3114800494389809,2.3227009235763494
real_heldout,LH,0,0.32951594162457754,1.2890996401044752,1.1606138854703412,0.12848575463413403
real_heldout,LH,1,0.3899164855772368,1.6253237095133086,1.2287488004753913,0.39657490903791737
real_heldout,LH,2,0.4159958618613838,2.360499186293722,1.2627180340784332,1.097781152215289
real_heldout,LH,3,0.48236644875301593,3.3148156452581254,1.3633381923594654,1.95147745289866
real_heldout,HH,0,0.03410264557921568,1.2836349229051611,1.0016639358150747,0.2819709870900864
real_heldout,HH,1,0.0989699568836797,1.4090860552593243,1.0140453096530357,0.39504074560628855
real_heldout,HH,2,0.09965128814554958,2.018768483969635,1.0142398621113484,1.0045286218582867
real_heldout,HH,3,0.14884593019227874,2.86424758823452,1.031874240726282,1.832373347508238
mixture,HL,0,0.23013188168993617,1.0837488376833793,1.0768814895451182,0.006867348138261065
mixture,HL,1,0.31614358734596765,1.1683015522287492,1.14737965622886,0.02092189599988914
mixture,HL,2,0.36713384604872806,1.224852679991965,1.2013844452026452,0.02346823478931981
mixture,HL,3,0.26664290159756454,1.1037995573065005,1.1038082676992027,-8.710392702226954e-06
mixture,LH,0,0.229466929551472,1.1006956059219108,1.076430648155276,0.024264957766634954
mixture,LH,1,0.31849749353649354,1.1618989223824052,1.1496628087089342,0.012236113673470994
mixture,LH,2,0.36609293208137017,1.2273381627169553,1.200183639244547,0.02715452347240821
mixture,LH,3,0.26643056493935174,1.1046915728389521,1.1036391599319406,0.001052412907011524
mixture,HH,0,0.2257296450454083,1.0879869958116688,1.0739226915801523,0.0140643042315165
mixture,HH,1,0.3114729191276197,1.1506932633403646,1.1429075125391823,0.007785750801182267
mixture,HH,2,0.36633144358804315,1.218379587640677,1.2004584130888118,0.01792117455186526
mixture,HH,3,0.26754957806556473,1.1063337056273281,1.1045320289644602,0.0018016766628679015
