source,orientation,tree_depth,std,excess_kurtosis
real_heldout,HL,0,5.684653431992366,1.9677368745229513
real_heldout,HL,1,4.174654299750158,1.3906605880197809
real_heldout,HL,2,1.9529830620503168,3.325245965131587
real_heldout,HL,3,0.8685844197432916,5.354408683363889
real_heldout,HL,4,0.3499289222187304,6.9934409522379095
real_heldout,LH,0,10.592828087991208,0.3304672609123145
real_heldout,LH,1,5.417568539732482,0.6358070711940647
real_heldout,LH,2,2.3792953093859524,2.1917332825308744
real_heldout,LH,3,0.9935114174523394,3.982517820418111
real_heldout,LH,4,0.3817907197167757,5.680159449495834
real_heldout,HH,0,4.327137723629923,2.1417115168994414
real_heldout,HH,1,2.638027544724616,1.1579066888843226
real_heldout,HH,2,1.1012449406490783,2.489061326266876
real_heldout,HH,3,0.4411757209971525,4.238258802184611
real_heldout,HH,4,0.1418407134481152,6.422896027205946
real_heldout,LL,-1,16.064072577919625,0.3023670714268132
mixture,HL,0,5.883930372070213,-0.008146017251114301
mixture,HL,1,4.199439076897178,0.9303654985107359
mixture,HL,2,1.9208478200098515,1.814118879847599
mixture,HL,3,0.8998824074998176,0.16262595905561428
mixture,HL,4,0.39851147553056643,-0.16948535441165236
mixture,LH,0,11.082640757846407,-0.003945649270350682
mixture,LH,1,5.430682828212882,0.9575300141975811
mixture,LH,2,2.33980232478071,1.8665715099962599
mixture,LH,3,1.0403436358920248,0.17064052858472456
mixture,LH,4,0.436608076046304,-0.1763221530059731
mixture,HH,0,4.41238909866308,0.04058367474074487
mixture,HH,1,2.593166986372195,0.9446927106392566
mixture,HH,2,1.066217574215119,1.8305948803321392
mixture,HH,3,0.45608969286820705,0.15264626260559266
mixture,HH,4,0.16254723242037783,-0.17131641528979458
mixture,LL,-1,16.027360834187462,0.07031359989022512
