family,orientation,tree_depth,std_ancestral,std_reverse,kurtosis_ancestral,kurtosis_reverse,std_ratio_reverse_over_ancestral,n_samples,reverse_steps,reverse_seconds
mixture,HL,0,5.628755803160142,5.993806724911233,-0.04475155188630087,-0.33700724462484466,1.0648546383103243,128,150,1063.6726539619267
mixture,HL,1,3.9659375026441497,3.947618076611164,1.8408633774847027,0.4436789127005598,0.9953808081895461,128,150,1063.6726539619267
mixture,HL,2,1.927395621484849,1.9277339361095562,1.80151619074286,1.9808412878382473,1.0001755294143744,128,150,1063.6726539619267
mixture,HL,3,0.9025962077746479,0.857734820275262,0.1606724446921981,0.12519818997872623,0.9502973897818697,128,150,1063.6726539619267
mixture,HL,4,0.3996490635373312,0.3156786777808751,-0.2010294844068441,-0.22937341354527963,0.7898896971927661,128,150,1063.6726539619267
mixture,LH,0,11.145812084816217,10.903371381382962,0.4473872833737951,-0.3527977689304693,0.9782482692523115,128,150,1063.6726539619267
mixture,LH,1,5.76323510442869,5.247791677521508,1.139339396987749,0.6469586986581164,0.9105635259420364,128,150,1063.6726539619267
mixture,LH,2,2.29972147118139,2.154525051577728,2.277929659647879,1.5985707520647177,0.9368634761108383,128,150,1063.6726539619267
mixture,LH,3,1.0362619304786953,0.9690241374234537,0.3271830813877741,0.18604998851348098,0.9351150601236683,128,150,1063.6726539619267
mixture,LH,4,0.43548367959648465,0.3527314199344268,-0.17715831949208916,-0.19329082653787433,0.8099762091228416,128,150,1063.6726539619267
mixture,HH,0,4.331643508802751,4.220806630130086,-0.619413671311424,-0.1510581324899869,0.9744122805934001,128,150,1063.6726539619267
mixture,HH,1,2.561791959922362,2.5736178502628446,0.7290844820071043,0.9050890007645456,1.0046162571065456,128,150,1063.6726539619267
mixture,HH,2,1.0378538438028775,1.047937880739743,1.9995047127984131,2.0722866007301812,1.009716239908999,128,150,1063.6726539619267
mixture,HH,3,0.45338675736635936,0.3782280409936591,0.08982568078923592,0.170466506644936,0.8342282496090457,128,150,1063.6726539619267
mixture,HH,4,0.1628884381222129,0.07884377746219572,-0.13137853511562314,-0.06729212180721245,0.48403544395852294,128,150,1063.6726539619267
mixture,LL,-1,17.12316528462856,13.788876289897495,0.20791995718427447,-0.40551522175747756,0.805276130942668,128,150,1063.6726539619267
