seed,depth,width,n_params,t,net_rms,radius_d_rms,ratio_net_over_radius
0,3,24,3721,0.1,0.01449792898111607,0.0069005082061669295,2.1009943830165128
0,3,24,3721,0.2,0.03637109369321301,0.028016545249572616,1.2982005229130753
0,3,24,3721,0.4,0.09492618939001166,0.08319336969750844,1.1410307063551315
0,3,24,3721,0.8,0.22797490500234693,0.17685833300591766,1.2890255218832065
0,3,24,3721,1.6,0.22959969551149065,0.1940090767915778,1.1834482144263154
1,3,24,3721,0.1,0.014111988029253822,0.0069005082061669295,2.0450650311004703
1,3,24,3721,0.2,0.03613309777880245,0.028016545249572616,1.289705688439714
1,3,24,3721,0.4,0.08984638158654025,0.08319336969750844,1.0799704581413423
1,3,24,3721,0.8,0.1847326545820765,0.17685833300591766,1.044523328035074
1,3,24,3721,1.6,0.24802960586700118,0.1940090767915778,1.2784433077502715
2,3,24,3721,0.1,0.01691330247221946,0.0069005082061669295,2.4510227315002937
2,3,24,3721,0.2,0.03481721631804715,0.028016545249572616,1.242737675466188
2,3,24,3721,0.4,0.09358887216922683,0.08319336969750844,1.124955901047361
2,3,24,3721,0.8,0.20705310092065649,0.17685833300591766,1.1707285565884449
2,3,24,3721,1.6,0.27473381547520836,0.1940090767915778,1.4160874327047719
