prior,grid_size,t,alpha,delta,posterior_mean_mse_mean,posterior_mean_mse_std,score_mse_mean,score_mse_std,relative_score_error_mean,relative_score_error_std,score_cosine_mean,score_cosine_std,score_error_identity_rel_residual_mean
laplace,401.0,0.08,0.9231163463866358,0.14785621103378865,0.0034861350192731968,0.002330502811909206,0.13588700941573653,0.0908413058572042,0.1995537068411127,0.06208495482065322,0.980398774051042,0.013111676186218639,1.2374187057606125e-15
laplace,401.0,0.12,0.8869204367171575,0.21337213893344653,0.0038652407667725715,0.0033426972366841622,0.06678369656759395,0.0577551804511393,0.15520193295436846,0.05781830196600973,0.9879856009877818,0.010011252883072835,1.2485111449012788e-15
laplace,401.0,0.18,0.835270211411272,0.302323673928969,0.0030951639326732353,0.002303644266582288,0.0236261702560235,0.0175843001648635,0.10626838573564956,0.03678381276796583,0.994245879717352,0.004683643727475958,1.4694460129869267e-15
laplace,401.0,0.27,0.7633794943368531,0.41725174762601036,0.0025035358092609992,0.003115322082321391,0.008379892719017729,0.010427677822090444,0.0664395687139074,0.03317597907913018,0.997608911563201,0.003129472643504562,2.0148411089263055e-15
laplace,401.0,0.4,0.6703200460356393,0.5506710358827784,0.001913275148368718,0.0023664314619702516,0.0028350281577537496,0.0035065002719552,0.041732000618595354,0.018225656342282164,0.9991099567745708,0.0009179678445431788,2.8673057018396576e-15
laplace,401.0,0.6,0.5488116360940264,0.6988057880877978,0.0012651781497296426,0.0015347455754129318,0.0007803426021642284,0.0009466076822727969,0.02360736030991925,0.010934906974154297,0.9997005516493093,0.0003327431985073656,4.797277301091106e-15
laplace,401.0,0.9,0.4065696597405991,0.8347011117784134,0.005921323146586302,0.012108999805066642,0.0014048395047508034,0.0028728716315684468,0.025465472971984243,0.025089155736674675,0.9993835285267036,0.0012384751729265038,6.614680081179229e-15
laplace,401.0,1.3,0.2725317930340126,0.9257264217856661,0.9260792065358543,4.085159241362165,0.08026332764954859,0.35406094033419827,0.11001011775827736,0.24760359759285638,0.9807167654931321,0.07885519887996215,3.3753813603668982e-15
laplace,401.0,1.8,0.16529888822158653,0.9726762775527075,3.092792993012047,6.687617419178819,0.08932110142957274,0.19314107189530932,0.15494134330283532,0.236359826138312,0.9703379569051155,0.06008211285676713,3.831258056418667e-15
laplace,401.0,2.4,0.09071795328941251,0.99177025295098,1.1272267500616358,3.3880980500155764,0.009431388121009477,0.02834786142183464,0.040200466292884214,0.08927842437204496,0.9956738617481692,0.013366961451391168,2.1418930381997366e-14
