beta,arm,t,score_rel_l2,ratio_to_em,fitted_rho,em_seconds,em_iters,em_monotone_violation,n_nodes,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
0.5,em_bp,0.1,0.021760685655538067,1.0,0.8849226895804101,588.9279269501567,81,0.0,41,eps,eps,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,cnn,0.1,0.0562969677522305,2.58709530772083,0.8849226895804101,588.9279269501567,81,0.0,41,eps,eps,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,mlp,0.1,0.07567871376636111,3.477772482187434,0.8849226895804101,588.9279269501567,81,0.0,41,eps,eps,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,em_bp,0.2,0.02281344112805716,1.0,0.8849226895804101,588.9279269501567,81,0.0,41,eps,eps,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,cnn,0.2,0.07569064809272848,3.317809341776159,0.8849226895804101,588.9279269501567,81,0.0,41,eps,eps,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,mlp,0.2,0.10970613807468,4.808837801315194,0.8849226895804101,588.9279269501567,81,0.0,41,eps,eps,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,em_bp,0.4,0.0335694282302023,1.0,0.8849226895804101,588.9279269501567,81,0.0,41,x0,x0,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,cnn,0.4,0.10401024158754904,3.098362023752653,0.8849226895804101,588.9279269501567,81,0.0,41,x0,x0,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,mlp,0.4,0.17292787334528675,5.151349977111142,0.8849226895804101,588.9279269501567,81,0.0,41,x0,x0,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,em_bp,0.8,0.06650452466969771,1.0,0.8849226895804101,588.9279269501567,81,0.0,41,x0,x0,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,cnn,0.8,0.1861711215603021,2.799375267847446,0.8849226895804101,588.9279269501567,81,0.0,41,x0,x0,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,mlp,0.8,0.1881756796496946,2.8295169476707116,0.8849226895804101,588.9279269501567,81,0.0,41,x0,x0,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,em_bp,1.6,0.13426385755014253,1.0,0.8849226895804101,588.9279269501567,81,0.0,41,x0,x0,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,cnn,1.6,0.4088588001380401,3.0451888363578905,0.8849226895804101,588.9279269501567,81,0.0,41,x0,x0,-0.0015224527691593463,0.2157880577676471,2.469633548731375
0.5,mlp,1.6,0.22389171559685397,1.6675501485069337,0.8849226895804101,588.9279269501567,81,0.0,41,x0,x0,-0.0015224527691593463,0.2157880577676471,2.469633548731375
