level,eigenvalue,multiplicity,t_speciation_predicted,t_crossing_forward,t_crossing_reverse,commitment_at_prediction
-1,14.270556721600002,1,1.3629632885429597,1.3684648040528296,1.3359495909474026,0.7091697792041298
0,3.1128466383999998,1,0.7070577007560094,0.7316644464027999,0.724836890063429,0.7154989103977623
1,1.8042263199999997,2,0.5155638395909824,0.5214505934771344,0.5196054680113829,0.7094758709872494
2,0.9964360000000001,4,0.3456817954545798,0.3401081368704046,0.3583701997893792,0.703811134963479
3,0.4978,8,0.20199868241656482,0.2079449258402613,0.22169862170704158,0.7127785554541539
4,0.18999999999999995,16,0.08697665356171899,0.08721841493445855,0.12467841882446401,0.7075985890567345
