root,depth,root_separation,top_eigenvalue,t_speciation_predicted,t_class_agreement_075,t_correlation_crossing,magnetization_final,magnetization_initial,n_paths,agreement_stderr
bimodal,4,0.9,8.691701680000001,1.135635011227901,1.264893465568234,1.1545556002453476,0.8276026281973086,0.10060673254086117,256,0.03125
gaussian,4,0.0,8.691701680000001,1.135635011227901,0.939841305501069,1.0314592337939126,0.6469181714699352,0.08532075783056893,256,0.03125
