family,rho,dimension,top_eigenvalue,top_eigenvalue_limit,fraction_of_limit,t_speciation,t_speciation_limit
chain,0.5,8,2.5716390568123657,3.0,0.8572130189374553,0.6365123049918487,0.6931471805599453
chain,0.5,16,2.8439773833687543,3.0,0.9479924611229181,0.6732538037358935,0.6931471805599453
chain,0.5,32,2.9524144103781094,3.0,0.9841381367927031,0.6871633176568669,0.6931471805599453
chain,0.5,64,2.986866718417905,3.0,0.9956222394726351,0.6915028194002759,0.6931471805599453
chain,0.5,128,2.996553359619097,3.0,0.9988511198730324,0.6927161647911092,0.6931471805599453
chain,0.5,256,2.9991174905707805,3.0,0.9997058301902602,0.693036854710395,0.6931471805599453
chain,0.5,512,2.9997767440738867,3.0,0.9999255813579623,0.693119272790352,0.6931471805599453
chain,0.85,8,5.494289051399436,12.333333333333332,0.44548289605941377,0.9354615916114013,1.2951335827229133
chain,0.85,16,8.0962733594572,12.333333333333332,0.656454596712746,1.1039324043537175,1.2951335827229133
chain,0.85,32,10.312525873984136,12.333333333333332,0.8361507465392544,1.2129552981132232,1.2951335827229133
chain,0.85,64,11.587014659255466,12.333333333333332,0.9394876750747676,1.266332849971635,1.2951335827229133
chain,0.85,128,12.103930007497727,12.333333333333332,0.9813997303376536,1.2864560928941389,1.2951335827229133
chain,0.85,256,12.269787410868025,12.333333333333332,0.9948476279082183,1.292744913967278,1.2951335827229133
chain,0.85,512,12.316629312707018,12.333333333333332,0.9986456199492177,1.2945067892434747,1.2951335827229133
chain,0.95,8,7.030310314016507,38.999999999999964,0.18026436702606444,1.0416115857739006,1.8444397270569677
chain,0.95,16,12.441788916860588,38.999999999999964,0.3190202286374513,1.2991842150852702,1.8444397270569677
chain,0.95,32,20.032742366960726,38.999999999999964,0.5136600606913011,1.5230401919131853,1.8444397270569677
chain,0.95,64,28.194704415348532,38.999999999999964,0.7229411388550913,1.6869936685942823,1.8444397270569677
chain,0.95,128,34.29566436712504,38.999999999999964,0.8793760094134634,1.781880066967454,1.8444397270569677
chain,0.95,256,37.38294696893746,38.999999999999964,0.9585371017676281,1.8238066358031075,1.8444397270569677
chain,0.95,512,38.52383230691717,38.999999999999964,0.9877905719722361,1.8384519197535638,1.8444397270569677
