t,method,n_train,rel_error_total,level_-1,abs_level_-1,share_level_-1,level_0,abs_level_0,share_level_0,level_1,abs_level_1,share_level_1,level_2,abs_level_2,share_level_2,level_3,abs_level_3,share_level_3
0.1,bp_exact_grid,256,1.9893659864635948e-16,1.0742370856031057e-16,3.1545643262103547e-16,0.18295439162008748,1.5408934370992998e-16,1.9722989067944666e-16,0.07151703999666369,2.1111216480695306e-16,1.8052262770277329e-16,0.1198277354538978,3.118093640825731e-16,1.792910786823154e-16,0.23639670277592803,5.511223235580214e-16,1.6269248041921226e-16,0.38930413015342286
0.1,bp_em,256,0.009846424784232597,0.0026964373218060322,0.007918256683957205,0.04705388171156324,0.0004973706517364098,0.0006366200082842951,0.0003041563389742129,0.004117022689876242,0.003520478106830161,0.01860242643189265,0.014650517111949354,0.00842407996303638,0.2130302400860021,0.03712255065468355,0.010958655796243538,0.7210092954315677
0.1,dsm_eps,256,0.18522292590416,0.04651489178138021,0.13659388622642524,0.03957003930664653,0.15619156108332918,0.1999206679438399,0.0847655427857005,0.2382173900049952,0.20370038480502453,0.17600202051478842,0.33715584655065234,0.19386536254282472,0.3188338282064655,0.50751433048273,0.1498193082462544,0.380828569186399
0.1,dsm_x0,256,0.2659424413027084,0.11864698527143551,0.34841428597630775,0.12488493305686936,0.20876998729462654,0.2672195284884919,0.07346060894135271,0.32493668852671287,0.27785430983344195,0.15884824031242475,0.46343365328652714,0.2664753826104591,0.2922081452101678,0.699167483460885,0.2063957260492544,0.3505980724791854
0.2,bp_exact_grid,256,2.0353182791174091e-16,9.054461491323808e-17,2.634404157040162e-16,0.13410537394459213,1.8872714406118567e-16,2.194319283497485e-16,0.0930424236621268,2.3131052515760293e-16,1.8426984656810975e-16,0.13122600864670256,3.7131150012927023e-16,1.831348864389628e-16,0.25922896969974113,6.758456890988556e-16,1.5727934224382842e-16,0.38239722404683735
0.2,bp_em,256,0.01246313378862945,0.005831670643952735,0.016967301038984285,0.14836007966821602,0.0009751989311687407,0.0011338579993643869,0.000662535058165764,0.0074586741622771745,0.005941834002356309,0.03638836584035506,0.023440638349433985,0.011561178796471084,0.2755216648540112,0.04913677202527575,0.011434857555168808,0.539067354579252
0.2,dsm_eps,256,0.22447406270842393,0.06765598085555408,0.1968457178654837,0.06155532819244464,0.19577202653444964,0.22762297131707324,0.08230872686323963,0.2991584527151664,0.23831981767287472,0.1804529637756132,0.43272664651788517,0.21342550726701576,0.2894451945952736,0.749120007140369,0.1743313657024683,0.3862377865734289
0.2,dsm_x0,256,0.26110898623988166,0.12356807291090217,0.35952247990214675,0.15175901732331654,0.2407778266573742,0.2799509475444619,0.0920166223927462,0.3327008447714949,0.2650408301885643,0.1649521446008298,0.49087273156261724,0.24210379134340454,0.27527424277073825,0.7881734774322371,0.18341968899714492,0.3159979729123691
0.4,bp_exact_grid,256,2.688764126298763e-16,1.854259110507574e-16,5.141650140786343e-16,0.34754586559671585,2.3605878096622455e-16,2.518998563370884e-16,0.08341860480751363,3.371138483241575e-16,2.2413001480509096e-16,0.13208001743482892,4.597668656314161e-16,1.7871568337781351e-16,0.16795479449891815,9.97387246335611e-16,1.5992935461744273e-16,0.2690007176620233
0.4,bp_em,256,0.01666247886869073,0.013559793716934089,0.037599769567600104,0.48395350090001593,0.0018431444944391508,0.0019668314453599933,0.001324242602027394,0.012386736650238568,0.008235317186184511,0.046432698769004035,0.03320636802074728,0.012907626009919045,0.22813189476486642,0.058401260680442116,0.009364543173961237,0.24015766296408614
