method,budget,budget_unit,rel_error_total,rho_hat,monotone_violation,level_-1,abs_level_-1,share_level_-1,level_0,abs_level_0,share_level_0,level_1,abs_level_1,share_level_1,level_2,abs_level_2,share_level_2,level_3,abs_level_3,share_level_3
dsm_eps,250,grad_steps,0.32209158923329356,,,0.08714658475678021,0.2416475924236359,0.05349567467302808,0.25771460667977414,0.2750089284240305,0.06928629070725655,0.3845141136256564,0.2556440632982121,0.11974438096643565,0.7324126065800914,0.2846956344270814,0.29701291260230933,1.5631839037584039,0.25065388974538183,0.4604607410509705
dsm_eps,500,grad_steps,0.2946242840372246,,,0.10234147681975364,0.28378130419676273,0.08817449332691946,0.25220236012616915,0.26912677437212773,0.07930292836973325,0.353877575381866,0.2352753724114621,0.12121555293447314,0.626806501270048,0.24364555298323037,0.25998744832827564,1.4156145329127565,0.2269913912250177,0.45131957704059866
dsm_eps,1000,grad_steps,0.28022937139474685,,,0.10548833714919209,0.29250719086718774,0.10355194996407094,0.25359028609654655,0.27060783917773906,0.0886269766031595,0.30447523272133054,0.20243024354192665,0.09918956329410189,0.6176895300722668,0.2401017009579008,0.2790844583208055,1.3135705710198617,0.21062881487556426,0.4295470518178623
dsm_eps,2000,grad_steps,0.2614629242489766,,,0.06287624426116577,0.17434869179046103,0.042260015341349794,0.20761647957241203,0.2215488920320467,0.06823880757402356,0.31164497413179026,0.20719704341224765,0.11936839869291013,0.6612681651275998,0.25704112423254316,0.36741550504582765,1.1867100739872432,0.19028694917453867,0.4027172733458889
dsm_eps,4000,grad_steps,0.26077928305252324,,,0.07556537232968824,0.2095342042952993,0.061358703271496,0.2078777753160042,0.22182772241489856,0.06876983127698894,0.326795543242418,0.2172698935664346,0.13194575343666867,0.5808495636030447,0.2257816612261971,0.2849729499084229,1.2552606920773481,0.20127892460840968,0.4529527621064235
dsm_eps,8000,grad_steps,0.2858289347322904,,,0.08077589960988131,0.22398240528941074,0.058361698044932624,0.27055406332987014,0.28870999589700125,0.09696695371841976,0.37938538381521625,0.2522342292197261,0.14802604997294772,0.6435579932195984,0.25015701467208085,0.2911960458127547,1.3016937777026991,0.20872439119547698,0.40544925245094504
dsm_eps,16000,grad_steps,0.3046099712060167,,,0.08808008904453536,0.24423609390401804,0.06110038581812702,0.291328497629927,0.3108785294895617,0.09899328115808143,0.44935933933981026,0.29875638713658964,0.18284734337097108,0.643407416220445,0.25009848398334206,0.256275076039743,1.3792203061245285,0.22115563863902202,0.4007839136130776
bp_em,1,em_iters,0.5088083867596466,0.3486301498796476,0.0,0.46619763863283625,1.2927131600581083,0.6134911612368147,0.21573683984622583,0.23021418115201284,0.01945665217816962,0.03535169232079505,0.023503559294977282,0.0004056030725259545,0.5674485544006099,0.22057256353648777,0.07144419426559508,1.9771908020702456,0.31703919424716254,0.29520238924689474
bp_em,2,em_iters,0.4907005117599843,0.4017361869910607,0.0,0.43246030621114206,1.1991633648796576,0.5675918814196743,0.16850123297560707,0.17980875867206483,0.012761483296802224,0.09118084611830037,0.06062155112294423,0.0029011057195039145,0.6285331470925103,0.24431671637315627,0.09424228937312357,1.9930488258974355,0.3195820014923006,0.322503240190896
bp_em,4,em_iters,0.44291740452142714,0.5158838649466434,0.0,0.34226146152243864,0.9490522019551365,0.4363622799152228,0.05227018803043956,0.05577785669182222,0.001507268573386558,0.21456325830683873,0.14265230129228776,0.019717623055684343,0.7391649913126477,0.28732034956450525,0.15997781598404878,1.9590068531602554,0.31412342885688327,0.3824350124716574
bp_em,8,em_iters,0.3475382096921019,0.687131217534243,0.0,0.17096454617538231,0.4740652899753069,0.17684129646431887,0.12111826094121268,0.12924608186998476,0.013144441738981666,0.35503428909450035,0.23604441308667254,0.08768490186630486,0.7828624963207372,0.30430597870222303,0.29146629120063866,1.631573266852098,0.26162000821386694,0.43086306872975605
bp_em,16,em_iters,0.20912814691141338,0.8001217947865505,0.0,0.0762328546421449,0.2113850570193696,0.09710376765681156,0.13037392892184985,0.1391228652079445,0.042061479106303715,0.2774461742865843,0.18445998424447366,0.14788422312737448,0.5172923662450796,0.20107638381607318,0.3514549285313473,0.8992871422655819,0.14419916918599146,0.36149560157816296
bp_em,32,em_iters,0.0728665696234948,0.8708379539857645,0.0,0.021130406108598825,0.05859221881531425,0.061451959057133694,0.06175295934400432,0.06589698346942853,0.0777296858838376,0.11337765079391277,0.0753790883327089,0.2034171664285672,0.18578664925477978,0.07221700924107075,0.3734176422046433,0.2777213705592094,0.04453215109797037,0.28398354642581825
bp_em,64,em_iters,0.008334862961184781,0.9067771355014385,0.0,0.006615262231600267,0.018343371641914418,0.4603348929412259,0.013658697107397618,0.014575284278865914,0.29063615089874156,0.012410420715767166,0.008251063528210974,0.18627965400993737,0.00859917785339301,0.0033425809066208625,0.0611419678832095,0.002389934241615026,0.00038322190527690487,0.0016073342668855928
bp_em,128,em_iters,0.016201235767728715,0.9157560425172944,0.0,0.013333664377950466,0.03697273856582021,0.49497065056752804,0.0022176938439733554,0.002366515485719058,0.002027845716262144,0.011593782047341947,0.007708121617771995,0.04302722330868028,0.031874924782665424,0.012390081563026855,0.2223435473315112,0.05648509091838157,0.009057288600063584,0.23763073307601829
bp_em,150,em_iters,0.01666247886869073,0.9160611304986042,0.0,0.013559793716934089,0.037599769567600104,0.48395350090001593,0.0018431444944391508,0.0019668314453599933,0.001324242602027394,0.012386736650238568,0.008235317186184511,0.046432698769004035,0.03320636802074728,0.012907626009919045,0.22813189476486642,0.058401260680442116,0.009364543173961237,0.24015766296408614
