filter_level,block_size,n_blocks,t,n_train,rel_error_bp_em,rel_error_dsm,abs_error_bp_em,abs_error_dsm,reference_rms,advantage,top_eigenvalue,t_speciation_top,rho_hat,em_monotone_violation
1,2,8,0.1,256,0.013279178885635535,0.2518547129635136,0.012296017565180836,0.23320794163130434,0.9259621902135672,18.966136018843155,1.81,0.5165922416728272,0.8795526481562232,0.0
1,2,8,0.2,256,0.017169776246347614,0.33041639393682426,0.014737819372268753,0.2836156430700829,0.858358266340472,19.24407104647686,1.81,0.5165922416728272,0.8795526481562232,0.0
1,2,8,0.4,256,0.023989618300505482,0.4399277547737076,0.018218782214889595,0.33410068697669326,0.7594444391183043,18.338255709739155,1.81,0.5165922416728272,0.8795526481562232,0.0
1,2,8,0.8,256,0.03629032337167882,0.7368628149000975,0.019452620473007054,0.3949789185430493,0.536027752461087,20.30466379021438,1.81,0.5165922416728272,0.8795526481562232,0.0
1,2,8,1.6,256,0.04740352101839207,3.166515257305387,0.012360937421672399,0.8257002032641505,0.260759900448671,66.79915730472452,1.81,0.5165922416728272,0.8795526481562232,0.0
2,4,4,0.1,256,0.008559271640029908,0.22141194960955105,0.007947363294557183,0.20558305371146535,0.9285092971449862,25.86808304740021,3.1222000000000003,0.70819350071353,0.8925621736237977,0.0
2,4,4,0.2,256,0.010932037639575563,0.2812424447827183,0.00956938320635634,0.24618619298157077,0.8753522007382946,25.726443144010027,3.1222000000000003,0.70819350071353,0.8925621736237977,0.0
2,4,4,0.4,256,0.012573334668349357,0.3594851874624247,0.00999554398282076,0.2857833738807939,0.7949795536726127,28.591077621384777,3.1222000000000003,0.70819350071353,0.8925621736237977,0.0
2,4,4,0.8,256,0.015041398738168352,0.5951487071280276,0.009125336352006129,0.3610656313646921,0.6066813672620819,39.567377840852394,3.1222000000000003,0.70819350071353,0.8925621736237977,0.0
2,4,4,1.6,256,0.019398507508110972,2.4526720801885458,0.005950885351971051,0.7524068719760855,0.3067702682530007,126.43612294208852,3.1222000000000003,0.70819350071353,0.8925621736237977,0.0
3,8,2,0.1,256,0.0031325117351313028,0.20037041960593627,0.002926460809696203,0.1871904177797366,0.9342218185093366,63.96477860203053,5.2479640000000005,0.9161278253384977,0.9009938106284542,0.0
3,8,2,0.2,256,0.004373990185911608,0.25773413428024755,0.0038539228055380244,0.2270895488214793,0.8811000120556527,58.92425984639737,5.2479640000000005,0.9161278253384977,0.9009938106284542,0.0
3,8,2,0.4,256,0.0053357981052026245,0.33677298482856793,0.0043682306344295,0.27570422271825207,0.8186649022889929,63.115766036987104,5.2479640000000005,0.9161278253384977,0.9009938106284542,0.0
3,8,2,0.8,256,0.006831400016422888,0.5559800075502217,0.004478555329639084,0.3644914980825044,0.6555838215991604,81.38595400849451,5.2479640000000005,0.9161278253384977,0.9009938106284542,0.0
3,8,2,1.6,256,0.008828847168075221,2.0094887342413004,0.0033637265603454437,0.7656005930790193,0.3809927271715103,227.6048838525075,5.2479640000000005,0.9161278253384977,0.9009938106284542,0.0
4,16,1,0.1,256,0.0049197822473826475,0.19078877255202725,0.004601022566129303,0.178427296928232,0.9352085793181341,38.77992215072688,8.691701680000001,1.135635011227901,0.9040714026357936,0.0
4,16,1,0.2,256,0.007361873237779285,0.2376056599416356,0.006476488626926234,0.20902972716350393,0.8797337875488701,32.27516316394895,8.691701680000001,1.135635011227901,0.9040714026357936,0.0
4,16,1,0.4,256,0.010678844850344128,0.31676120035043326,0.008453583715782491,0.2507543992445818,0.7916196774326273,29.662496720347576,8.691701680000001,1.135635011227901,0.9040714026357936,0.0
4,16,1,0.8,256,0.016035118003574756,0.5110448959944589,0.010922256728967726,0.3480961944175111,0.6811460150485201,31.870354548094387,8.691701680000001,1.135635011227901,0.9040714026357936,0.0
4,16,1,1.6,256,0.028580975864737502,1.8366328731611414,0.011651321094220344,0.748721787481117,0.40766001655651846,64.26067751686301,8.691701680000001,1.135635011227901,0.9040714026357936,0.0
