orientation,tree_depth,subband_side,n_coefficients,std,std_over_pixel_std,excess_kurtosis,excess_kurtosis_se,excess_kurtosis_gaussian_surrogate,kurtosis_in_se
HL,0,1,10000,5.880725550638419,5.880725550638419,2.3639985999703814,0.21828105727532765,-0.05290511828433475,10.830067571958681
HL,1,2,40000,4.219638349580767,4.219638349580767,1.6157682415634946,0.08273053545025424,-0.02173622616339488,19.53049418536707
HL,2,4,160000,1.9387072229494104,1.9387072229494104,3.468632254263107,0.08112661382752406,0.009277793302623127,42.75578741197619
HL,3,8,640000,0.8616540427739217,0.8616540427739217,5.305317536690607,0.0662839321652185,0.0017330126231516196,80.03926990128828
HL,4,16,2560000,0.34755346837802814,0.34755346837802814,7.088856735087052,0.06729086817808647,0.0038144871812950676,105.34648945717669
LH,0,1,10000,10.743333550400797,10.743333550400797,0.26218299911882914,0.060049459342420786,-0.05808296844418992,4.366117563586705
LH,1,2,40000,5.334028785258749,5.334028785258749,0.6734987491094406,0.03715202127926707,-0.010254577136151966,18.128185921482853
LH,2,4,160000,2.3508533437975196,2.3508533437975196,2.2699202242137835,0.05271574562790388,0.0060599890151888935,43.059624732164515
LH,3,8,640000,0.9855080641395418,0.9855080641395418,4.108937121006783,0.05033907487111418,-0.003252041086825752,81.62520132773824
LH,4,16,2560000,0.377854208206777,0.377854208206777,5.818481068735974,0.06139878289941564,-0.002503576187478984,94.76541380743478
HH,0,1,10000,4.383177523896875,4.383177523896875,1.959448024688938,0.21307942099273708,0.08947953481697546,9.195857655140365
HH,1,2,40000,2.6013810228738183,2.6013810228738183,1.2216694155447811,0.06360352136961046,-0.013519201291803284,19.207575134802056
HH,2,4,160000,1.0911512164091173,1.0911512164091173,2.6865537828488177,0.06139728285033999,-0.000319407200610744,43.75688398780567
HH,3,8,640000,0.43840742235641017,0.43840742235641017,4.356659706274686,0.04635918690399639,-0.0038906213950724577,93.97618891152555
HH,4,16,2560000,0.141048751285806,0.141048751285806,6.415916322868959,0.06755187451355685,-0.0010828761665098163,94.97762081467276
LL,-1,1,10000,16.469061109091978,16.469061109091978,0.3630295023940868,0.05217938990408294,nan,nan
