budget,t,argmin_k,oracle_spread,best_distance,dist_k0,dist_k1,dist_k2,dist_k3,dist_k4
250,0.1,0,0.15564053289318053,0.1260929149270074,0.1260929149270074,0.1260929149270074,0.12917772148336498,0.14432727876284035,0.16830366053313955
250,0.2,0,0.2284861804938569,0.17855737018667384,0.17855737018667384,0.17855737018667384,0.17988537215507774,0.19952654981375825,0.23910509898727247
250,0.4,2,0.27099191935674477,0.29902634887389645,0.30388129904049066,0.30388129904049066,0.29902634887389645,0.32320791393881815,0.39380871290660546
250,0.8,2,0.2722483398164225,0.7620349151061778,0.7690322927734382,0.7690322927734381,0.7620349151061778,0.8011896174436777,0.9099479967415247
250,1.6,0,0.23018561722315076,3.407741488242953,3.407741488242953,3.407741488242953,3.5090855390717954,3.6825395034129493,3.9415217256686974
500,0.1,0,0.15564053289318053,0.09571996675769642,0.09571996675769642,0.09571996675769642,0.1009040824546751,0.12095082319771354,0.16143550341723026
500,0.2,0,0.2284861804938569,0.14321993043573233,0.14321993043573233,0.14321993043573233,0.14827138070342558,0.17391652773564142,0.2333479551029058
500,0.4,2,0.27099191935674477,0.251725369867646,0.2520750029019184,0.2520750029019184,0.251725369867646,0.28182431439790095,0.3641526957971088
500,0.8,1,0.2722483398164225,0.6158781288687327,0.6158781288687328,0.6158781288687327,0.6165510834946359,0.6512919227995938,0.7436560143796118
500,1.6,0,0.23018561722315076,2.532103842618519,2.532103842618519,2.532103842618519,2.613763687574468,2.739259054797295,2.919419267015146
1000,0.1,0,0.15564053289318053,0.07960718660258939,0.07960718660258939,0.07960718660258939,0.08509101057688502,0.10666399472130013,0.16516753949635293
1000,0.2,0,0.2284861804938569,0.12372594255905466,0.12372594255905466,0.12372594255905466,0.12861409840235602,0.15574976941319435,0.23943567418104073
1000,0.4,0,0.27099191935674477,0.2240549021973574,0.2240549021973574,0.2240549021973574,0.22535544540068358,0.2559655598303665,0.3575052255254807
1000,0.8,1,0.2722483398164225,0.5248978819454548,0.524897881945455,0.5248978819454548,0.529580157492026,0.5585498159874533,0.642050553982364
1000,1.6,0,0.23018561722315076,2.09924204987222,2.09924204987222,2.09924204987222,2.172250339455353,2.2742627521868783,2.408191847183768
2000,0.1,0,0.15564053289318053,0.073766888452898,0.073766888452898,0.073766888452898,0.07949355978007075,0.10353765427710175,0.16686519928430033
