k_train,t,argmin_k,matches_own_oracle,oracle_spread,dist_k0,dist_k1,dist_k2,dist_k3,dist_k4
0,0.1,0,1,0.1478921684152191,0.0998391892963904,0.0998391892963904,0.1048556878068374,0.12276582432899052,0.17594024958034102
0,0.2,0,1,0.21347852348248803,0.13609344337790513,0.13609344337790513,0.14422481506083878,0.16803332510905214,0.23872637827137644
0,0.4,0,1,0.2574772830267079,0.20703248696080306,0.20703248696080306,0.21791012070070742,0.24245010228222955,0.30994328382020864
0,0.8,0,1,0.2658747779663217,0.39349247055590614,0.39349247055590614,0.4069626381027952,0.42708989968299604,0.4769472334791643
0,1.6,0,1,0.22464595418243713,1.5161465871390558,1.5161465871390558,1.5589257005344672,1.61139772593058,1.6967139091260628
1,0.1,0,0,0.1478921684152191,0.09786741924537598,0.09786741924537598,0.1015913905571177,0.12125783420232687,0.17440942496109024
1,0.2,0,0,0.21347852348248803,0.13668870696159738,0.13668870696159738,0.1418163529944485,0.1671614097367364,0.23920069257335957
1,0.4,0,0,0.2574772830267079,0.2053854417890019,0.2053854417890019,0.21236748669546404,0.24112605140220086,0.3174843832934361
1,0.8,0,0,0.2658747779663217,0.3899298624175938,0.3899298624175938,0.3986298016591184,0.43195035821887795,0.4926603113641601
1,1.6,0,0,0.22464595418243713,1.496811273216558,1.496811273216558,1.541328210867997,1.608890846024272,1.698801396858642
2,0.1,2,1,0.1478921684152191,0.09178193443177549,0.09178193443177549,0.09017944204370298,0.11728620109799241,0.1792632935045628
2,0.2,2,1,0.21347852348248803,0.1324648051322914,0.1324648051322914,0.1272226464806316,0.16598310691320212,0.2498502783645435
2,0.4,2,1,0.2574772830267079,0.20877170460991257,0.20877170460991257,0.20025365165251355,0.24840384184694417,0.33229135012257305
2,0.8,2,1,0.2658747779663217,0.40358375027808097,0.40358375027808097,0.3972163244908472,0.4481064361880375,0.5134265230517588
2,1.6,0,0,0.22464595418243713,1.54605998517525,1.54605998517525,1.58230250332499,1.652604235901243,1.7425786007906792
3,0.1,3,1,0.1478921684152191,0.1137288745274414,0.1137288745274414,0.11443667121188332,0.09651217418200464,0.17163888507041913
3,0.2,3,1,0.21347852348248803,0.17035508227140905,0.17035508227140905,0.16919572672985814,0.13113456899305226,0.23414890080878636
3,0.4,3,1,0.2574772830267079,0.2584903272130256,0.2584903272130256,0.25416818218794535,0.20455524799089855,0.3150977848369291
3,0.8,3,1,0.2658747779663217,0.43442579365390094,0.43442579365390094,0.43404667393120616,0.40983494954861927,0.4960596152383526
3,1.6,0,0,0.22464595418243713,1.5846203118869244,1.5846203118869244,1.630277795288348,1.6888098484469312,1.7922045899485661
4,0.1,4,1,0.1478921684152191,0.17010561876823485,0.17010561876823485,0.17310040445004685,0.16822892720268254,0.10302092366135149
4,0.2,4,1,0.21347852348248803,0.24892151002487842,0.24892151002487842,0.2514139711202277,0.24000092915068721,0.1496601973206558
4,0.4,4,1,0.2574772830267079,0.34176274861187045,0.34176274861187045,0.34287115804683976,0.3259924039306717,0.2408724316768064
4,0.8,4,1,0.2658747779663217,0.5286713982027428,0.5286713982027428,0.5312406854209278,0.5209471872562581,0.49075083621436655
4,1.6,0,0,0.22464595418243713,1.7756439903654158,1.7756439903654158,1.8211097289142313,1.8856799648028637,1.973651090817455
