rho,depth,filter_level,n_leaves,n_distinct_rungs,block_size,t_speciation_top,t_speciation_bottom,ladder_span,cross_block_covariance,levels,eigenvalues,speciation_times
0.9,4,1,16,5,8,1.135635011227901,0.08697665356171899,13.056779776219486,0.4304672100000001,-1;-2;1;2;3,8.691702;1.804226;0.996436;0.497800;0.190000,1.135635;0.515564;0.345682;0.201999;0.086977
0.9,4,2,16,4,4,1.1143512064993006,0.08697665356171899,12.81207267543988,0.4304672100000001,-1;-2;2;3,8.287807;1.400331;0.497800;0.190000,1.114351;0.437803;0.201999;0.086977
0.9,4,3,16,3,2,1.0894477518465282,0.08697665356171899,12.525749235379028,0.4304672100000001,-1;-2;3,7.836541;0.949066;0.190000,1.089448;0.333675;0.086977
0.9,4,4,16,2,1,1.067497732249166,0.22538899454272956,4.736246037278401,0.4304672100000001,-1;-2,7.457008;0.569533,1.067498;0.225389
0.9,5,0,32,6,32,1.3629632885429597,0.08697665356171899,15.670449859004925,0.3486784401000001,-1;0;1;2;3;4,14.270557;3.112847;1.804226;0.996436;0.497800;0.190000,1.362963;0.707058;0.515564;0.345682;0.201999;0.086977
0.9,5,1,32,6,16,1.3629632885429597,0.08697665356171899,15.670449859004925,0.3486784401000001,-1;-2;1;2;3;4,14.270557;3.112847;1.804226;0.996436;0.497800;0.190000,1.362963;0.707058;0.515564;0.345682;0.201999;0.086977
0.9,5,2,32,5,8,1.3410668441410396,0.08697665356171899,15.418699032717015,0.3486784401000001,-1;-2;2;3;4,13.616247;2.458536;0.996436;0.497800;0.190000,1.341067;0.620423;0.345682;0.201999;0.086977
0.9,5,3,32,4,4,1.3154116299296907,0.08697665356171899,15.12373235877912,0.3486784401000001,-1;-2;3;4,12.885196;1.727486;0.497800;0.190000,1.315412;0.501690;0.201999;0.086977
0.9,5,4,32,3,2,1.2927662323220033,0.08697665356171899,14.863370564201473,0.3486784401000001,-1;-2;4,12.270353;1.112643;0.190000,1.292766;0.373970;0.086977
0.9,5,5,32,2,1,1.2750752596130746,0.2507879563604181,5.08427628709813,0.3486784401000001,-1;-2,11.809032;0.651322,1.275075;0.250788
0.9,6,0,64,7,64,1.5954089667613156,0.08697665356171899,18.34295643059211,0.2824295364810001,-1;0;1;2;3;4;5,23.308302;5.232812;3.112847;1.804226;0.996436;0.497800;0.190000,1.595409;0.914914;0.707058;0.515564;0.345682;0.201999;0.086977
0.9,6,1,64,7,32,1.5954089667613156,0.08697665356171899,18.34295643059211,0.2824295364810001,-1;-2;1;2;3;4;5,23.308302;5.232812;3.112847;1.804226;0.996436;0.497800;0.190000,1.595409;0.914914;0.707058;0.515564;0.345682;0.201999;0.086977
0.9,6,2,64,6,16,1.573116423443504,0.08697665356171899,18.086651521114387,0.2824295364810001,-1;-2;2;3;4;5,22.248319;4.172829;1.804226;0.996436;0.497800;0.190000,1.573116;0.821710;0.515564;0.345682;0.201999;0.086977
0.9,6,3,64,5,8,1.546974069402572,0.08697665356171899,17.786084035813506,0.2824295364810001,-1;-2;3;4;5,21.064018;2.988528;0.996436;0.497800;0.190000,1.546974;0.691711;0.345682;0.201999;0.086977
0.9,6,4,64,4,4,1.5238769907773848,0.08697665356171899,17.52052911182695,0.2824295364810001,-1;-2;4;5,20.067972;1.992482;0.497800;0.190000,1.523877;0.548052;0.201999;0.086977
0.9,6,5,64,3,2,1.5058183441311446,0.08697665356171899,17.31290274421296,0.2824295364810001,-1;-2;5,19.320631;1.245141;0.190000,1.505818;0.404384;0.086977
0.9,6,6,64,2,1,1.4926657057706008,0.27045538553348447,5.519082945330357,0.2824295364810001,-1;-2,18.793061;0.717570,1.492666;0.270455
