n_chains,n_components,design,seed,update,log_evidence,q_before,rho_score,abs_rho_score,max_param_change,rel_ll_increment,ll_increment,monotone_ok,rho,innovation_mean,innovation_var,innovation_excess_kurtosis,min_sd_over_dx,min_component_mass,max_component_mass,effective_components,q_after,seconds
256,4,uniform,0,0,-11108.755803562617,-11181.559732747077,0.1607727895866927,0.1607727895866927,0.0,nan,nan,1,0.3,2.7755575615628914e-17,1.067910107432684,-0.15067769840416068,8.700969437594475,0.25,0.25,4.0,-11057.598102461254,0.13477992708794773
256,4,uniform,0,1,-10894.641873119028,-10685.8639034339,0.12985111307216773,0.12985111307216773,0.14135858141632834,0.019274339469675092,214.1139304435892,1,0.44135858141632833,-0.01805533373044878,0.9506178750410456,-0.056928029158112015,8.324326475903563,0.2396188632630212,0.2602769671880622,3.998081293391648,-10605.74671525187,0.13131070882081985
256,4,uniform,0,2,-10754.748216582213,-10222.28178405446,0.10225725511257912,0.10225725511257912,0.10044940625064946,0.012840592482620516,139.8936565368149,1,0.5418079876669778,-0.022646721154868658,0.8484397097508233,0.022985886802010747,7.978749691201729,0.2325038888800641,0.26910457412341526,3.993432080466578,-10169.48095186582,0.14010335295461118
256,4,uniform,0,3,-10661.317819483917,-9795.537751321113,0.07996572725608175,0.07996572725608175,0.06990284796200408,0.008687362569236233,93.43039709829645,1,0.6117108356289819,-0.02248045044429039,0.7604875213669702,0.08904727698375581,7.664409063145068,0.22688050281634844,0.2769875462365451,3.986789117131973,-9759.427720541313,0.13250061217695475
256,4,uniform,0,4,-10596.602566187299,-9408.613483604293,0.06315861328564562,0.06315861328564562,0.05441799291059346,0.00607009887448887,64.71525329661745,1,0.6606126066710174,-0.02109308493422198,0.6862302836439178,0.14217254657346867,7.3826955808709585,0.22206855282019314,0.2840616015591757,3.978751320519303,-9382.976566723077,0.1410163959953934
256,4,uniform,0,5,-10550.19873356084,-9061.761328827593,0.050879390080491506,0.050879390080491506,0.0475665510312645,0.0043791236235026796,46.403832626459916,1,0.695658736371421,-0.019648980163704904,0.6244684124579283,0.1843582854160899,7.133058849648009,0.2178420596104074,0.29036563423118494,3.96993393887356,-9043.027926529554,0.13643422699533403
256,4,uniform,0,6,-10516.051844641524,-8753.047531481414,0.0419070642169899,0.0419070642169899,0.04080180450729998,0.0032366109664542482,34.14688891931473,1,0.7216179748337471,-0.018429724228596834,0.5734770779251516,0.21805527132872138,6.913011043811941,0.2141154985133221,0.29594577659205795,3.960844862242615,-8739.078014187915,0.14245064393617213
256,4,uniform,0,7,-10490.463892867036,-8479.27993590378,0.03521193282724756,0.03521193282724756,0.0347038007076933,0.0024332279977801003,25.58795177448883,1,0.7415030852157655,-0.017449298916251885,0.531414897049777,0.245583763519591,6.71910487855252,0.21083266693787076,0.30087106591989216,3.9518353633537133,-8468.709116578953,0.1314244659151882
256,4,uniform,0,8,-10471.034773118829,-8236.79439920248,0.0300602695144532,0.0300602695144532,0.029449023889794645,0.0018520744122114434,19.429119748207086,1,0.7571906103479141,-0.016662814052755624,0.4965999945725234,0.26885775184100735,6.5477418328494394,0.20794018981201823,0.3052222148506337,3.9431176942135298,-8228.704101048072,0.14102083910256624
256,4,uniform,0,9,-10456.12927170154,-8021.950465131115,0.025968908666285682,0.025968908666285682,0.025017503982624867,0.00142349841636984,14.905501417288178,1,0.7698647309229804,-0.016024608492291526,0.4676179688170179,0.2893407721795076,6.395601815393571,0.20538608581613657,0.30907961234858944,3.9348037542649044,-8015.7000744167435,0.13147959485650063
256,4,uniform,0,10,-10444.595687866657,-7831.380347350803,0.022629104771486972,0.022629104771486972,0.021313225710660133,0.0011030452603620958,11.533583834883757,1,0.7802954180962908,-0.015499457558690399,0.44332894747455076,0.3081067162630262,6.2598012439446,0.2031224279130367,0.31251648505538615,3.926940727264833,-7826.511654140602,0.14033223106525838
256,4,uniform,0,11,-10435.604333329384,-7662.081717275943,0.019843119530462434,0.019843119530462434,0.018222808951895042,0.0008608619046611817,8.991354537272855,1,0.789002759687785,-0.015061830626123467,0.4228323622750512,0.3259267916924524,6.137908348663556,0.2006991414831028,0.31559636565020355,3.9195370227268773,-7658.261072878986,0.13208861579187214
256,4,uniform,0,12,-10428.54758792305,-7511.427639768972,0.017481135091480807,0.017481135091480807,0.015640001740731213,0.0006762181835310733,7.056745406332993,1,0.7963521428183183,-0.014693259383508078,0.40542147510411936,0.34334884647432284,6.027898621884055,0.19830743350882427,0.31837299318582696,3.9125792066092604,-7508.408704417725,0.14012463577091694
256,4,uniform,0,13,-10422.974671419528,-7377.139065367999,0.015454584026881883,0.015454584026881883,0.013473689991062798,0.000534390475426945,5.57291650352272,1,0.802609670723945,-0.014380138709570394,0.39054119839924617,0.36075963155344937,5.928093004212349,0.1961392001421277,0.32089128746273904,3.906042414846992,-7374.737873959828,0.13140475191175938
256,4,uniform,0,14,-10418.547549608558,-7257.244175848517,0.013700360053149249,0.013700360053149249,0.011648804745640062,0.000424746480782422,4.427121810969766,1,0.8079751527142738,-0.014112213620760887,0.377753344360759,0.37843049096728265,5.837097433172035,0.1941617404227429,0.3231886490871898,3.899896529218248,-7255.322002250359,0.1429029309656471
256,4,uniform,0,15,-10415.010394759549,-7150.036211585871,0.012171604801750049,0.012171604801750049,0.010104592912969446,0.0003395055627636127,3.537154849009312,1,0.8126024087404741,-0.013881585115451067,0.36670947710671625,0.39654985542345145,5.753750346341842,0.1923479371503642,0.3252962372331184,3.89410973987322,-7148.487559129295,0.13083874504081905
