seed,n_chains,n_components,inits_tried,val_log_evidence_per_edge,test_log_evidence_per_edge,schedule_score_risk,hellinger_weighted_mean_sq,hellinger_weighted_mean,s_min_over_h,effective_n_components,em_iters_used,em_converged
0,128,1,2,-1.4219796913738207,-1.4101975380310585,0.507311625613395,0.06365395237929347,0.24363684908084365,8.51017420621023,1.0,150,True
0,128,2,2,-1.445264579652718,-1.4296377515178715,0.6578165134131122,0.09493070212117502,0.30400435525672476,4.608277185635283,1.981839639113884,401,False
0,128,4,2,-1.4441797929470785,-1.4279892668905037,0.640587040993388,0.09574565449993941,0.3056299387367114,3.350654108372796,3.723341034943781,401,False
0,128,8,2,-1.4437813504672647,-1.4277427815150214,0.6350068290902989,0.0962273823294469,0.3063688897753506,2.8978013636787843,6.912936950387507,401,False
0,128,16,2,-1.4446248733876221,-1.4283922284406898,0.6422444287033219,0.0960495978336513,0.3060362577811902,2.672376730523564,13.754004976552492,401,False
0,512,1,2,-1.3132046023239574,-1.3082424040515759,0.20289288548675377,0.024118857888776688,0.1531509602521177,14.09909242289047,1.0,61,True
0,512,2,2,-1.3072266730651292,-1.3034935917335249,0.14066629104203196,0.014856479430313742,0.11599946314720375,4.768975621423959,1.992102846157321,401,False
0,512,4,2,-1.308631530411823,-1.30479512794837,0.18541956336632906,0.021250556750341335,0.14300368881328862,6.28256014963894,2.8441517125974465,401,False
0,512,8,2,-1.3087587328939587,-1.3049276670235614,0.189783966744411,0.021404244457768087,0.14356030287830102,5.02410925440748,5.689802045241125,401,False
0,512,16,2,-1.3088613729534146,-1.3050211895375692,0.1921283014152564,0.02119049343144646,0.14277386981013643,3.9112447437786164,12.81361327488789,401,False
1,128,1,2,-1.3041336682480231,-1.3058454239376547,0.2525832053715813,0.03316959615766811,0.18210955180699095,17.09400733619104,1.0,42,True
1,128,2,2,-1.297802667389715,-1.2989973626077043,0.12897180453296173,0.010719761770066893,0.1035304426722772,7.152075331110797,1.888985136306377,401,False
1,128,4,2,-1.2994050685801615,-1.3007462240810062,0.18368849824925335,0.02998168169708949,0.17315216820620072,3.3161741177876345,2.581723783548849,401,False
1,128,8,2,-1.299520096253204,-1.3008539828929393,0.18392270614069325,0.033252736882807235,0.1823532626698065,3.0250134924889407,5.976444696772402,401,False
1,128,16,2,-1.2995749444668507,-1.300908152672271,0.18603356747726957,0.037090613715580846,0.19258913241397083,2.8794121260313568,11.935659228432309,401,False
1,512,1,2,-1.3684951238918814,-1.3633542984840588,0.3259586824522572,0.05165759344058063,0.2093258376545007,11.94693011773827,1.0,65,True
1,512,2,2,-1.419276188425729,-1.4110035263212168,0.7703515135041028,0.16121427586017356,0.3896172364805434,3.1671071584318824,1.1598575295321913,401,False
1,512,4,2,-1.4230360854350659,-1.4158263231570813,0.768821728915009,0.17939748418903628,0.41715912678501255,3.0318754639406587,3.070724680717989,401,False
1,512,8,2,-1.4230479619352887,-1.4158621348715794,0.772403801273354,0.18098374005460302,0.4189502329786645,2.9639250575094134,6.184381158995824,401,False
1,512,16,2,-1.4228782510278488,-1.4156944277150487,0.7697432465269217,0.18350511275367648,0.42189122143900437,2.8975190752728333,12.330421330937156,401,False
2,128,1,2,-1.2992536320382877,-1.3009110728013644,0.17963103222040627,0.01435630002268105,0.11980484284385566,12.104846544443353,1.0,72,True
2,128,2,2,-1.3023532460389617,-1.3047738381566403,0.21497329901015025,0.02000553992693482,0.14143799120935574,7.301789861380498,1.7461786332606948,252,True
2,128,4,2,-1.3034726126399956,-1.30602561917546,0.2538559257525346,0.029224456248120454,0.17095098326581112,3.9535641288619985,3.224997430882007,401,False
2,128,8,2,-1.3034751806182139,-1.305991714998699,0.24974206019862671,0.029471805253972628,0.1716724568884176,3.320236915534593,6.836487286326184,401,False
2,128,16,2,-1.3034818193189899,-1.3059924670954792,0.2487430677977784,0.029423023824579696,0.17153007036905,2.9630161571598617,13.640644206389839,401,False
2,512,1,2,-1.30596648232736,-1.3074115235718582,0.2373822982109616,0.01906928866603363,0.13769722924081013,10.680309826035685,1.0,96,True
2,512,2,2,-1.332188541067607,-1.3322917487729553,0.4966790070598783,0.08593598915148928,0.29304369216558207,5.950258177824672,1.1864229104361825,401,False
2,512,4,2,-1.3375386730473275,-1.3377034208186471,0.5411782281704193,0.10294315104747523,0.32076538464378435,3.228063102835775,3.233012894803936,401,False
2,512,8,2,-1.3382848812142853,-1.3384375017955277,0.5459455642154205,0.09954605386012966,0.31541111062993765,3.2769838856154307,6.650902120637836,401,False
2,512,16,2,-1.338432160737148,-1.3386011743591109,0.5472393468395386,0.09990856383538413,0.31599068388902035,3.008926429502636,13.26163575163856,401,False
3,128,1,2,-1.3971826100459281,-1.388752435829652,0.35964301655415726,0.05124531812532559,0.21151805812320884,10.848143941667539,1.0,93,True
3,128,2,2,-1.3839426386006866,-1.3759755543175347,0.29562764524005214,0.047538287003637776,0.19447354094841993,4.69996572617807,1.9879879765147743,401,False
3,128,4,2,-1.3854554643352213,-1.377544010168226,0.3108594205201624,0.05025351293721888,0.20199446855602746,4.885420214438564,3.8698225366110046,401,False
3,128,8,2,-1.386032677431214,-1.378114397655831,0.3147426247742972,0.05188482748104772,0.20613985173484356,4.406749903862943,6.689072292921359,401,False
3,128,16,2,-1.387044946574512,-1.379143624682643,0.326381564432825,0.05363420685242484,0.21074019394978735,3.999548202978024,14.381157584401032,401,False
3,512,1,2,-1.3048503861188865,-1.3062009639815313,0.2004194786454639,0.015568346473185368,0.12476347148772304,11.480827159184557,1.0,97,True
3,512,2,2,-1.3082548576502504,-1.309185111332347,0.22853119830802357,0.018846590606422905,0.13726282194992706,8.649287796941929,1.9815771384606324,401,False
3,512,4,2,-1.3084044171514497,-1.3093104968118363,0.22990864907963793,0.019388149390266184,0.139223700918144,8.389671075285422,3.7753090159904534,401,False
3,512,8,2,-1.308054443465667,-1.3089476085179073,0.22324221903437327,0.018956495945373075,0.1376643034326881,7.817857080608206,7.828495911431444,401,False
3,512,16,2,-1.3080266480772968,-1.308919813708738,0.22274045432597103,0.018852219047090453,0.13728503186120788,7.951083048254744,15.441678245104264,401,False
4,128,1,2,-1.319034692549495,-1.3163994196039022,0.18569737842609493,0.02035152605564481,0.14179345342056487,12.69369505524881,1.0,65,True
4,128,2,2,-1.3794978976372956,-1.3753128001814006,0.6565305748348106,0.1343038773160523,0.3658846104265776,1.5694158488519765,1.1536852364154604,401,False
4,128,4,2,-1.3639603507660194,-1.3602956892501463,0.605252009181428,0.1670619557250662,0.4082655832201948,1.4417244550433241,2.9624160185430233,401,False
4,128,8,2,-1.3639132357071335,-1.3602551511624572,0.6047700639001907,0.1667511513471117,0.4078849336083321,1.4395579861018186,6.478165095363305,401,False
4,128,16,2,-1.3640312326777333,-1.3603896134466067,0.6047317679228436,0.1666458854963418,0.407753509199298,1.427141632822413,11.825135537145124,401,False
4,512,1,2,-1.5049518772722943,-1.4987440870240252,0.8741491899115799,0.142051477805408,0.37684254059710864,4.751639173636687,1.0,401,False
4,512,2,2,-1.6191247366265142,-1.602560602227466,1.0264600669283883,0.16255262829911277,0.39851119520575673,4.386933766122965,1.2004597858284745,401,False
4,512,4,2,-1.6177887416854408,-1.6010485015256253,1.0022702096652996,0.16140438971230792,0.39694302546787047,4.105673585111489,2.6660225971204357,401,False
4,512,8,2,-1.613508086433599,-1.5966763495603653,0.9529266712939493,0.1603765863744274,0.3953800006305098,3.142868931301684,5.321664892622057,401,False
4,512,16,2,-1.6204854085953726,-1.6033129130796355,0.980233268463633,0.16149042487201734,0.3966559011649716,2.842516001184978,11.959483149055128,401,False
5,128,1,2,-1.326503724519159,-1.3348209860996463,0.25818467603959344,0.037680451748496546,0.1852046127427408,14.117381275565299,1.0,64,True
5,128,2,2,-1.3425674635718103,-1.3509403878181223,0.32531599331610317,0.053485565418871464,0.21231312819744586,10.947380297706113,1.8206733119742835,401,False
5,128,4,2,-1.3475759949950321,-1.3567427397491711,0.41020036835120854,0.0835419758732601,0.27329363328758083,5.41568105627338,3.2926612711795724,401,False
