n_chains,n_components,rho_hat,rho_true,innovation_mean,innovation_var,innovation_var_true,innovation_excess_kurtosis,innovation_excess_kurtosis_true,monotone_violation,iters
128,4,0.8648840062877817,0.85,-0.0011732103802876215,0.268629027911009,0.2775000000000001,1.6059112435207457,3.0,0.0,61
128,8,0.8294390441308107,0.85,-0.0027741054908640168,0.2824110037678758,0.2775000000000001,3.180813716174314,3.0,0.0,61
512,4,0.8518295666916641,0.85,0.000996963844048958,0.28444685684722065,0.2775000000000001,2.271837349093409,3.0,0.0,61
512,8,0.8503289471485468,0.85,-0.004618494233291592,0.26940910466838597,0.2775000000000001,2.2632487316316316,3.0,0.0,61
2048,4,0.8464888395788936,0.85,-0.0029402596664178104,0.2817504355512955,0.2775000000000001,1.817914836603272,3.0,0.0,61
2048,8,0.8506640609035108,0.85,0.000683425496940091,0.2792983440826006,0.2775000000000001,2.7175229184220067,3.0,0.0,61
