n_components,init_id,rho_init,iteration,log_evidence,seconds,rho_hat
4,0,0.0,0,-116513.31877241716,1.758644586429,0.0
4,0,0.0,1,-112650.35040105526,1.7400969150476158,0.22009397601636024
4,0,0.0,2,-110052.39840771264,1.7456470290198922,0.3905311550219517
4,0,0.0,3,-108406.77544190778,1.7261433880776167,0.5126934526781575
4,0,0.0,4,-107360.99414743448,1.7550834137946367,0.5963320624808427
4,0,0.0,5,-106663.83909652421,1.7341530877165496,0.6530958438239717
4,0,0.0,6,-106173.33401140873,1.7689761780202389,0.692429354686097
4,0,0.0,7,-105814.31599218518,1.7495301589369774,0.7207141118383805
4,0,0.0,8,-105544.90251871484,1.778650895692408,0.7419037822874459
4,0,0.0,9,-105339.44614985693,1.7571565280668437,0.7583745052541196
4,0,0.0,10,-105180.93080389989,1.7871470041573048,0.7715627653573903
4,0,0.0,11,-105057.47366403193,1.764560288283974,0.7823629513246104
4,0,0.0,12,-104960.52013991459,1.7919803061522543,0.791356281790901
4,0,0.0,13,-104883.79178091777,1.769522431306541,0.7989386905034181
4,0,0.0,14,-104822.61710912579,1.7961929249577224,0.8053921892949744
4,0,0.0,15,-104773.48290805804,1.766511701978743,0.8109254706921308
4,0,0.0,16,-104733.72358123217,1.7892527827061713,0.8156978105272815
4,0,0.0,17,-104701.3014554599,1.767291726078838,0.8198337581793604
4,0,0.0,18,-104674.64887079134,1.7911148821003735,0.8234325893687504
4,0,0.0,19,-104652.55314781521,1.768776822835207,0.8265746597075773
4,0,0.0,20,-104634.07180342502,1.7793870251625776,0.8293258401697984
4,0,0.0,21,-104618.46940482283,1.7556249047629535,0.8317407114466779
4,0,0.0,22,-104605.17009525902,1.7573082251474261,0.83386492222625
4,0,0.0,23,-104593.72159913741,1.728010085877031,0.8357369647672949
4,0,0.0,24,-104583.76772372329,1.748968687839806,0.8373895330432913
4,0,0.0,25,-104575.02721075206,1.7291514780372381,0.8388505752886712
4,0,0.0,26,-104567.27737631966,1.7555662197992206,0.8401441189548574
4,0,0.0,27,-104560.34139171938,1.7322301771491766,0.8412909238403095
4,0,0.0,28,-104554.07835464772,1.7576769962906837,0.8423090040461889
4,0,0.0,29,-104548.37551535053,1.7359167370013893,0.8432140488620705
4,0,0.0,30,-104543.14218032065,1.7633006419055164,0.8440197651642528
4,0,0.0,31,-104538.30493394723,1.7292011459358037,0.8447381584509653
4,0,0.0,32,-104533.80390763708,1.8425758248195052,0.8453797656212851
4,0,0.0,33,-104529.5898940858,1.7558838780969381,0.8459538496104061
4,0,0.0,34,-104525.62215623033,1.72199921682477,0.8464685637335042
4,0,0.0,35,-104521.86681803293,1.8105406919494271,0.8469310918562902
4,0,0.0,36,-104518.29574766787,1.7732846168801188,0.8473477691504194
4,0,0.0,37,-104514.88585195004,1.7148427180945873,0.8477241870964842
4,0,0.0,38,-104511.61869397956,1.7721740859560668,0.8480652854935528
4,0,0.0,39,-104508.48032749558,1.8339221286587417,0.8483754334824022
4,0,0.0,40,-104505.4612202445,1.8140980475582182,0.8486585009736947
4,0,0.0,41,-104502.55612820045,1.794684436172247,0.8489179213837917
4,0,0.0,42,-104499.76379603335,1.7226784038357437,0.8491567462072681
4,0,0.0,43,-104497.08640298646,1.6968958601355553,0.8493776916873294
4,0,0.0,44,-104494.52874125178,1.7220178921706975,0.8495831777001921
4,0,0.0,45,-104492.09718825853,1.6975600686855614,0.849775358996734
4,0,0.0,46,-104489.79859246178,1.7229216750711203,0.8499561491906346
4,0,0.0,47,-104487.6392166638,1.6986271818168461,0.8501272383271912
4,0,0.0,48,-104485.62386858289,1.722696770913899,0.8502901053933981
4,0,0.0,49,-104483.7553040554,1.6976345973089337,0.8504460275570568
4,0,0.0,50,-104482.0339312535,1.7197967753745615,0.8505960880892119
4,0,0.0,51,-104480.45779235821,1.6975901271216571,0.8507411847604925
4,0,0.0,52,-104479.02276389168,1.7228964692912996,0.8508820400514868
4,0,0.0,53,-104477.72290179017,1.688634421210736,0.8510192139045533
4,0,0.0,54,-104476.5508591712,1.713155458215624,0.8511531191179676
4,0,0.0,55,-104475.49831739845,1.6906022559851408,0.8512840389647147
4,0,0.0,56,-104474.55638816679,1.7146750162355602,0.8514121462759738
4,0,0.0,57,-104473.71596122216,1.6897560157813132,0.8515375230768443
4,0,0.0,58,-104472.96798633428,1.7123971646651626,0.8516601798720799
4,0,0.0,59,-104472.30368829396,1.6924569816328585,0.8517800738048374
4,0,0.0,60,-104471.71472014827,1.5938556659966707,0.8518971251002146
4,1,0.3,0,-112166.66321474905,1.7131288168020546,0.3
4,1,0.3,1,-109972.11054635709,1.7066863840445876,0.4347287496099827
4,1,0.3,2,-108485.21547486869,1.7119767777621746,0.5325529172264876
4,1,0.3,3,-107462.42677363577,1.6899577849544585,0.6026313921357085
4,1,0.3,4,-106742.81889146642,1.7116308328695595,0.653097941522617
4,1,0.3,5,-106224.57532095996,1.6886811698786914,0.6901144767978624
4,1,0.3,6,-105843.79761202575,1.7089893352240324,0.7179471372259262
4,1,0.3,7,-105559.46067755418,1.6897840201854706,0.7394230963511412
4,1,0.3,8,-105344.32893254518,1.7123632300645113,0.7563926065658003
4,1,0.3,9,-105179.74884061504,1.688719840720296,0.7700763892747219
4,1,0.3,10,-105052.61969471296,1.714589160401374,0.7812966706996718
4,1,0.3,11,-104953.55773082067,1.6908868309110403,0.7906224926664503
4,1,0.3,12,-104875.73484352574,1.7133502918295562,0.7984592312402875
4,1,0.3,13,-104814.11755513781,1.6907900162041187,0.8051037843516201
4,1,0.3,14,-104764.95437550484,1.715810488909483,0.8107790931721837
4,1,0.3,15,-104725.42290378608,1.6921302019618452,0.8156562387687013
4,1,0.3,16,-104693.38251407577,1.7169684381224215,0.8198689757696446
