seed,n_chains,t,method,n_params,score_rel_l2
12,32,0.1,em_bp,13,0.1690443738235753
12,32,0.1,local_cnn_oracle_r,6593,0.20294341488480644
12,32,0.1,global_mlp,25505,1.1167695841980065
12,32,0.2,em_bp,13,0.1214029744999415
12,32,0.2,local_cnn_oracle_r,6593,0.12451874146014896
12,32,0.2,global_mlp,25505,0.8272347135225486
12,32,0.4,em_bp,13,0.0870464589941238
12,32,0.4,local_cnn_oracle_r,6593,0.1248335861119006
12,32,0.4,global_mlp,25505,0.4918837298298319
12,32,0.8,em_bp,13,0.04507925838706496
12,32,0.8,local_cnn_oracle_r,6593,0.08024771558555148
12,32,0.8,global_mlp,25505,0.2288478483411462
12,32,1.6,em_bp,13,0.017099087897734115
12,32,1.6,local_cnn_oracle_r,6593,0.032246807031143944
12,32,1.6,global_mlp,25505,0.07628606492739033
12,128,0.1,em_bp,13,0.07453425644384988
12,128,0.1,local_cnn_oracle_r,6593,0.11710002503244041
12,128,0.1,global_mlp,25505,0.6721126118499162
12,128,0.2,em_bp,13,0.04636336623742609
12,128,0.2,local_cnn_oracle_r,6593,0.1000026984956013
12,128,0.2,global_mlp,25505,0.4746069302651499
12,128,0.4,em_bp,13,0.025862580738086515
12,128,0.4,local_cnn_oracle_r,6593,0.06716870286031641
12,128,0.4,global_mlp,25505,0.306468220552448
12,128,0.8,em_bp,13,0.015160773232372323
12,128,0.8,local_cnn_oracle_r,6593,0.052893488485943996
12,128,0.8,global_mlp,25505,0.12059911838128416
12,128,1.6,em_bp,13,0.011862144778749624
12,128,1.6,local_cnn_oracle_r,6593,0.016151965089605983
12,128,1.6,global_mlp,25505,0.038276574211466345
12,512,0.1,em_bp,13,0.03973652439101925
12,512,0.1,local_cnn_oracle_r,6593,0.09107609005232202
12,512,0.1,global_mlp,25505,0.3611579186581431
12,512,0.2,em_bp,13,0.024028754367571882
12,512,0.2,local_cnn_oracle_r,6593,0.08216215388208237
12,512,0.2,global_mlp,25505,0.25220538480764426
12,512,0.4,em_bp,13,0.017548454253969416
12,512,0.4,local_cnn_oracle_r,6593,0.0627752147525418
12,512,0.4,global_mlp,25505,0.19482274789805268
12,512,0.8,em_bp,13,0.015915077047778326
12,512,0.8,local_cnn_oracle_r,6593,0.036419955998812426
12,512,0.8,global_mlp,25505,0.10235464947748923
12,512,1.6,em_bp,13,0.015143974173077892
12,512,1.6,local_cnn_oracle_r,6593,0.015281669969821311
12,512,1.6,global_mlp,25505,0.03423759255291934
12,2048,0.1,em_bp,13,0.025071389910376173
12,2048,0.1,local_cnn_oracle_r,6593,0.09230973836111286
12,2048,0.1,global_mlp,25505,0.21091648664452967
12,2048,0.2,em_bp,13,0.013360926293360052
12,2048,0.2,local_cnn_oracle_r,6593,0.07256658805088795
12,2048,0.2,global_mlp,25505,0.17291567348653922
12,2048,0.4,em_bp,13,0.005924140914721912
12,2048,0.4,local_cnn_oracle_r,6593,0.05396284939548938
12,2048,0.4,global_mlp,25505,0.1631612275014281
12,2048,0.8,em_bp,13,0.0027144455926967153
12,2048,0.8,local_cnn_oracle_r,6593,0.030668237728173828
12,2048,0.8,global_mlp,25505,0.06851594043167067
12,2048,1.6,em_bp,13,0.001570318519401588
12,2048,1.6,local_cnn_oracle_r,6593,0.011063555118183252
12,2048,1.6,global_mlp,25505,0.01917227595522749
