family,excess_kurtosis,rho,t,radius,rms_error,fitted_rate,fitted_rate_se,rate_over_gaussian
gaussian,0.0,0.5,0.05,1,0.004232504556064849,0.06007878364867879,0.0004044073225601753,1.0
gaussian,0.0,0.5,0.05,2,0.0002467981954987496,0.06007878364867879,0.0004044073225601753,1.0
gaussian,0.0,0.5,0.05,3,1.4771263901465674e-05,0.06007878364867879,0.0004044073225601753,1.0
gaussian,0.0,0.5,0.05,4,9.497384544842977e-07,0.06007878364867879,0.0004044073225601753,1.0
gaussian,0.0,0.5,0.05,5,5.3499596926412587e-08,0.06007878364867879,0.0004044073225601753,1.0
gaussian,0.0,0.5,0.05,6,3.005024406358471e-09,0.06007878364867879,0.0004044073225601753,1.0
gaussian,0.0,0.5,0.05,7,2.014906123366393e-10,0.06007878364867879,0.0004044073225601753,1.0
gaussian,0.0,0.5,0.05,8,1.2035129469465669e-11,0.06007878364867879,0.0004044073225601753,1.0
gaussian,0.0,0.5,0.1,1,0.012587120859338368,0.10995459523087232,0.0006386101371175344,1.0
gaussian,0.0,0.5,0.1,2,0.001407951005526344,0.10995459523087232,0.0006386101371175344,1.0
gaussian,0.0,0.5,0.1,3,0.00015168670357934647,0.10995459523087232,0.0006386101371175344,1.0
gaussian,0.0,0.5,0.1,4,1.8044857918402588e-05,0.10995459523087232,0.0006386101371175344,1.0
gaussian,0.0,0.5,0.1,5,1.799331779150423e-06,0.10995459523087232,0.0006386101371175344,1.0
gaussian,0.0,0.5,0.1,6,2.1144587322589272e-07,0.10995459523087232,0.0006386101371175344,1.0
gaussian,0.0,0.5,0.1,7,2.1611819600917675e-08,0.10995459523087232,0.0006386101371175344,1.0
gaussian,0.0,0.5,0.1,8,2.511371924025017e-09,0.10995459523087232,0.0006386101371175344,1.0
gaussian,0.0,0.5,0.2,1,0.036785011260917294,0.1886751953584435,0.0013280876054258429,1.0
gaussian,0.0,0.5,0.2,2,0.006434861003694701,0.1886751953584435,0.0013280876054258429,1.0
gaussian,0.0,0.5,0.2,3,0.0011938727971634105,0.1886751953584435,0.0013280876054258429,1.0
gaussian,0.0,0.5,0.2,4,0.00022788400370443146,0.1886751953584435,0.0013280876054258429,1.0
gaussian,0.0,0.5,0.2,5,4.44171906440924e-05,0.1886751953584435,0.0013280876054258429,1.0
gaussian,0.0,0.5,0.2,6,8.412035880538131e-06,0.1886751953584435,0.0013280876054258429,1.0
gaussian,0.0,0.5,0.2,7,1.6911458750714316e-06,0.1886751953584435,0.0013280876054258429,1.0
gaussian,0.0,0.5,0.2,8,2.8537056523917485e-07,0.1886751953584435,0.0013280876054258429,1.0
gaussian,0.0,0.5,0.4,1,0.08175069410318453,0.28869626518486985,0.0025296702932417568,1.0
gaussian,0.0,0.5,0.4,2,0.022285281387563225,0.28869626518486985,0.0025296702932417568,1.0
gaussian,0.0,0.5,0.4,3,0.0068182405124935334,0.28869626518486985,0.0025296702932417568,1.0
gaussian,0.0,0.5,0.4,4,0.0018642288559275104,0.28869626518486985,0.0025296702932417568,1.0
gaussian,0.0,0.5,0.4,5,0.0005640082186721047,0.28869626518486985,0.0025296702932417568,1.0
gaussian,0.0,0.5,0.4,6,0.000174544084894415,0.28869626518486985,0.0025296702932417568,1.0
gaussian,0.0,0.5,0.4,7,4.234282676823546e-05,0.28869626518486985,0.0025296702932417568,1.0
gaussian,0.0,0.5,0.4,8,1.3736825879705253e-05,0.28869626518486985,0.0025296702932417568,1.0
gaussian,0.0,0.5,0.8,1,0.1115649205871315,0.40945531580018185,0.0037236381480467056,1.0
gaussian,0.0,0.5,0.8,2,0.03927024295866317,0.40945531580018185,0.0037236381480467056,1.0
gaussian,0.0,0.5,0.8,3,0.01717713334071429,0.40945531580018185,0.0037236381480467056,1.0
gaussian,0.0,0.5,0.8,4,0.006735120930000453,0.40945531580018185,0.0037236381480467056,1.0
gaussian,0.0,0.5,0.8,5,0.0027247718184941023,0.40945531580018185,0.0037236381480467056,1.0
gaussian,0.0,0.5,0.8,6,0.0012348950131891823,0.40945531580018185,0.0037236381480467056,1.0
gaussian,0.0,0.5,0.8,7,0.0005049351370420448,0.40945531580018185,0.0037236381480467056,1.0
gaussian,0.0,0.5,0.8,8,0.00019531556407562098,0.40945531580018185,0.0037236381480467056,1.0
gaussian,0.0,0.5,1.6,1,0.07276055085266128,0.4788763627476218,0.0031334321520877562,1.0
