beta_true,excess_kurtosis,t,alpha,delta,n_info,condition_number,corr_rho_beta,corr_q_beta,corr_rho_q,diag_rho,eff_rho,nuisance_cost_rho,diag_q,eff_q,nuisance_cost_q,diag_beta,eff_beta,nuisance_cost_beta
1.0,3.000000000000001,0.05,0.951229424500714,0.09516258196404048,512,61.26405670368433,0.14600783833771508,0.26088321588210656,0.1538193454233771,109.18826624795642,105.29139800892298,1.0370103191022613,53.82852413597038,49.42832005327633,1.0890219226134186,1.985024510623705,1.827131543892882,1.0864157631444624
1.0,3.000000000000001,0.1,0.9048374180359595,0.18126924692201818,512,119.31018065106167,0.2204758966503579,0.346382464026404,0.39163857863109147,100.08456993957773,83.91531440494161,1.1926853953809884,41.36298825101946,32.07889440928718,1.2894143957481414,1.0557226118904013,0.9200849748787907,1.1474185979718656
1.0,3.000000000000001,0.2,0.8187307530779818,0.3296799539643607,512,169.6921719466571,0.20068084311920417,0.12123436218505548,0.5210635630077255,76.61306260548147,54.34177460738401,1.4098373334144156,31.40715807062712,22.870796827537276,1.3732428435904669,0.5416397450563161,0.5196198602117684,1.0423769115283115
1.0,3.000000000000001,0.4,0.6703200460356393,0.5506710358827784,512,371.7013781353511,0.13006933535334597,0.01985129419748188,0.6784345369300279,63.24890017296504,33.27684670353436,1.900687908817013,19.601487578595147,10.48618008143033,1.8692686399031855,0.20378085267882096,0.1985672310075844,1.02625620372899
1.0,3.000000000000001,0.8,0.44932896411722156,0.7981034820053446,512,2821.607643214791,-0.07960832918435064,-0.057513783286400055,0.8557062421958936,59.31405418391598,15.827362274556098,3.7475640700578787,9.30276908068658,2.4899195327719283,3.736172578368498,0.023689989719176865,0.023529899787216025,1.006803680993483
1.0,3.000000000000001,1.6,0.20189651799465538,0.9592377960216338,512,38370.53051491622,0.023534431915709964,-0.00042654952844222897,0.899651888340549,7.101732348799483,1.3497154837937102,5.261651388067581,1.1083796342109007,0.21076912712537463,5.2587380767183625,0.00020972512370453993,0.00020909569035776536,1.0030102645621133
1.2,1.743484224965706,0.05,0.951229424500714,0.09516258196404048,512,92.45349928731787,0.10480790487522854,0.15828402578194853,0.16212445856604638,110.0139933965036,106.41549803696083,1.0338155195993437,66.8992044909294,63.79043016803778,1.0487341802634413,1.2752578463399966,1.235103744616141,1.0325107116700833
1.2,1.743484224965706,0.1,0.9048374180359595,0.18126924692201818,512,135.46183335785548,0.06628169332351126,0.07188049262338173,0.31905260603189667,91.76842144655834,82.25356164030505,1.115677176969695,49.171499881592055,44.038989788172266,1.116544682748337,0.7487934341463554,0.7433580831606594,1.0073118879162322
1.2,1.743484224965706,0.2,0.8187307530779818,0.3296799539643607,512,239.47397872855498,0.037390706130155944,-0.11849362936730322,0.43949840192710693,73.90685053113648,59.03106863734257,1.2519991969852908,34.092287122159156,26.885533195751524,1.2680532267645876,0.35828830312711474,0.3497031205463693,1.0245499169905379
1.2,1.743484224965706,0.4,0.6703200460356393,0.5506710358827784,512,471.6995861537412,-0.013852605518323199,-0.14487907693566393,0.6989558882204598,73.26416624278986,36.899942917667104,1.9854818314017537,21.969474053592386,10.834883375015304,2.027661331754884,0.18840528736327827,0.18163606328847354,1.037268062037074
1.2,1.743484224965706,0.8,0.44932896411722156,0.7981034820053446,512,2474.157733450204,-0.039530481478692654,-0.16116322340218742,0.8056821385990711,47.42408028899222,16.24283400138026,2.9196924800784325,9.323764166122364,3.1153302254252266,2.992865440083392,0.022907727154909713,0.021780186852055575,1.0517690830897404
1.2,1.743484224965706,1.6,0.20189651799465538,0.9592377960216338,512,123527.98579189322,0.0917291206974295,0.1269688537616314,0.9035439892844269,6.706628608493467,1.2277887170196684,5.4623637727940055,0.8970287417198742,0.16294352443362384,5.505151216274845,6.152397003937246e-05,6.0354988382767576e-05,1.0193684347877143
1.5,0.7619542369302295,0.05,0.951229424500714,0.09516258196404048,512,160.9822813785351,0.04581314926126094,0.013596484598773566,0.3002160685745711,108.29415401236798,98.34500673213319,1.1011657593082864,85.91472879859583,78.17125898006586,1.0990577600970275,0.7977410507030428,0.7960666944602118,1.0021032863885435
1.5,0.7619542369302295,0.1,0.9048374180359595,0.18126924692201818,512,371.8226254864841,0.06170649290659799,0.0025403778432586135,0.33184446093702985,79.23342022874527,70.21466557976142,1.1284454547282414,55.35901286500928,49.24495883000971,1.124155937587538,0.249299509852291,0.248260124233721,1.004186679684376
1.5,0.7619542369302295,0.2,0.8187307530779818,0.3296799539643607,512,1046.6497193459131,0.08411085292329719,0.041489119151340015,0.4921929331548423,69.35084824965317,52.268533181492025,1.3268183365476551,36.16973847623272,27.407478569709266,1.3197032475730002,0.0793608746925148,0.07879942456981646,1.007125053587173
1.5,0.7619542369302295,0.4,0.6703200460356393,0.5506710358827784,512,5309.17571832896,0.0754654694982275,0.0909959310622645,0.6788404626057688,75.28276767387786,40.57639861199147,1.8553338948033125,21.13125853879403,11.359851021487316,1.8601703929764537,0.01643402077705984,0.016292227266762344,1.0087031384951748
