n_chains,n_components,design,seed,update,log_evidence,q_before,rho_score,abs_rho_score,max_param_change,rel_ll_increment,ll_increment,monotone_ok,rho,innovation_mean,innovation_var,innovation_excess_kurtosis,min_sd_over_dx,min_component_mass,max_component_mass,effective_components,q_after,seconds
512,16,high,0,0,-23088.52747548847,-23438.1337121959,0.017689543369533912,0.017689543369533912,0.0,nan,nan,1,0.3,-6.938893903907228e-18,1.1279920215022063,0.18557648651881697,16.16801973982263,0.0625,0.0625,15.999999999999998,-23435.622901742943,1.2281533740460873
512,16,high,0,1,-23083.641699933563,-23412.9127238512,0.01759952158985742,0.01759952158985742,0.015629950707614526,0.00021161053081855961,4.885775554907013,1,0.3156299507076145,-0.005878822255422529,1.1246684660115527,0.18559099811364765,16.158094002818256,0.06217159745550063,0.06273683922792532,15.999927235784504,-23410.54767095863,1.029186885105446
512,16,high,0,2,-23079.028349198925,-23385.894901250635,0.01746967250337934,0.01746967250337934,0.0153721763230526,0.00019985367970131826,4.613350734638516,1,0.3310021270306671,-0.010318400961716823,1.121138845653589,0.18536999512163055,16.147451153342725,0.06191098373856627,0.06291978625981691,15.999770777038792,-23383.64254265317,1.0384423369541764
512,16,high,0,3,-23074.62831955743,-23356.795861304017,0.017304035732024867,0.017304035732024867,0.015090748857262803,0.00019065055837365013,4.400029641496076,1,0.3460928758879299,-0.013606404670839525,1.117363788940319,0.18496386646333018,16.135991249311225,0.061703073829202024,0.06307775935875179,15.999590144996725,-23354.63683206418,1.0984596989583224
512,16,high,0,4,-23070.40742070709,-23325.363740749337,0.017104684192777844,0.017104684192777844,0.0147844549441839,0.00018292380669722807,4.220898850337107,1,0.3608773308321138,-0.015982287513586158,1.1133079977077438,0.1844125478414873,16.12362126085899,0.0615354044012381,0.06321142409809624,15.999414501083717,-23323.28757040059,1.0091911992058158
512,16,high,0,5,-23066.34750680624,-23291.380903704518,0.016872689309550777,0.016872689309550777,0.014452941262556751,0.00017597928926074387,4.059913900851825,1,0.37533027209467057,-0.017643576890013432,1.1089407109528686,0.18374766028161993,16.110256589942853,0.06139774485020839,0.06332680090160628,15.999254971639575,-23289.382644091762,1.0182832588907331
512,16,high,0,6,-23062.440272500913,-23254.665822952953,0.016608797336442452,0.016608797336442452,0.014096670056841343,0.00016939111422707015,3.9072343053267105,1,0.3894269421515119,-0.01875165949453734,1.1042361730998858,0.18299417385327166,16.09582238562888,0.06128176551471419,0.06342878193013908,15.999112508413496,-23252.743718435526,1.011529274052009
512,16,high,0,7,-23058.682984734216,-23215.07476229874,0.016313883042872374,0.016313883042872374,0.013716866318139842,0.00016291804866708817,3.757287766697118,1,0.40314380846965175,-0.019437064746544067,1.099174050456963,0.18217171899161144,16.080254663296003,0.06118075170911188,0.06352129944361805,15.998982747718664,-23213.22867098907,1.0027682029176503
512,16,high,0,8,-23055.075606665734,-23172.502972695016,0.01598923180981344,0.01598923180981344,0.013315451100943121,0.00015644336976531364,3.607378068481921,1,0.4164592595705949,-0.01980424509613128,1.093739751378752,0.18129563607052734,16.06350121637889,0.06108935544943298,0.06360747291946021,15.998858902125587,-23170.73332464949,1.022652112878859
512,16,high,0,9,-23051.618915417122,-23126.885195994582,0.015636689505790728,0.015636689505790728,0.012894957870319357,0.00014993189818957693,3.4566912486116053,1,0.42935421744091423,-0.019935855507818075,1.0879246171970354,0.18037782804679647,16.04552229768034,0.06100337908282003,0.06368973789461858,15.998733399883264,-23125.192333420964,1.0357219967991114
