source,orientation,parent_depth,corr_linear,std_ratio_q4_q1,std_ratio_linear_ar_null,std_ratio_excess_over_null
real_heldout,HL,0,0.17170190471445368,1.321189598944385,1.042501494879974,0.2786881040644109
real_heldout,HL,1,0.37304534730415867,1.814919777122235,1.2082848816839633,0.6066348954382716
real_heldout,HL,2,0.3923641808841253,2.570168645610064,1.231814423838747,1.338354221771317
real_heldout,HL,3,0.4499384889101457,3.6341809730153303,1.3114800494389809,2.3227009235763494
real_heldout,LH,0,0.32951594162457754,1.2890996401044752,1.1606138854703412,0.12848575463413403
real_heldout,LH,1,0.3899164855772368,1.6253237095133086,1.2287488004753913,0.39657490903791737
real_heldout,LH,2,0.4159958618613838,2.360499186293722,1.2627180340784332,1.097781152215289
real_heldout,LH,3,0.48236644875301593,3.3148156452581254,1.3633381923594654,1.95147745289866
real_heldout,HH,0,0.03410264557921568,1.2836349229051611,1.0016639358150747,0.2819709870900864
real_heldout,HH,1,0.0989699568836797,1.4090860552593243,1.0140453096530357,0.39504074560628855
real_heldout,HH,2,0.09965128814554958,2.018768483969635,1.0142398621113484,1.0045286218582867
real_heldout,HH,3,0.14884593019227874,2.86424758823452,1.031874240726282,1.832373347508238
gaussian,HL,0,0.2202284074538209,1.0638886456956944,1.0703108911782857,-0.006422245482591293
gaussian,HL,1,0.34053712368780514,1.1791338714159996,1.1720090617525014,0.007124809663498155
gaussian,HL,2,0.38445088587013915,1.2192521037224988,1.2219926336351088,-0.002740529912609979
gaussian,HL,3,0.3077958770331045,1.138814288752399,1.139440821171909,-0.0006265324195098287
gaussian,LH,0,0.217805361789233,1.0865392101282436,1.0687501219946565,0.01778908813358715
gaussian,LH,1,0.3398896705283719,1.1668161222230213,1.1713272698953343,-0.004511147672312976
gaussian,LH,2,0.38363129386527683,1.2220099878169277,1.2209900685639317,0.0010199192529960488
gaussian,LH,3,0.3062887893965409,1.135812463307749,1.1380336338811667,-0.0022211705734176412
gaussian,HH,0,0.21836621509623438,1.0792166356821824,1.069109755853414,0.010106879828768456
gaussian,HH,1,0.33843978631553095,1.1711735822182527,1.16980612030287,0.0013674619153827283
gaussian,HH,2,0.38367851463267355,1.218863333753508,1.221047756973504,-0.0021844232199961233
gaussian,HH,3,0.307746432509332,1.1376081905530047,1.1393945281939195,-0.001786337640914848
