family,orientation,tree_depth,std_ancestral,std_reverse,kurtosis_ancestral,kurtosis_reverse,std_ratio_reverse_over_ancestral,n_samples,reverse_steps,reverse_seconds
gaussian,HL,0,6.112757511383143,5.644590414389213,-0.4731979344172923,-0.1503271865604594,0.9234114724619598,128,150,1006.0157352052629
gaussian,HL,1,3.968640968981859,4.282548172371016,-0.36439608189000117,-0.0076665670281879095,1.0790969013933476,128,150,1006.0157352052629
gaussian,HL,2,1.9222359837614256,1.8517932284602863,-0.012939773791158071,0.2068929696944295,0.9633537422583791,128,150,1006.0157352052629
gaussian,HL,3,0.8588061599320234,0.8178147038561311,0.033036668185559837,0.06979747491583765,0.9522692570356774,128,150,1006.0157352052629
gaussian,HL,4,0.3274229235130701,0.23845898497870816,0.019297020967540046,-0.02724548140469718,0.7282904398390093,128,150,1006.0157352052629
gaussian,LH,0,10.666115299353008,10.935943767786805,-0.20801163158246938,0.0032244819887941034,1.0252977265725005,128,150,1006.0157352052629
gaussian,LH,1,5.038743645132466,5.385686037909252,0.335697319168184,0.3696234469250568,1.0688549402809846,128,150,1006.0157352052629
gaussian,LH,2,2.3247864744986506,2.251351482287035,0.00015587748066492324,-0.20218959765944877,0.9684121561196487,128,150,1006.0157352052629
gaussian,LH,3,0.9975581784599973,0.9516078998405988,-0.06310020022368956,-0.04617407095024717,0.9539372443516675,128,150,1006.0157352052629
gaussian,LH,4,0.35761028276058354,0.2698728665211569,-0.01987332786098106,0.028914752438910618,0.7546563382849761,128,150,1006.0157352052629
gaussian,HH,0,4.422091746466835,4.168319084405728,0.27692683112914773,0.12226918017804067,0.9426125289544555,128,150,1006.0157352052629
gaussian,HH,1,2.4932311113127543,2.558746766539744,-0.10133558523050734,0.10658583393046017,1.0262774096351195,128,150,1006.0157352052629
gaussian,HH,2,1.0394983729138771,1.0092781574789726,0.19604765170846905,0.12490869110036407,0.9709280781746753,128,150,1006.0157352052629
gaussian,HH,3,0.4386404179411757,0.36527325481622874,0.060984001674183386,0.029055063378613077,0.8327396196882478,128,150,1006.0157352052629
gaussian,HH,4,0.13335730117564376,0.05894435701249261,-0.05061113736865641,0.0458392433520749,0.4420032236169619,128,150,1006.0157352052629
gaussian,LL,-1,16.955771499573675,14.285873105442242,-0.12403529520157575,0.43178681073120684,0.8425374867667589,128,150,1006.0157352052629
