source,orientation,tree_depth,std,excess_kurtosis
real_heldout,HL,0,5.684653431992366,1.9677368745229513
real_heldout,HL,1,4.174654299750158,1.3906605880197809
real_heldout,HL,2,1.9529830620503168,3.325245965131587
real_heldout,HL,3,0.8685844197432916,5.354408683363889
real_heldout,HL,4,0.3499289222187304,6.9934409522379095
real_heldout,LH,0,10.592828087991208,0.3304672609123145
real_heldout,LH,1,5.417568539732482,0.6358070711940647
real_heldout,LH,2,2.3792953093859524,2.1917332825308744
real_heldout,LH,3,0.9935114174523394,3.982517820418111
real_heldout,LH,4,0.3817907197167757,5.680159449495834
real_heldout,HH,0,4.327137723629923,2.1417115168994414
real_heldout,HH,1,2.638027544724616,1.1579066888843226
real_heldout,HH,2,1.1012449406490783,2.489061326266876
real_heldout,HH,3,0.4411757209971525,4.238258802184611
real_heldout,HH,4,0.1418407134481152,6.422896027205946
real_heldout,LL,-1,16.064072577919625,0.3023670714268132
gaussian,HL,0,5.78865291007232,0.012950312070473036
gaussian,HL,1,4.192968499683168,0.0006210883669819367
gaussian,HL,2,1.9172072797297544,-0.006538806305270484
gaussian,HL,3,0.8660908091402221,-0.006202692059490644
gaussian,HL,4,0.3268564121120964,0.0004263240546236169
gaussian,LH,0,10.951004262520014,0.03621351158033326
gaussian,LH,1,5.378604294974421,-0.01811406164901097
gaussian,LH,2,2.3391248439615864,-0.017986496825248555
gaussian,LH,3,1.0040052608745818,0.011486255236711873
gaussian,LH,4,0.3578790779980341,-0.007220577657343075
gaussian,HH,0,4.431596756503888,0.06636724160214191
gaussian,HH,1,2.562657112184631,0.029899860346695117
gaussian,HH,2,1.0716646174517144,-0.0067499703571658465
gaussian,HH,3,0.4399311392459117,0.0029916081796401706
gaussian,HH,4,0.13319995513379276,-0.004669661689551852
gaussian,LL,-1,16.033102536666476,-0.05906432098351733
