t,rr_nearest_neighbor_intensity,tt_nearest_neighbor_intensity,fro_nearest_neighbor_intensity,rr_integrated_offdiag_intensity,tt_integrated_offdiag_intensity,fro_integrated_offdiag_intensity,fro_self_response,offdiag_fraction,rr_integrated_length,tt_integrated_length,rr_exp_fit_length,tt_exp_fit_length,rr_exp_fit_r2,tt_exp_fit_r2,rr_L95_response_mass,tt_L95_response_mass,rr_linear_length,tt_linear_length,rr_linear_integrated,tt_linear_integrated
0.03,0.8306053465823414,1.5807120518484794,1.7899870313434436,3.2356158411484373,15.340349543151126,16.024426475901365,21.668895214715597,0.425126408530091,1.9504479715031395,4.972852375114854,1.387055790937134,6.357109579707068,0.9999721690008544,0.9788680726764564,5,9,1.3541384465254025,4.445931516815556,1.913937420499426,4.440994251649006
0.06,0.242012334150687,0.6600000590302615,0.7056011896294535,1.0285824184229062,8.197130928161425,8.38837098516173,11.633612942322522,0.4189580321082459,2.13264281579482,6.431641539972115,1.5715043128175197,11.241564805929906,0.9991332024996528,0.9665300133304392,6,9,1.4613477964560757,6.377047850644993,2.0157797036810767,5.453963877830315
0.1,0.0959449098614548,0.3550469607119428,0.3706661398264403,0.4635057997525137,5.055655648890057,5.165541162784406,7.398528544420821,0.4111359840531668,2.4410980355599623,7.413447215286986,2.9936312411802457,17.36619001502852,0.901151031669913,0.9629298782117618,8,9,1.512365644694041,8.399878633894964,2.0642915863330678,6.200584373805819
0.2,0.0288047969713133,0.1650156617431177,0.1700508272932662,0.1997290926358644,2.691162019448935,2.7582286433555483,4.132834542282319,0.400261696787828,3.5550883008821046,8.533972452987774,5.360280687416317,33.98844357825883,0.8675054785260523,0.9604914126280928,9,9,1.554329923362084,12.515429288189829,2.104191326291617,7.1651125180080735
0.4,0.0157221870566161,0.0912217708675774,0.0966586443617038,0.2153713150738697,1.6261690502252368,1.722303794079238,2.49160514948018,0.4087187970000218,7.137342639764526,9.35841318855724,18.56800046513331,84.46622029906042,0.8772204015757435,0.9651460660020844,9,9,1.576280187663163,19.75310396159843,2.125055350417511,8.047182161325239
0.7,0.0316349649035137,0.0646827295671428,0.0771081749501025,0.585613913282488,1.19191202186627,1.4287382124694044,1.8172845338082877,0.4401504007043019,9.740176024165422,9.686520953399882,297.6655754934563,176.3933219759391,0.7147932670305503,0.9717008283429012,10,10,1.585369015972422,31.186273948074444,2.133692490940817,8.693090017339284
1.0,0.0220467141640068,0.0377119406272145,0.0455033669991926,0.4050797710261207,0.7008183230692969,0.8474284195286166,1.5975289239578014,0.3466025375805597,9.66455129132854,9.768707375483569,190.23838277184183,215.79892728876456,0.8545932245351783,0.972373315601915,10,10,1.5885846135884325,45.097483865039024,2.1367479731879917,9.068697574574685
1.5,0.0178224457386765,0.0200366988951369,0.0271180702119127,0.333801895098899,0.3739888036205601,0.5088973146420831,1.4626396524440597,0.2581221266138438,9.850120292786226,9.816845722945944,331.40019548184165,282.99341885728325,0.9894610042324392,0.9772282035329876,10,10,1.5905550047447423,77.94355918501711,2.138620167586648,9.445419405838619
2.0,0.0080577773093465,0.0080481878837553,0.0114440044546913,0.1503284660616129,0.150428523900053,0.2150775275400125,1.429274659333973,0.1307977264583982,9.810475702158437,9.830679924190283,253.10328750594624,296.4737628225528,0.9957506087086936,0.9868700484102504,10,10,1.5911951069956949,130.61739688782083,2.1392283554975426,9.663685487092
