t,lag,rr_rms,tt_rms,rt_rms,tr_rms,fro_rms,rr_signed_mean,tt_signed_mean,rr_linear,tt_linear
0.03,0,15.444639427600046,15.198718923849503,0.03921639686148158,0.039216396861481644,21.668895214715594,-15.444636859431068,-15.198653909351835,1.7294182477333138,1.9230656359048115
0.03,1,0.8306053465823414,1.5807120518484794,0.08756492591654245,0.08848798504171539,1.7899870313434436,0.8305469273126579,1.5803410164881622,0.8263872009846049,1.5357146702568025
0.03,2,0.39980410867393157,1.2741290144761779,0.0955053489882091,0.08800182165017015,1.3416831455830773,0.39968275179383045,1.2735436671803073,0.3948818088662145,1.2263853632496078
0.03,3,0.1943217165956891,1.0375164019635235,0.08459940446964284,0.08385409081099622,1.062256928274129,0.19409095023541642,1.0366135477125817,0.18869077689933683,0.9793623049399985
0.03,4,0.09445390622271196,0.8533985328510567,0.0745686448503754,0.0699493636320941,0.8646756574233031,0.0942128386516586,0.8520656955657486,0.09016421746320043,0.7820955411567235
0.03,5,0.04647100050844263,0.7104593338262345,0.06389006199291762,0.06072140977500865,0.7174127462873766,0.04615579048756359,0.7086940400734838,0.04308417318716264,0.6245629757362398
0.03,6,0.023991541551529716,0.6004771776484468,0.054553075257039,0.05933187935107694,0.6063371544528621,0.023515575337009795,0.5982674876304953,0.020587390779263758,0.49876120004926505
0.03,7,0.012748899369801777,0.5196880928108093,0.047725050247994685,0.05259724947757825,0.5246736121802372,0.012123965040164036,0.5170601812339186,0.009837502445663775,0.39829888152005744
0.03,8,0.007558896842175878,0.46690542398236246,0.043205353395436734,0.04812724452187747,0.4714241679134763,0.006723082479686378,0.4636671948672803,0.004700763462746187,0.31807205332824373
0.03,9,0.005607911440624001,0.43641583233664966,0.04057519537879759,0.050176405103328554,0.4411963797380227,0.004032583096302558,0.43248799907951124,0.0022462182098292264,0.25400480845525664
0.03,10,0.004489185573941853,0.38094581966364577,0.03652230860681918,0.04305284001901301,0.3851328295095066,0.00194509104718403,0.37839544480625376,0.0010733354881934075,0.20284222409131283
0.06,0,8.368534993001303,8.081264164270218,0.029509913323767945,0.029509913323767664,11.633612942322522,-8.368534296252287,-8.081197481412786,0.4719970694463764,0.6919544939857338
0.06,1,0.24201233415068701,0.6600000590302615,0.048873944348111466,0.03625366973625452,0.7056011896294535,0.24197769722932952,0.6591412759330807,0.23809576818846553,0.5915272911808845
0.06,2,0.12385639539263242,0.5754896279331373,0.04993414395654655,0.041850311965825324,0.5922614168444428,0.12377429315539433,0.5744411849757436,0.12010581950381372,0.5056756466690553
0.06,3,0.06426077377149438,0.5066166984576829,0.04629697530634279,0.044931843949873033,0.5147350840239334,0.06402826823906112,0.5052469914943382,0.06058657820102119,0.43228412863874743
0.06,4,0.03401197407089363,0.4514018612785323,0.04212545678370958,0.04063322048505456,0.4564494139136841,0.033600009211124895,0.4497496396647443,0.03056249458413544,0.36954432965853273
0.06,5,0.019173496594071117,0.4056766607683355,0.03796167614245732,0.04163830324218037,0.4100195278474216,0.018477802887942645,0.4038009940056638,0.015417046199674048,0.31591030652179636
0.06,6,0.011311374515887969,0.37009793929777035,0.034802533057837745,0.03965785162872633,0.37401122091314687,0.010370679122487863,0.3679862400307476,0.0077770259514831335,0.27006048735455396
0.06,7,0.007319082546132164,0.3430117450708203,0.03238266247983883,0.038973133931152946,0.34681143035307427,0.005977268621715998,0.34045355882434636,0.003923068781575088,0.23086510735649962
0.06,8,0.005277977782583134,0.325449612723386,0.03069839077883112,0.03203899240844787,0.32850296148167946,0.0039839393931918165,0.32260259279952613,0.0019789658361669712,0.1973583707740033
0.06,9,0.005233143838326388,0.3145029275584198,0.02952090673497287,0.036590740517308526,0.31804063178045233,0.0034520037774341448,0.3113009721113788,0.000998276094242647,0.16871465316074052
0.06,10,0.0036693130974899046,0.29263666392473203,0.02695929209030595,0.030771050254466963,0.2955052315871537,0.0025434007329567785,0.2882088410185534,0.000503573706086087,0.14422815753654586
0.1,0,5.33608583103631,5.124749197212549,0.026060430661606057,0.02606043066160598,7.398528544420821,-5.33608444283663,-5.12465963147295,0.17636080760143644,0.32798981476688244
0.1,1,0.09594490986145487,0.35504696071194286,0.033782204444918064,0.03143850883177182,0.37066613982644037,0.09581447711916022,0.3536466758019857,0.09104156670443836,0.2911775493238895
0.1,2,0.05228549277755832,0.3233010366905379,0.034169067042069505,0.03427284515299018,0.3310581310549175,0.052010137814778847,0.32162917650819595,0.04699778244795919,0.25849694537169177
0.1,3,0.029412993179384082,0.2963322963994583,0.0330929658733735,0.03670712258192227,0.3018617420205605,0.029008118771934155,0.2945246662370452,0.024261352643418648,0.2294842817437406
0.1,4,0.016979484737485815,0.2749976734302094,0.031790944226197285,0.034927563104062274,0.27954001876861934,0.016425841595258436,0.27308200991753395,0.012524276709014744,0.20372788348317444
0.1,5,0.010623591828785492,0.25721352317359486,0.03005984038962771,0.03241632624083725,0.26120120485541476,0.009831579549373757,0.25514183085902165,0.006465324064547561,0.1808622803843339
0.1,6,0.007546482816648971,0.2427460841074736,0.028423377435011873,0.03076678855741036,0.24644896919111706,0.0063057440345691326,0.24046153393717445,0.0033375512399475035,0.16056302115622276
0.1,7,0.006160813928952541,0.23144011838374984,0.027126854469423367,0.03177362160805901,0.23526137228463304,0.004374958983384912,0.2290122854418801,0.0017229218780164316,0.14254206962352725
0.1,8,0.005406339811576144,0.22356980506028068,0.02623956910141717,0.03187814283242173,0.22741463722004016,0.003408356315115414,0.22092023091814558,0.0008894125016622547,0.12654371763962688
0.1,9,0.004934759825892434,0.21888624874674986,0.02568929829926807,0.03296053844621966,0.22289432223979327,0.002683948340572406,0.21604848151918535,0.0004591355001097538,0.1123409567179074
0.1,10,0.004916062217036456,0.20858815548206378,0.024231654853816592,0.03440856193072568,0.21284808786133472,0.0025215387132757595,0.20533878400931457,0.00023701646543876074,0.09973225689666845
0.2,0,2.9838607933620533,2.8594046612349966,0.018723020940337416,0.01872302094033745,4.132834542282319,-2.9838571911865808,-2.8593509551963967,0.04503316941418388,0.1211157842545283
0.2,1,0.028804796971313305,0.16501566174311771,0.02065103204221108,0.020758944810327383,0.17005082729326626,0.028372648050048542,0.16403664365248954,0.023665901640962387,0.11181498753913496
0.2,2,0.017881852525346173,0.1569469879200259,0.021002352898546052,0.021903963018811957,0.16085086288270736,0.017121082051170765,0.15592474306626317,0.012436941653573735,0.10322842324252594
0.2,3,0.012131278436660904,0.1500880501036796,0.020801021989945656,0.021272982166957655,0.15348880410809881,0.011067703999756751,0.1490125268970987,0.00653588103428403,0.09530124359588611
0.2,4,0.009159312695949811,0.14425394968695923,0.02038994236156649,0.021432748756642663,0.1475405282562162,0.007675164406741143,0.14313963793974552,0.00343474642594619,0.08798281273350758
0.2,5,0.007671910276257287,0.139549730195955,0.01991217307733395,0.021063642854887082,0.14273456866516507,0.005756784080907547,0.13835909670486188,0.001805033315120993,0.08122638324977348
0.2,6,0.0059847219786060965,0.1356210696550908,0.01972851173524791,0.02159686559954795,0.1388687517426615,0.00455946133627784,0.13441183097196943,0.0009485839315777556,0.07498879759417361
0.2,7,0.005828999044351379,0.13242677529034372,0.019254960924031762,0.021663493478571636,0.13568672931993145,0.004243704870331021,0.13115640732513864,0.000498501311698614,0.06923021239697534
