t,relative_marginal_score_error,mean_cosine_similarity
0.03,0.7322556794792703,0.6045457633276924
0.06,0.7150510120793682,0.6224637451557488
0.1,0.7334877514491133,0.5754776699533478
0.2,0.6949087199886909,0.5048962738963763
0.4,0.5125520861792141,0.7038262054126002
0.7,0.34853320857979003,0.8659213141396834
1.0,0.22861373104131594,0.9234649652203673
1.5,0.09215698868542332,0.983950726691146
2.0,0.037259096938875,0.9965564803489829
