n_components,n_chains,seed,n_params,n_iters,monotone_violation,train_log_evidence,train_log_evidence_per_edge,train_edges,heldout_log_evidence,heldout_log_evidence_per_edge,heldout_edges,bic,em_seconds_total,em_seconds_per_iter,fitted_rho,innovation_mean,innovation_var,innovation_excess_kurtosis
2,2048,0,6,40,0.0,-418674.2923458925,-1.3189084310291472,317440,-104612.4854112603,-1.3182016810894697,79360,837424.5929564035,540.1220772895031,13.503051932237577,0.8480979951743127,-0.0030871425956124432,0.28254253228847426,-0.021619273306791253
2,2048,1,6,40,0.0,-418621.09983031685,-1.3187408638807865,317440,-104271.46576152332,-1.3139045584869369,79360,837318.2079252522,537.2722781274933,13.431806953187333,0.8495837713342022,6.045346664582749e-05,0.28246393423395033,-0.014105596886246463
2,2048,2,6,40,0.0,-419473.2829283039,-1.321425412450554,317440,-104654.99411037104,-1.3187373249794738,79360,839022.5741212262,539.6650780925993,13.491626952314983,0.8511614052550484,0.0007921918898976677,0.2894767588095492,-0.03455601696563315
