mechanism,strength,arm,t,score_rel_l2,ratio_to_em,fitted_rho,chow_liu_rho,rho_minus_chow_liu,em_seconds,em_iters,em_monotone_violation,mode_cnn,mode_mlp,innovation_mean,innovation_var,innovation_excess_kurtosis
longrange,0.2,em_bp,0.1,0.0795545431251083,1.0,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,eps,eps,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,cnn,0.1,0.0421024934997027,0.5292280220061333,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,eps,eps,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,mlp,0.1,0.07657134642172907,0.962501240203368,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,eps,eps,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,em_bp,0.2,0.11189660050709564,1.0,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,eps,eps,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,cnn,0.2,0.0752331812696309,0.6723455487359526,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,eps,eps,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,mlp,0.2,0.12016834922495455,1.0739231458361809,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,eps,eps,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,em_bp,0.4,0.1752851962716204,1.0,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,eps,x0,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,cnn,0.4,0.15073245161982174,0.8599268781731463,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,eps,x0,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,mlp,0.4,0.20363292393501375,1.1617234556389233,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,eps,x0,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,em_bp,0.8,0.2958626637220892,1.0,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,x0,x0,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,cnn,0.8,0.29910714459506466,1.0109661720480658,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,x0,x0,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,mlp,0.8,0.22340551097746267,0.7550986939917257,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,x0,x0,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,em_bp,1.6,0.49068834238103193,1.0,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,x0,x0,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,cnn,1.6,0.5559399040665768,1.1329796452243313,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,x0,x0,-0.002981985685495287,0.38398553261332985,0.04005294459756259
longrange,0.2,mlp,1.6,0.25861639332605163,0.5270481708840546,0.7823431326022975,0.7020404728013226,0.08030265980097484,1141.1279572430067,81,0.0,x0,x0,-0.002981985685495287,0.38398553261332985,0.04005294459756259
