n_chains,n_edges,gauss_rho_rmse,gauss_q_rmse,mixture_rho_rmse,mixture_var_rmse
64,1984,0.022224427279248688,0.033117900661528456,0.020532572784263743,0.032996081016635
128,3968,0.016602234975316665,0.021550131062631945,0.010897658296450796,0.02266347381145626
256,7936,0.010154261522984771,0.015580795617355899,0.0098748331624714,0.015546857682394328
512,15872,0.008269066203110076,0.010462387591819021,0.007187485929259529,0.012105249858934295
1024,31744,0.006127793146417025,0.00891668773183399,0.005576088681847912,0.00931448954483622
2048,63488,0.0032359469243426306,0.00547565434686871,0.004023056573761043,0.006569566750544605
