n_chains,seed,arm,t,mse_vs_bayes_denoiser,rel_l2_vs_bayes_denoiser,denoising_risk,bayes_risk_floor,zero_predictor_ceiling,fraction_achievable_captured,score_reweighting,abs_score_error_implied
2048,3,em_bp,0.1,0.0005241041450323653,0.024015025356960103,0.11188290422292194,0.11122440356248633,1.009826391134581,0.9992671942978729,4.991676378648053,14.627334337845983
2048,3,mlp,0.1,0.005938612738385687,0.08083822241429223,0.11689314278579721,0.11122440356248633,1.009826391134581,0.9936916017305647,4.991676378648053,49.23782877407236
2048,3,cnn,0.1,0.002054430944844129,0.04754666128635326,0.1133610497900951,0.11122440356248633,1.009826391134581,0.9976222551728583,4.991676378648053,28.960240555492106
2048,3,em_bp,0.2,0.0006284679089531112,0.02752494542180056,0.18192478710739618,0.18166362399315808,1.009826391134581,0.9996846476023795,2.4834107844072584,7.9689313521732705
2048,3,mlp,0.2,0.009042215329690385,0.10440524955034101,0.18969579470514927,0.18166362399315808,1.009826391134581,0.9903012173081435,2.4834107844072584,30.22706325928697
2048,3,cnn,0.2,0.0035823228488254923,0.06571541801719852,0.18487364750365626,0.18166362399315808,1.009826391134581,0.9961239219657528,2.4834107844072584,19.025710929971705
2048,3,em_bp,0.4,0.0005544822743834162,0.028038370119212043,0.29758592164933184,0.29704090181769593,1.009826391134581,0.999235366264038,1.2172785608036423,3.668966753395656
2048,3,mlp,0.4,0.020511468313880364,0.1705325577595798,0.31623268498610346,0.29704090181769593,1.009826391134581,0.9730749524842314,1.2172785608036423,22.315073313148986
2048,3,cnn,0.4,0.00595883679856086,0.09191569518598577,0.30266918296146805,0.29704090181769593,1.009826391134581,0.992103821937837,1.2172785608036423,12.027647410273511
2048,3,em_bp,0.8,0.0004250723558430273,0.02936094936228964,0.5015262582616526,0.5009980745266899,1.009826391134581,0.9989619608073624,0.5629958698942408,1.4857529784148427
2048,3,mlp,0.8,0.01960980463297459,0.1994230235435827,0.5225904311699012,0.5009980745266899,1.009826391134581,0.9575645538220887,0.5629958698942408,10.091409086891515
2048,3,cnn,0.8,0.008592184619823851,0.1320050248196089,0.510534489954177,0.5009980745266899,1.009826391134581,0.9812580882073116,0.5629958698942408,6.679854127719687
2048,3,em_bp,1.6,0.00021397585050555594,0.036001647474421014,0.8331130584322614,0.833115782683622,1.009826391134581,1.0000154164562303,0.21047598294396438,0.39408952982667905
2048,3,mlp,1.6,0.013751833239530532,0.28861592663779007,0.8460173595355227,0.833115782683622,1.009826391134581,0.9269903659718245,0.21047598294396438,3.1593141649973115
2048,3,cnn,1.6,0.01136453545092567,0.2623710046339983,0.8415124107535592,0.833115782683622,1.009826391134581,0.952483735167108,0.21047598294396438,2.872025951863157
