seed,n_obs,t,arm,lam_init,r_star_init,lam_hat,lam_true,lam_rel_err,r_star_hat,r_star_true,r_star_abs_err,n_steps,hit_cap,loglik_init,loglik_final,monotone
1943031107,128,0.05,joint,0.28139639352295864,1.1085050608279203,0.0475321295384219,0.05,0.04935740923156212,0.949379407737114,1.0,0.050620592262885955,330,False,478.70521791331277,527.0084687852365,True
1943031107,128,0.05,marginal,0.28139639352295864,1.1085050608279203,0.04677438403888524,0.05,0.0645123192222953,0.9077998863879199,1.0,0.09220011361208014,601,True,-1556.066807468525,-1350.4045311834793,True
1943031107,128,0.1053,joint,0.28139639352295864,1.1085050608279203,0.05970004417387582,0.05,0.1940008834775163,0.9154671942209861,1.0,0.0845328057790139,345,False,-48.89718870154019,-10.973640937623735,True
1943031107,128,0.1053,marginal,0.28139639352295864,1.1085050608279203,0.03877028234602912,0.05,0.2245943530794177,0.9045813562915108,1.0,0.09541864370848918,601,True,-1539.1173411524785,-1380.9458615987278,True
1943031107,128,0.2216,joint,0.28139639352295864,1.1085050608279203,0.06966342852145548,0.05,0.39326857042910945,0.8741952296210902,1.0,0.1258047703789098,388,False,-663.526064199054,-632.8993464098039,True
1943031107,128,0.2216,marginal,0.28139639352295864,1.1085050608279203,0.0631717535919917,0.05,0.263435071839834,0.8488158918186155,1.0,0.1511841081813845,601,True,-1524.2718463763958,-1428.7490664004667,True
1943031107,128,0.4665,joint,0.28139639352295864,1.1085050608279203,0.02138218024050821,0.05,0.5723563951898358,0.9555094007991243,1.0,0.044490599200875725,601,True,-1134.166312448633,-1113.2328078428366,True
1943031107,128,0.4665,marginal,0.28139639352295864,1.1085050608279203,0.37446953581574327,0.05,6.489390716314865,0.05,1.0,0.95,265,False,-1499.624398624621,-1455.8634957839968,True
1943031107,128,0.9821,joint,0.28139639352295864,1.1085050608279203,0.0868974970826788,0.05,0.7379499416535759,0.6972769589885827,1.0,0.30272304101141734,601,True,-1484.920551939129,-1471.381479578788,True
1943031107,128,0.9821,marginal,0.28139639352295864,1.1085050608279203,0.027167057650002546,0.05,0.45665884699994913,0.9196273892154853,1.0,0.08037261078451474,601,True,-1525.5259168673106,-1520.8827486891855,True
1943031107,128,2.0676,joint,0.28139639352295864,1.1085050608279203,9.089638340721644e-05,0.05,0.9981820723318557,0.05,1.0,0.95,31,False,-1505.6506378728445,-1502.3467176119202,True
1943031107,128,2.0676,marginal,0.28139639352295864,1.1085050608279203,9.090436802058842e-05,0.05,0.9981819126395882,0.05,1.0,0.95,31,False,-1502.284493503757,-1501.72108578518,True
1943031107,512,0.05,joint,0.012381664110072464,1.2225034167444935,0.0552164507692294,0.05,0.104329015384588,0.9872084054583786,1.0,0.012791594541621376,423,False,2052.387784894855,2196.325486681262,True
1943031107,512,0.05,marginal,0.012381664110072464,1.2225034167444935,0.0554788931050934,0.05,0.10957786210186796,0.9834273969543285,1.0,0.01657260304567154,601,True,-6263.678420543741,-6027.718291512382,True
1943031107,512,0.1053,joint,0.012381664110072464,1.2225034167444935,0.030102030745148757,0.05,0.3979593850970249,1.0059716417286182,1.0,0.005971641728618193,601,True,-140.66193108662844,-59.7654413250541,True
1943031107,512,0.1053,marginal,0.012381664110072464,1.2225034167444935,0.020740772827648475,0.05,0.5851845434470305,1.0218834739115086,1.0,0.021883473911508577,601,True,-6275.116939710214,-6135.758078879593,True
1943031107,512,0.2216,joint,0.012381664110072464,1.2225034167444935,0.019846671460178298,0.05,0.6030665707964341,1.0110834033632237,1.0,0.011083403363223665,601,True,-2641.92793989312,-2593.4720564201657,True
1943031107,512,0.2216,marginal,0.012381664110072464,1.2225034167444935,0.01124090308908757,0.05,0.7751819382182487,1.035533816167462,1.0,0.035533816167462096,601,True,-6230.450503191512,-6163.251764576751,True
1943031107,512,0.4665,joint,0.012381664110072464,1.2225034167444935,0.02912147877009837,0.05,0.4175704245980326,1.026729142979559,1.0,0.026729142979559084,601,True,-4804.98875270968,-4785.346040319583,True
1943031107,512,0.4665,marginal,0.012381664110072464,1.2225034167444935,0.013653523556972028,0.05,0.7269295288605595,1.0880906233257304,1.0,0.08809062332573037,601,True,-6375.072963391967,-6363.912231345849,True
1943031107,512,0.9821,joint,0.012381664110072464,1.2225034167444935,0.05634605888036254,0.05,0.1269211776072507,1.0442369893088201,1.0,0.04423698930882014,601,True,-5895.719429447593,-5891.758510930129,True
1943031107,512,0.9821,marginal,0.012381664110072464,1.2225034167444935,0.012360176258928591,0.05,0.7527964748214283,1.1145837225679367,1.0,0.1145837225679367,23,False,-6256.487633151904,-6255.562198730515,True
1943031107,512,2.0676,joint,0.012381664110072464,1.2225034167444935,0.010147812912058022,0.05,0.7970437417588396,0.9366767595426062,1.0,0.06332324045739379,601,True,-6226.952829895178,-6226.280464760458,True
1943031107,512,2.0676,marginal,0.012381664110072464,1.2225034167444935,0.012417970689577175,0.05,0.7516405862084565,1.6676922257846711,1.0,0.6676922257846711,27,False,-6231.362686567629,-6231.04458786433,True
1943031107,1024,0.05,joint,0.03605048232745774,0.9836711936378164,0.051213244553734126,0.05,0.024264891074682465,1.0060573286779972,1.0,0.006057328677997242,328,False,4624.9369196428,4636.580758600538,True
1943031107,1024,0.05,marginal,0.03605048232745774,0.9836711936378164,0.048532015545578955,0.05,0.02935968908842096,1.0056137118165598,1.0,0.0056137118165597855,601,True,-12196.197892672211,-12179.06708542497,True
1943031107,1024,0.1053,joint,0.03605048232745774,0.9836711936378164,0.047439923854233124,0.05,0.05120152291533758,0.9940953921375854,1.0,0.005904607862414646,489,False,-255.38031596643322,-252.52455640419242,True
1943031107,1024,0.1053,marginal,0.03605048232745774,0.9836711936378164,0.03588594504739392,0.05,0.2822810990521217,1.0151968053243412,1.0,0.0151968053243412,601,True,-12405.805925962284,-12399.340018131457,True
1943031107,1024,0.2216,joint,0.03605048232745774,0.9836711936378164,0.05619702619706715,0.05,0.12394052394134297,0.9863900608961048,1.0,0.013609939103895186,601,True,-4972.447790875632,-4969.81258904523,True
1943031107,1024,0.2216,marginal,0.03605048232745774,0.9836711936378164,0.0564311714745704,0.05,0.12862342949140793,0.9802916675289791,1.0,0.019708332471020884,601,True,-12511.163352943458,-12508.120988203471,True
1943031107,1024,0.4665,joint,0.03605048232745774,0.9836711936378164,0.03613310873069526,0.05,0.27733782538609486,1.032080384340593,1.0,0.032080384340593016,21,False,-9219.651323955442,-9217.146142893936,True
1943031107,1024,0.4665,marginal,0.03605048232745774,0.9836711936378164,0.0378732341275567,0.05,0.24253531744886606,1.013876266914891,1.0,0.013876266914891078,601,True,-12509.026419543312,-12507.90961688145,True
1943031107,1024,0.9821,joint,0.03605048232745774,0.9836711936378164,0.03378013782996378,0.05,0.32439724340072446,0.9806053518008124,1.0,0.01939464819918757,601,True,-11735.55071771089,-11735.534714892017,True
1943031107,1024,0.9821,marginal,0.03605048232745774,0.9836711936378164,0.04022827607267648,0.05,0.1954344785464704,0.9754106307877362,1.0,0.024589369212263845,601,True,-12333.532058716959,-12333.529692249049,True
1943031107,1024,2.0676,joint,0.03605048232745774,0.9836711936378164,0.03629855197832132,0.05,0.27402896043357367,1.1257427865898904,1.0,0.12574278658989035,23,False,-12217.016183348544,-12216.691881343962,True
1943031107,1024,2.0676,marginal,0.03605048232745774,0.9836711936378164,0.03539901709424746,0.05,0.2920196581150508,0.6087099070308427,1.0,0.3912900929691573,23,False,-12235.666958890512,-12235.524181023422,True
1943031107,2048,0.05,joint,0.014300311001641763,0.6730819935892007,0.051233954727919515,0.05,0.024679094558390235,0.9895462212166545,1.0,0.010453778783345524,462,False,7774.612383475185,9431.624433961586,True
1943031107,2048,0.05,marginal,0.014300311001641763,0.6730819935892007,0.04122678759333302,0.05,0.1754642481333396,1.0069640944947365,1.0,0.00696409449473645,601,True,-27456.021706512412,-24428.088951995323,True
1943031107,2048,0.1053,joint,0.014300311001641763,0.6730819935892007,0.04043611471483976,0.05,0.19127770570320488,1.0038736225760345,1.0,0.003873622576034519,601,True,-1108.1075070428806,-110.54502150991293,True
1943031107,2048,0.1053,marginal,0.014300311001641763,0.6730819935892007,0.02370600023902357,0.05,0.5258799952195287,1.0283213711914232,1.0,0.028321371191423195,601,True,-26625.585063794224,-24857.997359652825,True
1943031107,2048,0.2216,joint,0.014300311001641763,0.6730819935892007,0.04670037356984218,0.05,0.06599252860315652,1.0077816000941462,1.0,0.0077816000941461905,601,True,-10591.882406920748,-9977.63549990231,True
1943031107,2048,0.2216,marginal,0.014300311001641763,0.6730819935892007,0.017279250164619325,0.05,0.6544149967076135,1.0464773854785563,1.0,0.04647738547855629,601,True,-25978.708224364076,-25117.32195823141,True
1943031107,2048,0.4665,joint,0.014300311001641763,0.6730819935892007,0.04751277959698259,0.05,0.04974440806034819,1.0167737040306934,1.0,0.016773704030693448,601,True,-18972.01067739856,-18644.294283543364,True
1943031107,2048,0.4665,marginal,0.014300311001641763,0.6730819935892007,0.014606791998952975,0.05,0.7078641600209404,1.0684386353192707,1.0,0.06843863531927075,601,True,-25494.088430099873,-25217.0942957493,True
1943031107,2048,0.9821,joint,0.014300311001641763,0.6730819935892007,0.015722890363475413,0.05,0.6855421927304918,1.0438955055106791,1.0,0.04389550551067911,601,True,-23830.456969844647,-23739.141327488753,True
1943031107,2048,0.9821,marginal,0.014300311001641763,0.6730819935892007,0.01394605928273935,0.05,0.721078814345213,1.1121418896178508,1.0,0.11214188961785077,601,True,-25041.62326811022,-25002.8955946927,True
1943031107,2048,2.0676,joint,0.014300311001641763,0.6730819935892007,0.013829366156605275,0.05,0.7234126768678946,0.9070245297805676,1.0,0.09297547021943242,601,True,-24644.162104026058,-24643.110128052882,True
1943031107,2048,2.0676,marginal,0.014300311001641763,0.6730819935892007,0.013125146788070523,0.05,0.7374970642385895,1.1915520640369586,1.0,0.19155206403695857,601,True,-24661.83233368839,-24661.107718514235,True
1943031107,4096,0.05,joint,0.0699186047537113,0.8262368016089514,0.050271447448757674,0.05,0.005428948975153419,0.9981786124227603,1.0,0.0018213875772397081,337,False,18660.856685373517,18979.78974932149,True
1943031107,4096,0.05,marginal,0.0699186047537113,0.8262368016089514,0.048316478929122185,0.05,0.03367042141755636,0.9984421249428858,1.0,0.0015578750571142441,601,True,-49344.15927505684,-48626.906213273935,True
1943031107,4096,0.1053,joint,0.0699186047537113,0.8262368016089514,0.053663451348168495,0.05,0.07326902696336984,0.9745490176595867,1.0,0.02545098234041332,416,False,-678.9881018025303,-514.6718939535623,True
1943031107,4096,0.1053,marginal,0.0699186047537113,0.8262368016089514,0.05877452506820683,0.05,0.17549050136413655,0.9741144377429055,1.0,0.025885562257094485,601,True,-49745.5821746118,-49364.91932363379,True
1943031107,4096,0.2216,joint,0.0699186047537113,0.8262368016089514,0.05250148940222339,0.05,0.05002978804446778,0.9926956409825975,1.0,0.007304359017402451,601,True,-20376.02061499244,-20241.58101020781,True
1943031107,4096,0.2216,marginal,0.0699186047537113,0.8262368016089514,0.06185188287338298,0.05,0.23703765746765956,0.978013915809781,1.0,0.02198608419021897,601,True,-50274.58823034575,-50060.54270164129,True
1943031107,4096,0.4665,joint,0.0699186047537113,0.8262368016089514,0.07328704411061489,0.05,0.4657408822122977,0.9608400844985446,1.0,0.03915991550145537,499,False,-37057.547671207394,-36990.50354146925,True
1943031107,4096,0.4665,marginal,0.0699186047537113,0.8262368016089514,0.06415914086878978,0.05,0.28318281737579554,0.9692145639397026,1.0,0.030785436060297378,601,True,-49991.40002053288,-49930.41067784016,True
1943031107,4096,0.9821,joint,0.0699186047537113,0.8262368016089514,0.033608703278251086,0.05,0.3278259344349783,1.0147765640804813,1.0,0.014776564080481336,601,True,-46636.88585391488,-46613.58966993491,True
1943031107,4096,0.9821,marginal,0.0699186047537113,0.8262368016089514,0.06014729568923958,0.05,0.20294591378479152,0.9164618336596683,1.0,0.08353816634033173,601,True,-49125.21826442684,-49123.1909745492,True
1943031107,4096,2.0676,joint,0.0699186047537113,0.8262368016089514,0.06021486410639582,0.05,0.2042972821279164,1.0089352405352474,1.0,0.008935240535247413,601,True,-49416.2804588312,-49414.90404188124,True
1943031107,4096,2.0676,marginal,0.0699186047537113,0.8262368016089514,0.07329261722522071,0.05,0.4658523445044141,1.2594276370697841,1.0,0.2594276370697841,25,False,-49463.28702252825,-49461.97762443124,True
433882785,128,0.05,joint,0.08012731267330632,1.4119985862697062,0.05797748622096495,0.05,0.15954972441929893,0.990001474972455,1.0,0.009998525027544947,225,False,487.11785206364425,568.4084349893749,True
433882785,128,0.05,marginal,0.08012731267330632,1.4119985862697062,0.04832784887548359,0.05,0.033443022490328295,1.0206900733645452,1.0,0.020690073364545203,601,True,-1782.5768143780745,-1570.2174299964681,True
433882785,128,0.1053,joint,0.08012731267330632,1.4119985862697062,0.09209244007148565,0.05,0.8418488014297129,0.9809667818997897,1.0,0.019033218100210303,171,False,-44.958939794744346,7.20002120284942,True
433882785,128,0.1053,marginal,0.08012731267330632,1.4119985862697062,0.07196964496428356,0.05,0.43939289928567105,0.9945387596042173,1.0,0.005461240395782663,594,False,-1730.3612531728515,-1586.0433325206957,True
433882785,128,0.2216,joint,0.08012731267330632,1.4119985862697062,0.019083199048394298,0.05,0.6183360190321141,1.0844413666248043,1.0,0.08444136662480428,601,True,-644.3948384848807,-610.6146230022307,True
433882785,128,0.2216,marginal,0.08012731267330632,1.4119985862697062,0.05091275126730565,0.05,0.018255025346112924,1.03705791992272,1.0,0.037057919922719895,601,True,-1679.0412509753528,-1604.981152323025,True
433882785,128,0.4665,joint,0.08012731267330632,1.4119985862697062,0.0753220668185233,0.05,0.5064413363704658,0.9755665714706513,1.0,0.02443342852934871,290,False,-1206.6571076942896,-1183.2974600575637,True
433882785,128,0.4665,marginal,0.08012731267330632,1.4119985862697062,0.13133272407654878,0.05,1.6266544815309754,0.966204423418626,1.0,0.033795576581374,601,True,-1653.8615719581749,-1632.4800975125765,True
433882785,128,0.9821,joint,0.08012731267330632,1.4119985862697062,0.03348015237347828,0.05,0.3303969525304344,1.0963004376886973,1.0,0.09630043768869734,601,True,-1494.5430225366474,-1487.8924077667339,True
433882785,128,0.9821,marginal,0.08012731267330632,1.4119985862697062,0.038823151352528756,0.05,0.22353697294942493,1.1094697038277692,1.0,0.10946970382776922,601,True,-1572.960130235181,-1570.2697871691485,True
433882785,128,2.0676,joint,0.08012731267330632,1.4119985862697062,0.04613083426009591,0.05,0.0773833147980818,1.2899750351223076,1.0,0.2899750351223076,601,True,-1548.8585547268087,-1548.7836778196215,True
433882785,128,2.0676,marginal,0.08012731267330632,1.4119985862697062,1.0913834237234414,0.05,20.827668474468826,0.05,1.0,0.95,558,False,-1551.0570024929623,-1551.052008678373,True
433882785,512,0.05,joint,0.021099428855953586,0.7258017865043269,0.044429126939782036,0.05,0.11141746120435933,1.017786919358333,1.0,0.017786919358333098,440,False,2026.8120614207028,2319.0619233529005,True
433882785,512,0.05,marginal,0.021099428855953586,0.7258017865043269,0.04592575206066543,0.05,0.08148495878669143,1.0241614070205387,1.0,0.024161407020538705,601,True,-6817.841442288442,-6228.764738116096,True
