n_states,n_chains,t,em_n_params,net_n_params,em_seconds,em_monotone_violation,method,mean_rel_l2,score_rel_l2,mean_mse,identity_residual
3,512,0.1,6,25248,1.1350718319999942,0.0,em_bp,0.012512489500679251,0.030670893339155802,0.00018911781613943065,6.865519861970964e-15
3,512,0.1,6,25248,1.1350718319999942,0.0,dsm_net_eps,0.19719810600945956,0.4833763957021773,0.046973235028811636,4.1330490862392157e-16
3,512,0.1,6,25248,1.1350718319999942,0.0,dsm_net_x0,0.19178787050487037,0.4701147057649382,0.044431120534599224,4.469685787571941e-16
3,512,0.2,6,25248,1.1350718319999942,0.0,em_bp,0.013440529091499006,0.022449082244298604,0.0002073789537850841,6.583693734139546e-15
3,512,0.2,6,25248,1.1350718319999942,0.0,dsm_net_eps,0.22959734281894106,0.3834856200173578,0.06051536594219005,3.6962515955054875e-16
3,512,0.2,6,25248,1.1350718319999942,0.0,dsm_net_x0,0.20415244993419296,0.34098621473513824,0.04784550477671382,4.455678003747132e-16
3,512,0.4,6,25248,1.1350718319999942,0.0,em_bp,0.014159127829113244,0.013935093789614394,0.00019268031587310564,7.979051955315212e-15
3,512,0.4,6,25248,1.1350718319999942,0.0,dsm_net_eps,0.25884100306758545,0.2547454686388383,0.0643917892093547,4.1992638487070196e-16
3,512,0.4,6,25248,1.1350718319999942,0.0,dsm_net_x0,0.21966360691236447,0.2161879602636862,0.04637464151223377,5.126406854719502e-16
3,512,0.8,6,25248,1.1350718319999942,0.0,em_bp,0.013318590908388347,0.006071715550982099,0.00012066666826590955,1.634028509966683e-14
3,512,0.8,6,25248,1.1350718319999942,0.0,dsm_net_eps,0.4200684466021028,0.19150194921179653,0.12003582572248356,4.711093634257984e-16
3,512,0.8,6,25248,1.1350718319999942,0.0,dsm_net_x0,0.2270337009160174,0.10350074282862769,0.03506318960637397,9.964285141744983e-16
3,512,1.6,6,25248,1.1350718319999942,0.0,em_bp,0.017213142014785486,0.002240236417985944,0.00011141969374254853,4.1492638865252996e-14
3,512,1.6,6,25248,1.1350718319999942,0.0,dsm_net_eps,1.291674674038599,0.16810740552107473,0.6274049567931739,5.035646635474877e-16
3,512,1.6,6,25248,1.1350718319999942,0.0,dsm_net_x0,0.23073089391135668,0.030028901803673066,0.02001949665679805,3.182597785045594e-15
4,512,0.1,12,25248,2.310203301999536,0.0,em_bp,0.024287640175686496,0.06949361513192508,0.0004957715666747901,3.1953770311329652e-15
4,512,0.1,12,25248,2.310203301999536,0.0,dsm_net_eps,0.29261141896314263,0.8372417075326817,0.07196039120839606,2.5261344212400966e-16
4,512,0.1,12,25248,2.310203301999536,0.0,dsm_net_x0,0.348612819835063,0.9974771100209714,0.10214043023445207,2.311210011782601e-16
4,512,0.2,12,25248,2.310203301999536,0.0,em_bp,0.01790903144955997,0.030525004035181116,0.0002259557221694853,4.711811123853824e-15
4,512,0.2,12,25248,2.310203301999536,0.0,dsm_net_eps,0.3336129839624252,0.5686258193427908,0.07840884114692713,2.5189210719675798e-16
4,512,0.2,12,25248,2.310203301999536,0.0,dsm_net_x0,0.35721069724750976,0.6088468829596035,0.08989345195906441,2.5877991204556277e-16
4,512,0.4,12,25248,2.310203301999536,0.0,em_bp,0.014935292033615655,0.011932360386696437,0.00010542578027543365,8.940612716081495e-15
4,512,0.4,12,25248,2.310203301999536,0.0,dsm_net_eps,0.4374388675041546,0.34948618362866424,0.09043866090525471,3.128641492146132e-16
4,512,0.4,12,25248,2.310203301999536,0.0,dsm_net_x0,0.37657811977327066,0.30086226829482277,0.0670238778643396,3.8432853644591656e-16
4,512,0.8,12,25248,2.310203301999536,0.0,em_bp,0.01468111795945766,0.0038622339260930955,4.675506850004863e-05,2.579665773447085e-14
4,512,0.8,12,25248,2.310203301999536,0.0,dsm_net_eps,1.0244333791596252,0.2695027288070819,0.22765536142233617,3.371235916063887e-16
4,512,0.8,12,25248,2.310203301999536,0.0,dsm_net_x0,0.4750888764398761,0.12498396794867275,0.048962114545416144,7.956790830781534e-16
4,512,1.6,12,25248,2.310203301999536,0.0,em_bp,0.017124383454800562,0.0008759142117482838,1.7423191251534516e-05,1.092201708017438e-13
4,512,1.6,12,25248,2.310203301999536,0.0,dsm_net_eps,4.7971000838389495,0.2453722290034035,1.367273430293452,3.4891076516079795e-16
4,512,1.6,12,25248,2.310203301999536,0.0,dsm_net_x0,0.6597875150415714,0.0337482083769262,0.02586461403848269,2.8258107373503838e-15
6,512,0.1,30,25248,2.820475094000358,0.0,em_bp,0.05142678576281113,0.15418996814461622,0.002409540249757404,1.4837653811167244e-15
6,512,0.1,30,25248,2.820475094000358,0.0,dsm_net_eps,0.2730332332435336,0.8186198089534417,0.06791824368461769,2.621962753387404e-16
6,512,0.1,30,25248,2.820475094000358,0.0,dsm_net_x0,0.3678776302210958,1.1029862987456334,0.12329974636781177,2.2036941534862596e-16
6,512,0.2,30,25248,2.820475094000358,0.0,em_bp,0.04367757812179002,0.07906911105613214,0.0014857095377002688,1.861342493770274e-15
6,512,0.2,30,25248,2.820475094000358,0.0,dsm_net_eps,0.30890565720266194,0.5592090213225349,0.07431364044431407,2.692735800825873e-16
6,512,0.2,30,25248,2.820475094000358,0.0,dsm_net_x0,0.34631125285205433,0.6269240211852921,0.09340067611884015,2.644986180123537e-16
6,512,0.4,30,25248,2.820475094000358,0.0,em_bp,0.035567852854436366,0.030575404027649206,0.0007195781562069022,3.552805521583813e-15
6,512,0.4,30,25248,2.820475094000358,0.0,dsm_net_eps,0.4193506415459412,0.3604888759238608,0.10002701238465392,3.0655279143918094e-16
6,512,0.4,30,25248,2.820475094000358,0.0,dsm_net_x0,0.3592743204629219,0.30884511218232863,0.07342010938174696,3.686358888570005e-16
6,512,0.8,30,25248,2.820475094000358,0.0,em_bp,0.030497444914849955,0.009149559959188333,0.00026463894523576464,1.086894384159249e-14
6,512,0.8,30,25248,2.820475094000358,0.0,dsm_net_eps,0.8802738611740273,0.2640915819605674,0.2204765772060988,3.3903128751394634e-16
6,512,0.8,30,25248,2.820475094000358,0.0,dsm_net_x0,0.4267796079354112,0.1280384511904657,0.05182438607726279,7.898292217227579e-16
6,512,1.6,30,25248,2.820475094000358,0.0,em_bp,0.03504774563805976,0.0018717262750743851,7.775253774372349e-05,4.9558101305940763e-14
6,512,1.6,30,25248,2.820475094000358,0.0,dsm_net_eps,4.361007480002257,0.23289978107042766,1.2038380315344495,3.647440111604463e-16
6,512,1.6,30,25248,2.820475094000358,0.0,dsm_net_x0,0.6695897399898619,0.03575946717948824,0.02837997294304863,2.6716674549329306e-15
8,512,0.1,56,25248,3.202360401000078,0.0,em_bp,0.07935579661959721,0.23647296203289772,0.004219096365801246,8.874634669491894e-16
8,512,0.1,56,25248,3.202360401000078,0.0,dsm_net_eps,0.2736244611266204,0.8153756822256926,0.050161668308933864,2.51803888594622e-16
8,512,0.1,56,25248,3.202360401000078,0.0,dsm_net_x0,0.3668104255106986,1.0930612698763016,0.09014579538198718,2.1289994884251892e-16
8,512,0.2,56,25248,3.202360401000078,0.0,em_bp,0.05965685111916882,0.09722481099553637,0.0018860834315509714,1.3408200199475066e-15
8,512,0.2,56,25248,3.202360401000078,0.0,dsm_net_eps,0.32759782350137884,0.5338973793445236,0.056875111766595904,2.5419840185170993e-16
8,512,0.2,56,25248,3.202360401000078,0.0,dsm_net_x0,0.3781816180644335,0.6163355197017136,0.07579509104564147,2.448932388321667e-16
8,512,0.4,56,25248,3.202360401000078,0.0,em_bp,0.04640005074430251,0.03137266804048735,0.0007478205075935696,3.4925970297761502e-15
8,512,0.4,56,25248,3.202360401000078,0.0,dsm_net_eps,0.48476136677735204,0.32776381048734576,0.08162373473663811,3.23652006954586e-16
8,512,0.4,56,25248,3.202360401000078,0.0,dsm_net_x0,0.4138676634839054,0.27983014265920864,0.059495408409061167,4.1332324883896343e-16
8,512,0.8,56,25248,3.202360401000078,0.0,em_bp,0.04376031856721095,0.009327898381744701,0.0002848450895118512,1.0360168125922276e-14
8,512,0.8,56,25248,3.202360401000078,0.0,dsm_net_eps,1.1882363631775272,0.2532830749892843,0.2100165233190162,3.4480975922193763e-16
8,512,0.8,56,25248,3.202360401000078,0.0,dsm_net_x0,0.5284269636156689,0.11263887421683863,0.04153533589546547,8.610529823920261e-16
8,512,1.6,56,25248,3.202360401000078,0.0,em_bp,0.06451332352981465,0.0026164304737606612,0.0001589878714782866,3.610436547782576e-14
8,512,1.6,56,25248,3.202360401000078,0.0,dsm_net_eps,5.812701990954196,0.23574247600177117,1.290688019361342,3.520302675163163e-16
8,512,1.6,56,25248,3.202360401000078,0.0,dsm_net_x0,0.7284298004150234,0.02954251654575607,0.020269385028750763,3.178706895043368e-15
12,512,0.1,132,25248,3.846315689000221,0.0,em_bp,0.0915540618650243,0.312877151712665,0.006333013055926708,7.991509218894264e-16
12,512,0.1,132,25248,3.846315689000221,0.0,dsm_net_eps,0.24133085161160667,0.8247248449112956,0.04400285349433204,2.875199389910542e-16
12,512,0.1,132,25248,3.846315689000221,0.0,dsm_net_x0,0.3567991880198692,1.2193267169907525,0.09618400670020917,2.214679514873646e-16
12,512,0.2,132,25248,3.846315689000221,0.0,em_bp,0.07000505792695366,0.12543134633871889,0.003045685504152774,1.085633894193408e-15
12,512,0.2,132,25248,3.846315689000221,0.0,dsm_net_eps,0.2972087390915711,0.5325228403751574,0.05489709559623715,2.64757465440452e-16
12,512,0.2,132,25248,3.846315689000221,0.0,dsm_net_x0,0.36896266234115704,0.6610877107545502,0.08460403114728249,2.4368084581544793e-16
12,512,0.4,132,25248,3.846315689000221,0.0,em_bp,0.05760557146047135,0.044102374933497605,0.0014233990654690003,2.4607973860203673e-15
12,512,0.4,132,25248,3.846315689000221,0.0,dsm_net_eps,0.444799232230855,0.340534813085535,0.08486444115346478,3.102263743666295e-16
12,512,0.4,132,25248,3.846315689000221,0.0,dsm_net_x0,0.3978291525652729,0.3045748874819985,0.06788767059210904,3.783339711034941e-16
12,512,0.8,132,25248,3.846315689000221,0.0,em_bp,0.054224728571921905,0.013855360946304794,0.0006038281113185224,7.06800814340639e-15
12,512,0.8,132,25248,3.846315689000221,0.0,dsm_net_eps,1.0488384518844225,0.2679964604331286,0.2259101562145313,3.3168458520781777e-16
12,512,0.8,132,25248,3.846315689000221,0.0,dsm_net_x0,0.4538911739856911,0.11597708668237011,0.04230795463373098,8.709287730641298e-16
