n_states,n_chains,t,em_n_params,net_n_params,em_seconds,em_monotone_violation,method,mean_rel_l2,score_rel_l2,mean_mse,identity_residual
5,32,0.1,20,25248,1.1695147140007975,0.0,em_bp,0.1933381640863746,0.525935604308519,0.02420228763630186,3.955171017678449e-16
5,32,0.1,20,25248,1.1695147140007975,0.0,dsm_net_eps,0.6234504465076559,1.6959651442326291,0.25166633128921145,1.4653806793699282e-16
5,32,0.1,20,25248,1.1695147140007975,0.0,dsm_net_x0,0.809112208460488,2.2010187193044572,0.42387592045610684,1.4622704566836605e-16
5,32,0.2,20,25248,1.1695147140007975,0.0,em_bp,0.16252303953805752,0.24714028255971227,0.013737192425595525,5.169127774779855e-16
5,32,0.2,20,25248,1.1695147140007975,0.0,dsm_net_eps,0.7461285444178132,1.134598637937147,0.28953123291671334,1.6129225700124286e-16
5,32,0.2,20,25248,1.1695147140007975,0.0,dsm_net_x0,0.8288289343407321,1.260356793774262,0.3572711249332555,1.71969053011434e-16
5,32,0.4,20,25248,1.1695147140007975,0.0,em_bp,0.15332249079181054,0.10259431016232094,0.008149954929202102,1.0677690505797522e-15
5,32,0.4,20,25248,1.1695147140007975,0.0,dsm_net_eps,0.8152777813445237,0.5455354992979058,0.23043831373591794,2.227474018024095e-16
5,32,0.4,20,25248,1.1695147140007975,0.0,dsm_net_x0,0.8752076172688961,0.585636988277437,0.2655618300423006,2.3783614556991097e-16
5,32,0.8,20,25248,1.1695147140007975,0.0,em_bp,0.154858122393138,0.03551856270188199,0.004325629321402892,2.796683684979569e-15
5,32,0.8,20,25248,1.1695147140007975,0.0,dsm_net_eps,1.1643417265888079,0.26705570223350866,0.24453568530997355,3.3579701485739125e-16
5,32,0.8,20,25248,1.1695147140007975,0.0,dsm_net_x0,0.9905629397408291,0.22719745881992048,0.17698867296904586,4.624139295701833e-16
5,32,1.6,20,25248,1.1695147140007975,0.0,em_bp,0.14000089490652814,0.008382045416229993,0.00162478893285149,1.1254937801374811e-14
5,32,1.6,20,25248,1.1695147140007975,0.0,dsm_net_eps,2.712118944966205,0.16237827755388495,0.6097513822685802,5.080822752911075e-16
5,32,1.6,20,25248,1.1695147140007975,0.0,dsm_net_x0,0.9413867978671975,0.05636211753668035,0.07346348647875353,1.6864964386191656e-15
5,64,0.1,20,25248,1.2259234399998604,0.0,em_bp,0.1413880652542365,0.3846163425255147,0.012943351365127156,5.553329305954423e-16
5,64,0.1,20,25248,1.2259234399998604,0.0,dsm_net_eps,0.6044408064304856,1.6442534369816624,0.2365531797408709,1.4536882946003984e-16
5,64,0.1,20,25248,1.2259234399998604,0.0,dsm_net_x0,0.7221633641092793,1.9644927689631135,0.3376697394027543,1.517262868888268e-16
5,64,0.2,20,25248,1.2259234399998604,0.0,em_bp,0.12649695945024267,0.1923573075567344,0.00832201095472599,6.789454402767838e-16
5,64,0.2,20,25248,1.2259234399998604,0.0,dsm_net_eps,0.7017045427357925,1.0670453829689075,0.2560806042742736,1.6154798624179094e-16
5,64,0.2,20,25248,1.2259234399998604,0.0,dsm_net_x0,0.7391906939809314,1.124048611785769,0.28417187391981924,1.787828695777521e-16
5,64,0.4,20,25248,1.2259234399998604,0.0,em_bp,0.10981036844873537,0.0734785806145412,0.004180518720999543,1.4477161229917436e-15
5,64,0.4,20,25248,1.2259234399998604,0.0,dsm_net_eps,0.7637390252848938,0.511048822899323,0.20222434635718634,2.2957674368636394e-16
5,64,0.4,20,25248,1.2259234399998604,0.0,dsm_net_x0,0.7591345536221176,0.507967783767589,0.1997933341948784,2.6324569424003233e-16
5,64,0.8,20,25248,1.2259234399998604,0.0,em_bp,0.10449955316535921,0.023968222486900892,0.0019697458255991777,4.072181375596438e-15
5,64,0.8,20,25248,1.2259234399998604,0.0,dsm_net_eps,1.185764592725296,0.27196929283091464,0.2536169515075025,3.3013716728426433e-16
5,64,0.8,20,25248,1.2259234399998604,0.0,dsm_net_x0,0.8374969161630271,0.19208993541747474,0.12651667073524125,5.266833900879076e-16
5,64,1.6,20,25248,1.2259234399998604,0.0,em_bp,0.1370184980967367,0.008203485232557012,0.0015563014936108646,1.1588409172574743e-14
