family,excess_kurtosis,radius,receptive_field,parameterization,t,n_params,score_rel_l2_all,score_rel_l2_interior,seconds
gauss_mix_kappa0.9,-1.62,2,5,eps,0.4,4801,0.15748602557391742,0.15666383116890167,82.3431959540012
gauss_mix_kappa0.9,-1.62,2,5,eps,0.8,4801,0.13836266599427707,0.13943159506246766,82.3431959540012
gauss_mix_kappa0.9,-1.62,2,5,eps,1.6,4801,0.05942134828295791,0.06052894149141561,82.3431959540012
gauss_mix_kappa0.9,-1.62,2,5,x0,0.1,4801,0.21905664456907206,0.19290890444978565,80.01949938100006
gauss_mix_kappa0.9,-1.62,2,5,x0,0.2,4801,0.16230169778413192,0.14908091581227007,80.01949938100006
gauss_mix_kappa0.9,-1.62,2,5,x0,0.4,4801,0.1593258859630104,0.15788117647945576,80.01949938100006
gauss_mix_kappa0.9,-1.62,2,5,x0,0.8,4801,0.13723578298503467,0.13809548119521584,80.01949938100006
gauss_mix_kappa0.9,-1.62,2,5,x0,1.6,4801,0.05236376629029129,0.05330027370970481,80.01949938100006
gauss_mix_kappa0.9,-1.62,3,7,eps,0.1,4929,0.1352398643694633,0.11021148851324086,86.6469702480008
gauss_mix_kappa0.9,-1.62,3,7,eps,0.2,4929,0.09677314962014985,0.08440304804785087,86.6469702480008
gauss_mix_kappa0.9,-1.62,3,7,eps,0.4,4929,0.100315082609493,0.09805907132243964,86.6469702480008
gauss_mix_kappa0.9,-1.62,3,7,eps,0.8,4929,0.10084405600866388,0.10259778401376524,86.6469702480008
gauss_mix_kappa0.9,-1.62,3,7,eps,1.6,4929,0.052614702061968215,0.05382097272544227,86.6469702480008
gauss_mix_kappa0.9,-1.62,3,7,x0,0.1,4929,0.26396674157189715,0.24463213713704682,81.19739032699908
gauss_mix_kappa0.9,-1.62,3,7,x0,0.2,4929,0.16287051471443537,0.14771817661130168,81.19739032699908
gauss_mix_kappa0.9,-1.62,3,7,x0,0.4,4929,0.12063424250382829,0.11498871510590462,81.19739032699908
gauss_mix_kappa0.9,-1.62,3,7,x0,0.8,4929,0.10282245900706427,0.10383739346793597,81.19739032699908
gauss_mix_kappa0.9,-1.62,3,7,x0,1.6,4929,0.040025839486628155,0.04128985595452377,81.19739032699908
gauss_mix_kappa0.9,-1.62,4,9,eps,0.1,5057,0.15758758880933793,0.1219742252831797,82.4560205380003
gauss_mix_kappa0.9,-1.62,4,9,eps,0.2,5057,0.09920315691122233,0.07451661726122194,82.4560205380003
gauss_mix_kappa0.9,-1.62,4,9,eps,0.4,5057,0.07701254821748642,0.06792085908594331,82.4560205380003
gauss_mix_kappa0.9,-1.62,4,9,eps,0.8,5057,0.07819563410394334,0.0791446762991809,82.4560205380003
gauss_mix_kappa0.9,-1.62,4,9,eps,1.6,5057,0.046170853384778866,0.047704642623953845,82.4560205380003
gauss_mix_kappa0.9,-1.62,4,9,x0,0.1,5057,0.18567151357943196,0.16581143528218087,85.09545420799986
gauss_mix_kappa0.9,-1.62,4,9,x0,0.2,5057,0.10228408468029697,0.08428393352181841,85.09545420799986
gauss_mix_kappa0.9,-1.62,4,9,x0,0.4,5057,0.07520098287149339,0.06816510816211872,85.09545420799986
gauss_mix_kappa0.9,-1.62,4,9,x0,0.8,5057,0.07282114016579526,0.073585618764018,85.09545420799986
gauss_mix_kappa0.9,-1.62,4,9,x0,1.6,5057,0.03302694559802581,0.03445540906600606,85.09545420799986
gauss_mix_kappa0.9,-1.62,6,13,eps,0.1,5313,0.1636775159655525,0.13638894538475912,82.52923964100046
gauss_mix_kappa0.9,-1.62,6,13,eps,0.2,5313,0.11356608591595511,0.09453953557519058,82.52923964100046
gauss_mix_kappa0.9,-1.62,6,13,eps,0.4,5313,0.0964616997835848,0.08881941428488573,82.52923964100046
gauss_mix_kappa0.9,-1.62,6,13,eps,0.8,5313,0.08805022734513449,0.08780260580795311,82.52923964100046
gauss_mix_kappa0.9,-1.62,6,13,eps,1.6,5313,0.06381975041739497,0.06387054029978982,82.52923964100046
gauss_mix_kappa0.9,-1.62,6,13,x0,0.1,5313,0.19056963588557152,0.16719851491326276,82.07715033900058
gauss_mix_kappa0.9,-1.62,6,13,x0,0.2,5313,0.11043213231424465,0.09237045690762355,82.07715033900058
gauss_mix_kappa0.9,-1.62,6,13,x0,0.4,5313,0.06903315502592568,0.05629224755300293,82.07715033900058
gauss_mix_kappa0.9,-1.62,6,13,x0,0.8,5313,0.04448986005690162,0.04356309720130067,82.07715033900058
gauss_mix_kappa0.9,-1.62,6,13,x0,1.6,5313,0.022130106326721286,0.023306395265825595,82.07715033900058
gauss_mix_kappa0.9,-1.62,8,17,eps,0.1,5569,0.15924326504538555,0.1365319003906544,82.41692922599941
gauss_mix_kappa0.9,-1.62,8,17,eps,0.2,5569,0.11579358964269841,0.1045407964441014,82.41692922599941
gauss_mix_kappa0.9,-1.62,8,17,eps,0.4,5569,0.08633628493802427,0.08274033182645964,82.41692922599941
gauss_mix_kappa0.9,-1.62,8,17,eps,0.8,5569,0.06167820504710774,0.06235832548789468,82.41692922599941
gauss_mix_kappa0.9,-1.62,8,17,eps,1.6,5569,0.05827029964434862,0.05952254291266435,82.41692922599941
gauss_mix_kappa0.9,-1.62,8,17,x0,0.1,5569,0.20622656461085084,0.17145000950346487,85.00691239000116
gauss_mix_kappa0.9,-1.62,8,17,x0,0.2,5569,0.11474120555550146,0.08759813935510322,85.00691239000116
gauss_mix_kappa0.9,-1.62,8,17,x0,0.4,5569,0.06307837419184448,0.04674039986548476,85.00691239000116
gauss_mix_kappa0.9,-1.62,8,17,x0,0.8,5569,0.03449166591813228,0.03190318441013574,85.00691239000116
gauss_mix_kappa0.9,-1.62,8,17,x0,1.6,5569,0.016712579389593613,0.017476332794444042,85.00691239000116
gauss_mix_kappa0.9,-1.62,12,25,eps,0.1,6081,0.16052344388134418,0.1395428358238799,90.93178761499985
gauss_mix_kappa0.9,-1.62,12,25,eps,0.2,6081,0.11438019469331205,0.10124706007467324,90.93178761499985
gauss_mix_kappa0.9,-1.62,12,25,eps,0.4,6081,0.09504618793727244,0.08571084176539678,90.93178761499985
gauss_mix_kappa0.9,-1.62,12,25,eps,0.8,6081,0.06852447005136408,0.06853122741063383,90.93178761499985
gauss_mix_kappa0.9,-1.62,12,25,eps,1.6,6081,0.0511799237580697,0.05162800900691145,90.93178761499985
gauss_mix_kappa0.9,-1.62,12,25,x0,0.1,6081,0.20610072313019934,0.19323984693996463,93.7180936299992
gauss_mix_kappa0.9,-1.62,12,25,x0,0.2,6081,0.11409488168833097,0.10067673547019011,93.7180936299992
gauss_mix_kappa0.9,-1.62,12,25,x0,0.4,6081,0.059634898174188,0.05328994471804495,93.7180936299992
gauss_mix_kappa0.9,-1.62,12,25,x0,0.8,6081,0.028669980487454734,0.028286087479641973,93.7180936299992
gauss_mix_kappa0.9,-1.62,12,25,x0,1.6,6081,0.011759867885154741,0.012126682197450583,93.7180936299992
gauss_mix_kappa0.9,-1.62,16,33,eps,0.1,6593,0.1591441170941413,0.13872678356705037,96.80935193299956
gauss_mix_kappa0.9,-1.62,16,33,eps,0.2,6593,0.10194632800009125,0.0874644386279185,96.80935193299956
gauss_mix_kappa0.9,-1.62,16,33,eps,0.4,6593,0.06714738371386829,0.0644209938353991,96.80935193299956
