seed,n_chains,t,method,n_params,score_rel_l2
2,128,0.8,local_cnn_oracle_r,6081,0.0588047506840559
2,128,0.8,global_mlp,25505,0.14567923621811327
2,128,1.6,em_bp,13,0.010957509682273884
2,128,1.6,local_cnn_oracle_r,6081,0.0254104603683368
2,128,1.6,global_mlp,25505,0.04497295197669995
2,512,0.1,em_bp,13,0.04015773888878107
2,512,0.1,local_cnn_oracle_r,6081,0.08347333415434724
2,512,0.1,global_mlp,25505,0.33514109318936014
2,512,0.2,em_bp,13,0.024696640163277512
2,512,0.2,local_cnn_oracle_r,6081,0.07031382214438063
2,512,0.2,global_mlp,25505,0.2533288519254379
2,512,0.4,em_bp,13,0.0175691483554003
2,512,0.4,local_cnn_oracle_r,6081,0.0590338027694418
2,512,0.4,global_mlp,25505,0.193762184380046
2,512,0.8,em_bp,13,0.011786519675030221
2,512,0.8,local_cnn_oracle_r,6081,0.05435548136983999
2,512,0.8,global_mlp,25505,0.09816642868518954
2,512,1.6,em_bp,13,0.007017686895392736
2,512,1.6,local_cnn_oracle_r,6081,0.02419945479761055
2,512,1.6,global_mlp,25505,0.03136284405101416
2,2048,0.1,em_bp,13,0.02285113297417538
2,2048,0.1,local_cnn_oracle_r,6081,0.07475384463235006
2,2048,0.1,global_mlp,25505,0.2208990473969936
2,2048,0.2,em_bp,13,0.013929034125371912
2,2048,0.2,local_cnn_oracle_r,6081,0.06103385234151436
2,2048,0.2,global_mlp,25505,0.16945117034181742
2,2048,0.4,em_bp,13,0.00619376513402713
2,2048,0.4,local_cnn_oracle_r,6081,0.04972460300993897
2,2048,0.4,global_mlp,25505,0.12346001186454872
2,2048,0.8,em_bp,13,0.005279647104211223
2,2048,0.8,local_cnn_oracle_r,6081,0.034060877182369775
2,2048,0.8,global_mlp,25505,0.06109206467376289
2,2048,1.6,em_bp,13,0.0035510935264837316
2,2048,1.6,local_cnn_oracle_r,6081,0.014218188269078497
2,2048,1.6,global_mlp,25505,0.021842919807164393
3,128,0.1,em_bp,13,0.05125758194813041
3,128,0.1,local_cnn_oracle_r,6081,0.11559448612917028
3,128,0.1,global_mlp,25505,0.7618713312629827
3,128,0.2,em_bp,13,0.03327568922997323
3,128,0.2,local_cnn_oracle_r,6081,0.10130817072075428
3,128,0.2,global_mlp,25505,0.5254014820776058
3,128,0.4,em_bp,13,0.013308114094615154
3,128,0.4,local_cnn_oracle_r,6081,0.06888705196087806
3,128,0.4,global_mlp,25505,0.3146882116945094
3,128,0.8,em_bp,13,0.009145424814804562
3,128,0.8,local_cnn_oracle_r,6081,0.05051629199035038
3,128,0.8,global_mlp,25505,0.15458906077150122
3,128,1.6,em_bp,13,0.0072145397460243255
3,128,1.6,local_cnn_oracle_r,6081,0.027146390961578462
3,128,1.6,global_mlp,25505,0.042767547444817214
3,512,0.1,em_bp,13,0.025392955393719087
3,512,0.1,local_cnn_oracle_r,6081,0.09251071585705346
3,512,0.1,global_mlp,25505,0.35780603834853303
3,512,0.2,em_bp,13,0.016487305961923427
3,512,0.2,local_cnn_oracle_r,6081,0.0760615041738865
3,512,0.2,global_mlp,25505,0.2665452116003617
3,512,0.4,em_bp,13,0.011005186950767347
3,512,0.4,local_cnn_oracle_r,6081,0.058618934724066006
3,512,0.4,global_mlp,25505,0.19064741942538593
3,512,0.8,em_bp,13,0.012739516719853407
3,512,0.8,local_cnn_oracle_r,6081,0.04275118008321769
3,512,0.8,global_mlp,25505,0.0922639799015364
3,512,1.6,em_bp,13,0.008613671306365126
3,512,1.6,local_cnn_oracle_r,6081,0.016055755111854426
3,512,1.6,global_mlp,25505,0.030017708210824483
3,2048,0.1,em_bp,13,0.030538216782014717
3,2048,0.1,local_cnn_oracle_r,6081,0.0854337115261718
3,2048,0.1,global_mlp,25505,0.21889478484326716
3,2048,0.2,em_bp,13,0.01418033154591422
3,2048,0.2,local_cnn_oracle_r,6081,0.07560134831510244
3,2048,0.2,global_mlp,25505,0.15848522080332175
3,2048,0.4,em_bp,13,0.007451051527600771
3,2048,0.4,local_cnn_oracle_r,6081,0.056389136135173545
3,2048,0.4,global_mlp,25505,0.13490677945044438
3,2048,0.8,em_bp,13,0.004009166016850993
3,2048,0.8,local_cnn_oracle_r,6081,0.02767965304523119
3,2048,0.8,global_mlp,25505,0.06720608108248344
3,2048,1.6,em_bp,13,0.0014392104193108632
3,2048,1.6,local_cnn_oracle_r,6081,0.011943080102286362
3,2048,1.6,global_mlp,25505,0.024141782675657895
