n_chains,seed,arm,innov_kurtosis,innov_kurtosis_se,kurtosis_gap_in_se,innov_variance,innov_kl,cov_frobenius_rel,cov_worst_lag_abs,marginal_var,notes
128,0,exact,-0.7718965535563864,0.008557518890394486,0.9303058084581446,0.3358134786658922,0.0009967881494136026,0.057134705311374795,0.019190180527553828,0.9908593212356018,
128,0,em_bp,-0.05903108993451145,0.017686180695338012,39.85622256352723,0.3448333316567875,0.018576122333341733,0.11301376815447149,0.05490590518762439,0.9570053136877544,
128,0,mlp,-0.02377189133650237,0.018060617307108215,40.98218461219759,0.3011766029580764,0.025817430952620606,0.29825019652471824,0.18895329453457,0.8297859853383859,
128,0,cnn,-0.30712400278680096,0.013675308666859069,33.404104606933245,0.31543353097129456,0.012614009057189929,0.23331698324661984,0.11798420140867816,0.8820290731304432,
128,1,exact,-0.7689969937218373,0.008150565989829836,0.6210059156003239,0.3347039774071155,0.0008956600241550764,0.06607080064219792,0.04260028926595197,1.0144128734864564,
128,1,em_bp,-0.019466241010644314,0.019386580899287364,38.401263579354726,0.34208636736281417,0.018926926163687408,0.05921384856172443,0.04496212173923964,1.0141687151775651,
128,1,mlp,-0.008245614089712028,0.01772055159744106,42.64482546051646,0.30083924585987315,0.025945672188854057,0.25374362179301807,0.19351929416259872,0.8171858998943883,
128,1,cnn,-0.22318354012626695,0.015881789237108004,34.04855056487725,0.31748446371730227,0.014409394701300315,0.17233662147331003,0.0814364476150777,0.949836398021568,
128,2,exact,-0.7568167586468522,0.007834974773073764,0.9085779579373451,0.3382405837019356,0.0011479823612922048,0.07434176190892179,0.027375647960090364,1.0102322275875666,
128,2,em_bp,-0.0432929898960257,0.01654828653621585,43.54785932389518,0.3604128977914508,0.018889795587431358,0.10403667699835753,0.042131617127064924,0.9910288836082861,
128,2,mlp,0.04182856777755983,0.01892399820260544,42.578952036324175,0.3071752077945772,0.028363617145665262,0.32559982234843854,0.21948914716855064,0.8375707123173786,
128,2,cnn,-0.24477159014069416,0.013630791393413558,38.08757972312815,0.30296333980494616,0.01920626332100268,0.27106237818716666,0.17672245402050646,0.8235537001801179,
512,0,exact,-0.7504351248128738,0.008228392568578147,1.6406994563363657,0.33489768923434576,0.000849380456762178,0.0456761741141175,0.017916998871953624,1.0055082488663976,
512,0,em_bp,0.005522962360243078,0.019297081156789936,39.87434162374142,0.34994045406801916,0.01892886046034642,0.06511750254700559,0.045468453282165755,1.0451248728543012,
512,0,mlp,0.07077154704422206,0.022730185024793056,36.72240195847168,0.33067439084470596,0.021278102185109456,0.16065114085031357,0.10883942541124936,0.8988750190959474,
512,0,cnn,-0.2765555027206581,0.01469846051153431,33.15857064918757,0.3191564225582267,0.012901515244047335,0.15006672346247912,0.04884979069248793,0.9990675935791374,
512,1,exact,-0.7609654194044926,0.008438890405004158,0.3519449216224405,0.3360560229497898,0.0012318001119042035,0.05694447947191104,0.03965806785242067,1.0038794850597716,
512,1,em_bp,-0.028003524650491052,0.018671017774630365,39.41573663842439,0.34411567395341897,0.01805399272125962,0.06378302855314077,0.04058290814087999,1.0225674753476717,
512,1,mlp,0.0857533391943277,0.024200695401676135,35.11009783471514,0.3368093622380269,0.021105967343467612,0.15650450747625677,0.06082294809534064,0.9631885377719971,
512,1,cnn,-0.25494265544903705,0.015847281729184898,32.11861802395085,0.3099123264282992,0.014538661578681234,0.17865446028319945,0.06831488333236578,0.9803913510217492,
512,2,exact,-0.7714801121169002,0.008168446577322725,0.9236356042510646,0.33758618813958263,0.000994893910805437,0.06394829519937882,0.03510559307772877,0.9908382317970438,
