n_chains,seed,arm,t,mse_vs_bayes_denoiser,rel_l2_vs_bayes_denoiser,denoising_risk,bayes_risk_floor,zero_predictor_ceiling,fraction_achievable_captured,score_reweighting,abs_score_error_implied
32,2,em_bp,0.1,0.0029049349618009046,0.05764536722478957,0.11596948113006456,0.11294112527299943,0.994459794750197,0.9965646151784158,4.991676378648053,34.4369434714332
32,2,mlp,0.1,0.16249593313863375,0.4311391404099538,0.2761941005245513,0.11294112527299943,0.994459794750197,0.814804857906898,4.991676378648053,257.55953897774964
32,2,cnn,0.1,0.01620351854932739,0.13614474058392273,0.13024244381246536,0.11294112527299943,0.994459794750197,0.9803732817709614,4.991676378648053,81.33192589681867
32,2,em_bp,0.2,0.0034390613675041436,0.06465793587381648,0.18522395107863243,0.18172342411658673,0.994459794750197,0.9956929121317448,2.4834107844072584,18.641398699181206
32,2,mlp,0.2,0.18130818831683035,0.4694729590050599,0.36130769287121056,0.18172342411658673,0.994459794750197,0.7790374895925727,2.4834107844072584,135.3527991425054
32,2,cnn,0.2,0.02163789112962048,0.16218449730941487,0.20258586676926077,0.18172342411658673,0.994459794750197,0.9743306151828671,2.4834107844072584,46.759084346139815
32,2,em_bp,0.4,0.002782951241369345,0.0639406499110918,0.2961332693414518,0.2915075484600176,0.994459794750197,0.9934195801978778,1.2172785608036423,8.219638949854815
32,2,mlp,0.4,0.20232385318857424,0.5451898869813611,0.504271117681147,0.2915075484600176,0.994459794750197,0.6973285591674454,1.2172785608036423,70.08474321624895
32,2,cnn,0.4,0.019338893579942375,0.16855438655825783,0.31598062628991336,0.2915075484600176,0.994459794750197,0.9651852910933109,1.2172785608036423,21.667846711748943
32,2,em_bp,0.8,0.003875885694632852,0.09023982019869373,0.5114648254233195,0.5047097623132252,0.994459794750197,0.9862071206478916,0.5629958698942408,4.48642755005351
32,2,mlp,0.8,0.1522878534840913,0.5656468509188016,0.6662962838185655,0.5047097623132252,0.994459794750197,0.6700632755422314,0.5629958698942408,28.122104077506325
32,2,cnn,0.8,0.01982695669677137,0.20409894980223128,0.5329457456690967,0.5047097623132252,0.994459794750197,0.9423461327498629,0.5629958698942408,10.147129607678162
32,2,em_bp,1.6,0.005147143222631963,0.17467004037202816,0.8256415549462264,0.819049496466026,0.994459794750197,0.9624192048888657,0.21047598294396438,1.9328388330083388
32,2,mlp,1.6,0.09997387016978247,0.7698011340225815,0.9273993179333042,0.819049496466026,0.994459794750197,0.3823063837919731,0.21047598294396438,8.518355651396394
32,2,cnn,1.6,0.027663834412603068,0.40494074948930536,0.853738524798741,0.819049496466026,0.994459794750197,0.8022406399622127,0.21047598294396438,4.4809356201750274
